"""ID""","""??""","""??""","""ElementType""","""LevelLimit""","""Attr""","""CanRepeat""","""MinValue""","""Random"""
1400001,,,0,0,1400001,TRUE,1,1
1400002,,,0,0,1400002,TRUE,1,1
1400003,,,0,0,1400003,TRUE,1,1
1400004,,,0,0,1400004,TRUE,1,1
1400005,,,0,0,1400005,TRUE,1,1
1400006,,,0,0,1400006,TRUE,1,1
1400007,,,0,0,1400007,TRUE,1,1
1400008,,,0,0,1400008,TRUE,1,1
1400009,,,0,0,1400009,TRUE,1,1
1400010,,,0,0,1400010,TRUE,1,1
1400011,,,0,0,1400011,TRUE,1,1
1400012,,,0,0,1400012,TRUE,1,1
1400013,,,0,0,1400013,TRUE,1,1
1400014,,,0,0,1400014,TRUE,1,1
1400015,,,0,0,1400015,TRUE,1,1
1400016,,,0,0,1400016,TRUE,1,1
1400017,,,0,0,1400017,TRUE,1,1
1400018,,,0,0,1400018,TRUE,1,1
1400019,,,0,0,1400019,TRUE,1,1
1400020,,,0,0,1400020,TRUE,1,1
1400101,,,1,0,1400101,TRUE,1,1
1400102,,,1,0,1400102,TRUE,1,1
1400103,,,1,0,1400103,TRUE,1,1
1400104,,,1,0,1400104,TRUE,1,1
1400105,,,1,0,1400105,TRUE,1,1
1400106,,,1,0,1400106,TRUE,1,1
1400107,,,1,0,1400107,TRUE,1,1
1400108,,,1,0,1400108,TRUE,1,1
1400109,,,1,0,1400109,TRUE,1,1
1400110,,,1,0,1400110,TRUE,1,1
1400111,,,1,0,1400111,TRUE,1,1
1400112,,,1,0,1400112,TRUE,1,1
1400113,,,1,0,1400113,TRUE,1,1
1400114,,,1,0,1400114,TRUE,1,1
1400115,,,1,0,1400115,TRUE,1,1
1400116,,,1,0,1400116,TRUE,1,1
1400117,,,1,0,1400117,TRUE,1,1
1400118,,,1,0,1400118,TRUE,1,1
1400119,,,1,0,1400119,TRUE,1,1
1400120,,,1,0,1400120,TRUE,1,1
1400201,,,2,0,1400201,TRUE,1,1
1400202,,,2,0,1400202,TRUE,1,1
1400203,,,2,0,1400203,TRUE,1,1
1400204,,,2,0,1400204,TRUE,1,1
1400205,,,2,0,1400205,TRUE,1,1
1400206,,,2,0,1400206,TRUE,1,1
1400207,,,2,0,1400207,TRUE,1,1
1400208,,,2,0,1400208,TRUE,1,1
1400209,,,2,0,1400209,TRUE,1,1
1400210,,,2,0,1400210,TRUE,1,1
1400211,,,2,0,1400211,TRUE,1,1
1400212,,,2,0,1400212,TRUE,1,1
1400213,,,2,0,1400213,TRUE,1,1
1400214,,,2,0,1400214,TRUE,1,1
1400215,,,2,0,1400215,TRUE,1,1
1400216,,,2,0,1400216,TRUE,1,1
1400217,,,2,0,1400217,TRUE,1,1
1400218,,,2,0,1400218,TRUE,1,1
1400219,,,2,0,1400219,TRUE,1,1
1400220,,,2,0,1400220,TRUE,1,1
1400301,,,3,0,1400301,TRUE,1,1
1400302,,,3,0,1400302,TRUE,1,1
1400303,,,3,0,1400303,TRUE,1,1
1400304,,,3,0,1400304,TRUE,1,1
1400305,,,3,0,1400305,TRUE,1,1
1400306,,,3,0,1400306,TRUE,1,1
1400307,,,3,0,1400307,TRUE,1,1
1400308,,,3,0,1400308,TRUE,1,1
1400309,,,3,0,1400309,TRUE,1,1
1400310,,,3,0,1400310,TRUE,1,1
1400311,,,3,0,1400311,TRUE,1,1
1400312,,,3,0,1400312,TRUE,1,1
1400313,,,3,0,1400313,TRUE,1,1
1400314,,,3,0,1400314,TRUE,1,1
1400315,,,3,0,1400315,TRUE,1,1
1400316,,,3,0,1400316,TRUE,1,1
1400317,,,3,0,1400317,TRUE,1,1
1400318,,,3,0,1400318,TRUE,1,1
1400319,,,3,0,1400319,TRUE,1,1
1400320,,,3,0,1400320,TRUE,1,1
1400401,,,4,0,1400401,TRUE,1,1
1400402,,,4,0,1400402,TRUE,1,1
1400403,,,4,0,1400403,TRUE,1,1
1400404,,,4,0,1400404,TRUE,1,1
1400405,,,4,0,1400405,TRUE,1,1
1400406,,,4,0,1400406,TRUE,1,1
1400407,,,4,0,1400407,TRUE,1,1
1400408,,,4,0,1400408,TRUE,1,1
1400409,,,4,0,1400409,TRUE,1,1
1400410,,,4,0,1400410,TRUE,1,1
1400411,,,4,0,1400411,TRUE,1,1
1400412,,,4,0,1400412,TRUE,1,1
1400413,,,4,0,1400413,TRUE,1,1
1400414,,,4,0,1400414,TRUE,1,1
1400415,,,4,0,1400415,TRUE,1,1
1400416,,,4,0,1400416,TRUE,1,1
1400417,,,4,0,1400417,TRUE,1,1
1400418,,,4,0,1400418,TRUE,1,1
1400419,,,4,0,1400419,TRUE,1,1
1400420,,,4,0,1400420,TRUE,1,1
