"""ID""","""??""","""??""","""ElementType""","""Quality""","""PosAttrLimit1""","""PosAttrLimit2""","""PosAttrLimit3""","""PosAttrLimit4""","""PosAttrLimit5""","""PosAttrLimit6""","""PosCondition1""","""PosCondition2""","""PosCondition3""","""PosCondition4""","""PosCondition5""","""PosCondition6""","""CoreAttr1""","""CoreAttr2""","""CoreAttr3""","""CoreAttr4""","""CoreAttr5"""
1500001,,,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,100010,,,,
1500002,,,0,2,7,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,100020,,,,
1500003,,,0,2,7,4,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,100030,,,,
1500004,,,0,2,7,4,1,-1,-1,-1,2,0,-1,-1,-1,-1,100040,100041,,,
1500005,,,0,3,7,4,1,-1,-1,-1,3,0,-1,-1,-1,-1,100050,100051,,,
1500006,,,0,3,7,4,1,3,-1,-1,4,0,1,-1,-1,-1,100060,100061,,,
1500007,,,0,3,7,4,1,3,-1,-1,5,0,1,-1,-1,-1,100070,100071,,,
1500008,,,0,4,7,4,1,3,-1,-1,5,0,1,2,-1,-1,100080,100081,100082,,
1500009,,,0,4,7,4,1,3,-1,-1,5,0,1,2,3,-1,100090,100091,100092,100093,
1500010,,,0,4,7,4,1,3,5,-1,5,0,1,2,3,4,100100,100101,100102,100103,100104
1500101,,,1,0,18,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,100110,,,,
1500102,,,1,2,18,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,100120,,,,
1500103,,,1,2,18,22,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,100130,,,,
1500104,,,1,2,18,22,26,-1,-1,-1,2,0,-1,-1,-1,-1,100140,100141,,,
1500105,,,1,3,18,22,26,-1,-1,-1,3,0,-1,-1,-1,-1,100150,100151,,,
1500106,,,1,3,18,22,26,-1,-1,-1,4,10,-1,-1,-1,-1,100160,100161,,,
1500107,,,1,3,18,22,26,3,-1,-1,5,10,-1,-1,-1,-1,100170,100171,,,
1500108,,,1,4,18,22,26,3,-1,-1,5,10,2,-1,-1,-1,100180,100181,100182,,
1500109,,,1,4,18,22,26,3,-1,-1,5,10,2,3,-1,-1,100190,100191,100192,100193,
1500110,,,1,4,18,22,26,3,5,-1,5,10,2,3,4,-1,100200,100201,100202,100203,100204
1500201,,,2,0,16,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,100210,,,,
1500202,,,2,2,16,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,100220,,,,
1500203,,,2,2,16,20,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,100230,,,,
1500204,,,2,2,16,20,24,-1,-1,-1,2,0,-1,-1,-1,-1,100240,100241,,,
1500205,,,2,3,16,20,24,-1,-1,-1,3,0,-1,-1,-1,-1,100250,100251,,,
1500206,,,2,3,16,20,24,-1,-1,-1,4,10,-1,-1,-1,-1,100260,100261,,,
1500207,,,2,3,16,20,24,3,-1,-1,5,10,-1,-1,-1,-1,100270,100271,,,
1500208,,,2,4,16,20,24,3,-1,-1,5,10,2,-1,-1,-1,100280,100281,100282,,
1500209,,,2,4,16,20,24,3,-1,-1,5,10,2,3,-1,-1,100290,100291,100292,100293,
1500210,,,2,4,16,20,24,3,5,-1,5,10,2,3,4,-1,100300,100301,100302,100303,100304
1500301,,,3,0,15,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,100310,,,,
1500302,,,3,2,15,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,100320,,,,
1500303,,,3,2,15,19,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,100330,,,,
1500304,,,3,2,15,19,23,-1,-1,-1,2,0,-1,-1,-1,-1,100340,100341,,,
1500305,,,3,3,15,19,23,-1,-1,-1,3,0,-1,-1,-1,-1,100350,100351,,,
1500306,,,3,3,15,19,23,-1,-1,-1,4,10,-1,-1,-1,-1,100360,100361,,,
1500307,,,3,3,15,19,23,3,-1,-1,5,10,-1,-1,-1,-1,100370,100371,,,
1500308,,,3,4,15,19,23,3,-1,-1,5,10,2,-1,-1,-1,100380,100381,100382,,
1500309,,,3,4,15,19,23,3,-1,-1,5,10,2,3,-1,-1,100390,100391,100392,100393,
1500310,,,3,4,15,19,23,3,5,-1,5,10,2,3,4,-1,100400,100401,100402,100403,100404
1500401,,,4,0,17,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,100410,,,,
1500402,,,4,2,17,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,100420,,,,
1500403,,,4,2,17,21,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,100430,,,,
1500404,,,4,2,17,21,25,-1,-1,-1,2,0,-1,-1,-1,-1,100440,100441,,,
1500405,,,4,3,17,21,25,-1,-1,-1,3,0,-1,-1,-1,-1,100450,100451,,,
1500406,,,4,3,17,21,25,-1,-1,-1,4,10,-1,-1,-1,-1,100460,100461,,,
1500407,,,4,3,17,21,25,3,-1,-1,5,10,-1,-1,-1,-1,100470,100471,,,
1500408,,,4,4,17,21,25,3,-1,-1,5,10,2,-1,-1,-1,100480,100481,100482,,
1500409,,,4,4,17,21,25,3,-1,-1,5,10,2,3,-1,-1,100490,100491,100492,100493,
1500410,,,4,4,17,21,25,3,5,-1,5,10,2,3,4,-1,100500,100501,100502,100503,100504
