"""ID""","""??""","""??""","""ImagePath""","""ImageName""","""TipsStr"""
1,,,hero/hero_p_baiqi,200000,2400000
2,,,hero/hero_p_caocao,200001,2400001
3,,,hero/hero_p_daji,200002,2400002
4,,,hero/hero_p_dianwei,200003,2400003
5,,,hero/hero_p_diaochan,200004,2400004
6,,,hero/hero_p_direnjie,200005,2400005
7,,,hero/hero_p_jiangziya,200006,2400006
8,,,hero/hero_p_jingke,200007,2400007
9,,,hero/hero_p_leizhenzi,200008,2400008
10,,,hero/hero_p_lianpo,200009,2400009
11,,,hero/hero_p_luban,200010,2400010
12,,,hero/hero_p_nezha,200011,2400011
#13,,,,200012,2400012
14,,,hero/hero_p_wenzhong,200013,2400013
15,,,hero/hero_p_wuzetian,200014,2400014
16,,,hero/hero_p_xishi,200015,2400015
17,,,hero/hero_p_yangguifei,200016,2400016
18,,,hero/hero_p_yangjian,200017,2400017
19,,,hero/hero_p_zhaoyun,200018,2400018
20,,,hero/hero_p_zhouwang,200019,2400019
