"""ID""","""Name""","""Desc""","""StageType""","""FightLogicPath""","""ScenePath1""","""ScenePath2""","""ScenePath3""","""CameraOffset1""","""CameraOffset2""","""CameraOffset3""","""CameraLimit1""","""CameraLimit2""","""CameraLimit3"""
1,1,-1,0,FightLogic_Stage_01,Stage_ShaMo_09,Stage_ShaMo_02,,4;6;4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
2,2,-1,0,FightLogic_Stage_02,Stage_ShaMo_08,Stage_ShaMo_10,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
3,3,-1,0,FightLogic_Stage_03,Stage_ShaMo_15,Stage_ShaMo_11,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
4,4,-1,0,FightLogic_Stage_04,Stage_ShaMo_08,Stage_ShaMo_12,,4;6;4,4;6;-4,4;6;4,0;6;-6,0;6;-6,0;6;-6
5,5,-1,0,FightLogic_Stage_05,Stage_CaoYuan_06,Stage_CaoYuan_07,,4;6;-4,4;6;4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
6,6,-1,0,FightLogic_Stage_06,Stage_CaoYuan_07,Stage_CaoYuan_04,,4;6;-4,4;6;4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
7,7,-1,0,FightLogic_Stage_07,Stage_CaoYuan_04,Stage_CaoYuan_01,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
8,8,-1,0,FightLogic_Stage_08,Stage_CaoYuan_03,Stage_CaoYuan_01,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
9,9,-1,0,FightLogic_Stage_09,Stage_BingYuan_02,Stage_BingYuan_01,,4;6;-4,4;6;4,4;6;-4,-6;6;0,-6;6;0,-6;6;0
10,10,-1,0,FightLogic_Stage_10,Stage_BingYuan_05,Stage_BingYuan_04,,4;6;-4,4;6;-4,4;6;-4,0;6;6,0;6;6,0;6;6
11,11,-1,0,FightLogic_Stage_11,Stage_BingYuan_04,Stage_BingYuan_02,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
12,12,-1,0,FightLogic_Stage_12,Stage_ShaMo_05,Stage_ShaMo_06,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
13,13,-1,0,FightLogic_Stage_13,Stage_ShaMo_01,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
14,14,-1,0,FightLogic_Stage_14,Stage_ShaMo_09,Stage_ShaMo_10,,4;6;4,4;6;4,4;6;4,0;6;-6,0;6;-6,0;6;-6
15,15,-1,0,FightLogic_Stage_15,Stage_ShaMo_07,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
16,16,-1,0,FightLogic_Stage_16,Stage_DiXiaCheng_01,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
17,17,-1,0,FightLogic_Stage_17,Stage_DiXiaCheng_01,Stage_DiXiaCheng_05,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
18,18,-1,0,FightLogic_Stage_18,Stage_DiXiaCheng_02,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
19,19,-1,0,FightLogic_Stage_19,Stage_DiXiaCheng_03,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
20,20,-1,0,FightLogic_Stage_20,Stage_DiXiaCheng_04,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
100,0,-1,0,FightLogic_Boss_ShaMo,Stage_ShaMo_Boss,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
101,0,-1,1,FightLogic_Boss_ShaMo,Stage_CaoYuan_Boss,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
102,0,-1,1,FightLogic_Boss_ShaMo,Stage_BingYuan_Boss,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
103,0,-1,1,FightLogic_Boss_ShaMo,Stage_DiXiaCheng_Boss,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
104,0,-1,1,FightLogic_Boss_ShaMo,Stage_Cheng_Boss,,,4;6;-4,4;6;-4,4;6;-4,0;6;-6,0;6;-6,0;6;-6
