"Id
===
Id
===
int-s","变量名
===
keyName
===
string-s","初始值
===
initValue
===
int-s","描述
===
describe
===
string-s"
0,achLevel,1,等级成就
1,achDungeonNormalAllStar,0,普通副本全三星
2,achDungeonJYAllStar,0,精英副本全三星
3,achArenaSeriesWin,0,竞技场连胜
4,achArenaSerieslose,0,竞技场连败
5,achArenaSeriesAllWin,0,竞技场累计胜利
6,achMaxSkillNum,0,主角宗师技能数量
7,achPetLevel2,0,蓝宠等级计数器(只记最高等级)
8,achPetLevel3,0,紫宠等级计数器(只记最高等级)
9,achNormalDungeonWin,0,普通副本累计通关次数
10,achjingyingDungeonWin,0,精英副本累计通关次数
11,achdiyuDungeonWin,0,地狱副本累计通关次数
12,achChangePet,0,兑换宠物总数
13,achDropPet,0,掉落宠物总数
14,achBuyGoldNum,0,购买金币总数
15,achDailyTaskNum,0,完成每日任务总数
16,achHeartLottery1,0,友情单抽计数器
17,achHeartLottery10,0,友情10连抽计数器
18,achDiamondLottery1,0,宝石单抽计数器
19,achDiamondLottery10,0,宝石10连抽计数器
20,achMarryCount,0,结婚的计数器
21,achDiamondLevel5,0,5级宝石计数器
22,achCompositeDiamond,0,合成宝石计数器
23,achStudGem,0,镶嵌宝石计数器
24,achWeaponUp,0,强化主角武器
25,achClothUp,0,强化主角衣服
26,achHatUp,0,强化主角头盔
27,achPetUp,0,宠物升级1次
28,achPVPWinOnce,0,胜利竞技场1次
29,achRevenge,0,仇人复仇1次
30,achPlanChange,0,用勋章兑换1次
31,achPVPPonit,0,用征服点兑换1次
32,achTieID,0,成功绑定账号
33,achTaskUpSkill,0,升级一次主角技能(成就型任务)
34,achGreenPetCount,0,绿色卡牌计数器
35,achBluePetCount,0,蓝色卡牌计数器
36,achPurplePetCount,0,紫色卡牌计数器
37,achGoldPetCount,0,金色卡牌计数器
38,achEnhanceEquipLevel,0,强化装备等级
39,achEquipQuality1,0,获取白色品质装备
40,achEquipQuality2,0,获取绿色品质装备
41,achEquipQuality3,0,获取蓝色品质装备
42,achEquipQuality4,0,获取紫色品质装备
43,achEquipQuality5,0,获取金色品质装备
44,achBuyDiamondNum,0,购买钻石
45,achNormalStageWin,0,普通副本通关
46,achEliteStageWin,0,精英副本通关
47,achKillMonster,0,击杀怪物计数
48,achUnhurtStageWin,0,无伤通关计数
49,achStageWinWithSSS,0,SSS评价通关计数
50,achMoneyConsume,0,金币消耗计数
51,achDiamondConsume,0,钻石消耗计数
52,achGropeSweepGeneral,0,普通探索抽奖计数
53,achDungeonStar,0,副本全三星计数
54,achGropeSweepSenior,0,高级探索抽奖计数
55,achObtainPet,0,获得武将计数
56,achPetLevel10,0,武将等级10计数
57,achPetLevel15,0,武将等级15计数
58,achPetLevel20,0,武将等级20计数
59,achPetLevel25,0,武将等级25计数
60,achPetLevel30,0,武将等级30计数
61,achPetLevel35,0,武将等级35计数
62,achPetLevel40,0,武将等级40计数
63,achPetLevel45,0,武将等级45计数
64,achPetLevel50,0,武将等级50计数
65,achPetLevel60,0,武将等级60计数
66,achCount,0,完成成就计数
999,achPoint,0,成就点数
