"Id
===
Id
===
int-cs","成就名称
===
achName
===
string-cs","分组ID
===
groupId
===
int-cs","是否是组头
===
groupHead
===
int-cs","下一个成就ID
===
nextAchId
===
int-cs","事件ID
===
EventId
===
int-s","成就脚本ID
===
ScriptId
===
int-s","基本过滤
===
BaseFilter
===
string-s","过滤器0.参数
===
AchFilter0.param
===
string-s","过滤器0.表达式
===
AchFilter0.expression
===
string-s","过滤器1.参数
===
AchFilter1.param
===
string-s","过滤器1.表达式
===
AchFilter1.expression
===
string-s","过滤器2.参数
===
AchFilter2.param
===
string-s","过滤器2.表达式
===
AchFilter2.expression
===
string-s","过滤器3.参数
===
AchFilter3.param
===
string-s","过滤器3.表达式
===
AchFilter3.expression
===
string-s","结果参数
===
resultParam
===
string-s","结果表达式
===
resultExpression
===
string-s","完成成就所需数值
===
reachNum
===
int-s","完成成就所需数值(客户端显示)
===
displayReachNum
===
int-cs","成就类型
===
achType
===
int-cs","成就奖励0.Id
===
RewardItem0.Id
===
int-cs","成就奖励0.数量
===
RewardItem0.num
===
int-cs","成就奖励1.Id
===
RewardItem1.Id
===
int-cs","成就奖励1.数量
===
RewardItem1.num
===
int-cs","成就奖励2.Id
===
RewardItem2.Id
===
int-cs","成就奖励2.数量
===
RewardItem2.num
===
int-cs","成就奖励3.Id
===
RewardItem3.Id
===
int-cs","成就奖励3.数量
===
RewardItem3.num
===
int-cs","成就描述
===
describe
===
string-cs","成就图标
===
achIcon
===
string-c","特效是否延迟
===
delayEffect
===
int-c","奖励品质
===
prizeQuality
===
int-c"
10000,提升等级,1,1,10001,1,-1,,,,,,,,,,achLevel,[Level],5,5,0,1,4100,90005,20,-1,-1,-1,-1,将人物等级提升至5级,10018,1,0
10001,提升等级,1,0,10002,1,-1,,,,,,,,,,achLevel,[Level],10,10,0,1,8300,4,80,-1,-1,-1,-1,将人物等级提升至10级,10018,1,0
10002,提升等级,1,0,10003,1,-1,,,,,,,,,,achLevel,[Level],15,15,0,1,12500,4,80,-1,-1,-1,-1,将人物等级提升至15级,10018,1,0
10003,提升等级,1,0,10004,1,-1,,,,,,,,,,achLevel,[Level],20,20,0,1,16600,4,80,-1,-1,-1,-1,将人物等级提升至20级,10018,1,0
10004,提升等级,1,0,10005,1,-1,,,,,,,,,,achLevel,[Level],25,25,0,1,20800,4,80,-1,-1,-1,-1,将人物等级提升至25级,10018,1,0
10005,提升等级,1,0,10006,1,-1,,,,,,,,,,achLevel,[Level],30,30,0,1,25000,4,80,-1,-1,-1,-1,将人物等级提升至30级,10018,1,0
10006,提升等级,1,0,10007,1,-1,,,,,,,,,,achLevel,[Level],35,35,0,1,29200,4,80,-1,-1,-1,-1,将人物等级提升至35级,10018,1,0
10007,提升等级,1,0,10008,1,-1,,,,,,,,,,achLevel,[Level],40,40,0,1,33300,4,80,-1,-1,-1,-1,将人物等级提升至40级,10018,1,0
10008,提升等级,1,0,-1,1,-1,,,,,,,,,,achLevel,[Level],45,45,0,1,37500,4,80,-1,-1,-1,-1,将人物等级提升至45级,10018,1,0
##10009,提升等级,1,0,10009,1,-1,,,,,,,,,,achLevel,[Level],50,50,0,1,41700,4,80,-1,-1,-1,-1,将人物等级提升至50级,10018,1,0
##10010,提升等级,1,0,10010,1,-1,,,,,,,,,,achLevel,[Level],55,55,0,1,45900,4,80,-1,-1,-1,-1,将人物等级提升至55级,10018,1,0
##10011,提升等级,1,0,10011,1,-1,,,,,,,,,,achLevel,[Level],60,60,0,1,50000,4,80,-1,-1,-1,-1,将人物等级提升至60级,10018,1,0
##10012,提升等级,1,0,-1,1,-1,,,,,,,,,,achLevel,[Level],65,65,0,1,54200,4,80,-1,-1,-1,-1,将人物等级提升至65级,10018,1,0
10100,装备强化,2,1,10101,30,100005,,,,,,,,,,,,3,1,0,1,2800,31000,20,-1,-1,-1,-1,主角全身装备强化等级达到3级,10003,1,0
