"Id
===
Id
===
int-cs","√˚≥∆
===
Name
===
string-s","π÷ŒÔ≈‰÷√0.π÷ŒÔId
===
MonsterConfig0.Id
===
int-s","π÷ŒÔ≈‰÷√0.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig0.PosOffset
===
int-c","π÷ŒÔ≈‰÷√0.≥ı ºBuffId0
===
MonsterConfig0.BuffId0
===
int-s","π÷ŒÔ≈‰÷√0.≥ı ºBuffId1
===
MonsterConfig0.BuffId1
===
int-s","π÷ŒÔ≈‰÷√0.π÷ŒÔµÙ¬‰0
===
MonsterConfig0.DropExp0
===
string-s","π÷ŒÔ≈‰÷√0.π÷ŒÔµÙ¬‰1
===
MonsterConfig0.DropExp1
===
string-s","π÷ŒÔ≈‰÷√1.π÷ŒÔId
===
MonsterConfig1.Id
===
int-s","π÷ŒÔ≈‰÷√1.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig1.PosOffset
===
int-c","π÷ŒÔ≈‰÷√1.≥ı ºBuffId0
===
MonsterConfig1.BuffId0
===
int-s","π÷ŒÔ≈‰÷√1.≥ı ºBuffId1
===
MonsterConfig1.BuffId1
===
int-s","π÷ŒÔ≈‰÷√1.π÷ŒÔµÙ¬‰0
===
MonsterConfig1.DropExp0
===
string-s","π÷ŒÔ≈‰÷√1.π÷ŒÔµÙ¬‰1
===
MonsterConfig1.DropExp1
===
string-s","π÷ŒÔ≈‰÷√2.π÷ŒÔId
===
MonsterConfig2.Id
===
int-s","π÷ŒÔ≈‰÷√2.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig2.PosOffset
===
int-c","π÷ŒÔ≈‰÷√2.≥ı ºBuffId0
===
MonsterConfig2.BuffId0
===
int-s","π÷ŒÔ≈‰÷√2.≥ı ºBuffId1
===
MonsterConfig2.BuffId1
===
int-s","π÷ŒÔ≈‰÷√2.π÷ŒÔµÙ¬‰0
===
MonsterConfig2.DropExp0
===
string-s","π÷ŒÔ≈‰÷√2.π÷ŒÔµÙ¬‰1
===
MonsterConfig2.DropExp1
===
string-s","π÷ŒÔ≈‰÷√3.π÷ŒÔId
===
MonsterConfig3.Id
===
int-s","π÷ŒÔ≈‰÷√3.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig3.PosOffset
===
int-c","π÷ŒÔ≈‰÷√3.≥ı ºBuffId0
===
MonsterConfig3.BuffId0
===
int-s","π÷ŒÔ≈‰÷√3.≥ı ºBuffId1
===
MonsterConfig3.BuffId1
===
int-s","π÷ŒÔ≈‰÷√3.π÷ŒÔµÙ¬‰0
===
MonsterConfig3.DropExp0
===
string-s","π÷ŒÔ≈‰÷√3.π÷ŒÔµÙ¬‰1
===
MonsterConfig3.DropExp1
===
string-s","π÷ŒÔ≈‰÷√4.π÷ŒÔId
===
MonsterConfig4.Id
===
int-s","π÷ŒÔ≈‰÷√4.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig4.PosOffset
===
int-c","π÷ŒÔ≈‰÷√4.≥ı ºBuffId0
===
MonsterConfig4.BuffId0
===
int-s","π÷ŒÔ≈‰÷√4.≥ı ºBuffId1
===
MonsterConfig4.BuffId1
===
int-s","π÷ŒÔ≈‰÷√4.π÷ŒÔµÙ¬‰0
===
MonsterConfig4.DropExp0
===
string-s","π÷ŒÔ≈‰÷√4.π÷ŒÔµÙ¬‰1
===
MonsterConfig4.DropExp1
===
string-s","π÷ŒÔ≈‰÷√5.π÷ŒÔId
===
MonsterConfig5.Id
===
int-s","π÷ŒÔ≈‰÷√5.π÷ŒÔ’æŒª∆´“∆
===
MonsterConfig5.PosOffset
===
int-c","π÷ŒÔ≈‰÷√5.≥ı ºBuffId0
===
MonsterConfig5.BuffId0
===
int-s","π÷ŒÔ≈‰÷√5.≥ı ºBuffId1
===
MonsterConfig5.BuffId1
===
int-s","π÷ŒÔ≈‰÷√5.π÷ŒÔµÙ¬‰0
===
MonsterConfig5.DropExp0
===
string-s","π÷ŒÔ≈‰÷√5.π÷ŒÔµÙ¬‰1
===
MonsterConfig5.DropExp1
===
string-s","π≤œÌµÙ¬‰0
===
DropExp0
===
string-s","π≤œÌµÙ¬‰1
===
DropExp1
===
string-s","π≤œÌbuff0
===
SharedBuffId0
===
int-s","π≤œÌbuff1
===
SharedBuffId1
===
int-s","’Ω∂∑µÙ¬‰0
===
BattleDropExp0
===
string-s","’Ω∂∑µÙ¬‰1
===
BattleDropExp1
===
string-s"
90000,6»À≤‚ ‘,90001,1,-1,-1,,,90002,1,-1,-1,,,90003,1,-1,-1,,,90004,1,-1,-1,,,90005,1,-1,-1,,,90005,1,-1,-1,,,,,-1,-1,,
90001,1»À≤‚ ‘,90001,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90002,¥©¥Ã,90001,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,90004,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90003,Ω£ŒË,90001,1,-1,-1,,,90002,1,-1,-1,,,90003,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90004,ÃÙ–∆,90001,1,-1,-1,,,90002,1,-1,-1,,,90007,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90005,Õˆ’ﬂ∏¥≥,90007,1,-1,-1,,,90002,1,-1,-1,,,90001,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90006,‘Æª§,90001,1,-1,-1,,,90002,1,-1,-1,,,90008,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90007,æ£º¨,90009,1,-1,-1,,,90002,1,-1,-1,,,90008,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
90008,æ£º¨,90011,1,-1,-1,,,90012,1,-1,-1,,,90013,1,-1,-1,,,90014,1,-1,-1,,,90015,1,-1,-1,,,90016,1,-1,-1,,,,,-1,-1,,
90009,π÷∂‡ººƒ‹,90017,1,-1,-1,,,90018,1,-1,-1,,,90019,1,-1,-1,,,90020,1,-1,-1,,,90021,1,-1,-1,,,90022,1,-1,-1,,,,,-1,-1,,
1011,D1-S1-1,10112,1,-1,-1,G1:50:102:153,,10112,1,-1,-1,G1:50:102:153,,10112,1,-1,-1,G1:50:102:153,,-1,1,-1,-1,,,-1,1,-1,-1,,,-1,1,-1,-1,,,,,-1,-1,,
1012,D1-S1-2,10112,1,-1,-1,G1:50:102:153,,-1,1,-1,-1,,,10112,1,-1,-1,G1:50:102:153,,-1,1,-1,-1,,,10113,1,-1,-1,G1:50:102:153,,-1,1,-1,-1,,,,,-1,-1,,
1013,D1-S1-3,-1,1,-1,-1,,,10139,1,-1,-1,G1:100:384:576,,-1,1,-1,-1,,,10134,1,-1,-1,G1:50:102:153,,-1,1,-1,-1,,,10136,1,-1,-1,G1:50:102:153,,,,-1,-1,G10011:1.22;,G8027:8.33;
1021,D1-S2-1,-1,1,-1,-1,,,10115,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10116,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10116,1,-1,-1,G1:50:84:127,,,,-1,-1,,
1022,D1-S2-2,10115,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10115,1,-1,-1,G1:50:84:127,,10113,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10113,1,-1,-1,G1:50:84:127,,,,-1,-1,,
1023,D1-S2-3,10231,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10233,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10239,1,-1,-1,G1:100:384:576,,-1,1,-1,-1,,,,,-1,-1,G10021:1.22;,G8027:8.33;
1031,D1-S3-1,-1,1,-1,-1,,,10115,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10116,1,-1,-1,G1:50:84:127,,10113,1,-1,-1,G1:50:84:127,,10116,1,-1,-1,G1:50:84:127,,,,-1,-1,,
1032,D1-S3-2,10112,1,-1,-1,G1:50:84:127,,10115,1,-1,-1,G1:50:84:127,,10112,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10113,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,,,-1,-1,,
1033,D1-S3-3,10331,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10333,1,-1,-1,G1:50:84:127,,-1,1,-1,-1,,,10339,1,-1,-1,G1:100:384:576,,-1,1,-1,-1,,,,,-1,-1,G10031:1.22;,G8027:8.33;
