"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","显示名称
===
ShowName
===
string-c","分组Id
===
GroupId
===
int-s","Buff类型(正面，负面)
===
BuffType
===
int-s","死亡消失
===
DissolveOnDied
===
int-s","能否给死人用
===
UseOnDead
===
int-s","优先级
===
Priority
===
int-s","互斥Id
===
Exclusive
===
int-s","最大叠加层数
===
MaxStackLevel
===
int-s","伤害类型
===
DamageType
===
int-s","结算点
===
HitPoiont
===
string-s","触发次数
===
HitCount
===
int-s","效果0.生效次数
===
Impact0.Enable
===
int-s","效果0.触发点
===
Impact0.AffectPoint
===
string-s","效果0.目标属性
===
Impact0.Field
===
string-s","效果0.加法公式
===
Impact0.AddExp
===
string-s","效果0.乘法公式
===
Impact0.MulExp
===
string-s","效果0.覆盖公式
===
Impact0.ResetExp
===
string-s","效果1.生效次数
===
Impact1.Enable
===
int-s","效果1.触发点
===
Impact1.AffectPoint
===
string-s","效果1.目标属性
===
Impact1.Field
===
string-s","效果1.加法公式
===
Impact1.AddExp
===
string-s","效果1.乘法公式
===
Impact1.MulExp
===
string-s","效果1.覆盖公式
===
Impact1.ResetExp
===
string-s","效果2.生效次数
===
Impact2.Enable
===
int-s","效果2.触发点
===
Impact2.AffectPoint
===
string-s","效果2.目标属性
===
Impact2.Field
===
string-s","效果2.加法公式
===
Impact2.AddExp
===
string-s","效果2.乘法公式
===
Impact2.MulExp
===
string-s","效果2.覆盖公式
===
Impact2.ResetExp
===
string-s","效果3.生效次数
===
Impact3.Enable
===
int-s","效果3.触发点
===
Impact3.AffectPoint
===
string-s","效果3.目标属性
===
Impact3.Field
===
string-s","效果3.加法公式
===
Impact3.AddExp
===
string-s","效果3.乘法公式
===
Impact3.MulExp
===
string-s","效果3.覆盖公式
===
Impact3.ResetExp
===
string-s","能否修改攻击目标
===
CanModifyTarget
===
string-s","能否使用技能
===
CanUseSkill
===
string-s","能否成为目标
===
CanTarget
===
string-s","能否成为子弹的目标
===
CanHitByBullet
===
string-s","能否被上Buff
===
CanAddBuff
===
string-s","能否被修改属性
===
CanModifyAttr
===
string-s","特效ID
===
EffectID
===
int-c","特效出现方式
===
ShowType
===
int-c","特殊特效
===
SpecEffect
===
int-c","特殊状态
===
AniState
===
int-c","效果0.目标属性
===
ImpactForClient0.Field
===
string-cs","效果0.加法公式
===
ImpactForClient0.AddExp
===
string-cs","效果1.目标属性
===
ImpactForClient1.Field
===
string-cs","效果1.加法公式
===
ImpactForClient1.AddExp
===
string-cs","效果2.目标属性
===
ImpactForClient2.Field
===
string-cs","效果2.加法公式
===
ImpactForClient2.AddExp
===
string-cs","效果3.目标属性
===
ImpactForClient3.Field
===
string-cs","效果3.加法公式
===
ImpactForClient3.AddExp
===
string-cs"
90100,劈山刀100,劈山刀100,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,234.08,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,46.816,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,234.08,,,MgkAttack,46.816,,
90101,劈山刀101,劈山刀101,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,270.581,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,54.1162,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,270.581,,,MgkAttack,54.1162,,
90102,劈山刀102,劈山刀102,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,307.082,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,61.4164,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,307.082,,,MgkAttack,61.4164,,
90103,劈山刀103,劈山刀103,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,343.583,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,68.7166,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,343.583,,,MgkAttack,68.7166,,
90104,劈山刀104,劈山刀104,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,380.084,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,76.0168,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,380.084,,,MgkAttack,76.0168,,
90105,劈山刀105,劈山刀105,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,416.585,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,83.317,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,416.585,,,MgkAttack,83.317,,
90106,劈山刀106,劈山刀106,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,453.086,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,90.6172,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,453.086,,,MgkAttack,90.6172,,
90107,劈山刀107,劈山刀107,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,489.587,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,97.9174,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,489.587,,,MgkAttack,97.9174,,
90108,劈山刀108,劈山刀108,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,526.088,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,105.2176,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,526.088,,,MgkAttack,105.2176,,
90109,劈山刀109,劈山刀109,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,562.589,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,112.5178,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,562.589,,,MgkAttack,112.5178,,
90110,劈山刀110,劈山刀110,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,596.809,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,119.3618,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,596.809,,,MgkAttack,119.3618,,
90111,劈山刀111,劈山刀111,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,631.029,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,126.2058,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,631.029,,,MgkAttack,126.2058,,
90112,劈山刀112,劈山刀112,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,665.249,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,133.0498,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,665.249,,,MgkAttack,133.0498,,
90113,劈山刀113,劈山刀113,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,699.469,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,139.8938,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,699.469,,,MgkAttack,139.8938,,
90114,劈山刀114,劈山刀114,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,733.689,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,146.7378,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,733.689,,,MgkAttack,146.7378,,
90115,劈山刀115,劈山刀115,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,767.909,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,153.5818,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,767.909,,,MgkAttack,153.5818,,
90116,劈山刀116,劈山刀116,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,802.129,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,160.4258,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,802.129,,,MgkAttack,160.4258,,
90117,劈山刀117,劈山刀117,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,836.349,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,167.2698,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,836.349,,,MgkAttack,167.2698,,
90118,劈山刀118,劈山刀118,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,870.569,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,174.1138,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,870.569,,,MgkAttack,174.1138,,
90119,劈山刀119,劈山刀119,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,904.789,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,180.9578,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,904.789,,,MgkAttack,180.9578,,
90120,劈山刀120,劈山刀120,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,936.727,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,187.3454,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,936.727,,,MgkAttack,187.3454,,
90121,劈山刀121,劈山刀121,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,968.665,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,193.733,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,968.665,,,MgkAttack,193.733,,
90122,劈山刀122,劈山刀122,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1000.603,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,200.1206,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1000.603,,,MgkAttack,200.1206,,
90123,劈山刀123,劈山刀123,900,1,0,0,1,-1,1,1,RoundEnd,999,999,BuffAdded,PhyAttack,1032.541,1,1,-1,BuffAdded,0,0,1,1,999,BuffAdded,MgkAttack,206.5082,1,1,-1,BuffAdded,0,0,0,0,0,1,1,1,1,1,-1,0,0,0,PhyAttack,1032.541,,,MgkAttack,206.5082,,
