"Id
===
Id
===
int-cs","Ãû³Æ
===
Name
===
string-cs","¿ÉÕë¶ÔËÀÍöÄ¿±êÊ¹ÓÃ
===
UseOnDead
===
int-s","BuffId0
===
Buff0
===
int-cs","BuffId1
===
Buff1
===
int-cs","BuffId2
===
Buff2
===
int-cs","BuffId3
===
Buff3
===
int-cs","ÃüÖÐ¹«Ê½
===
HitExp
===
string-s","±©»÷¹«Ê½
===
CriticalAttackExp
===
string-s","·¢Éäµã
===
Launch
===
string-c","ÃüÖÐµã
===
HitPoint
===
string-c","·ÉÐÐÌØÐ§
===
FlyEffect
===
int-c","ÃüÖÐÌØÐ§
===
HitEffect
===
int-c","ÉÁ±ÜÃüÖÐ
===
MissDo
===
int-c","±»»÷¶¯×÷
===
ActionName
===
string-c","·ÉÐÐËÙ¶È
===
Speed
===
float-c"
1001,½ð½Ç-skill01,0,700014,-1,-1,-1,1,1,#weapon#,#center#,-1,-1,1,,2000
10016,ÆÕÍ¨ÈË-1,0,100161,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1003,1,be hit,2000
10116,Ç¿¹¥-1,0,101161,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1013,1,be hit,2000
10126,Ç¿¹¥-2,0,101261,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1013,1,be hit,2000
10136,Ç¿¹¥-3,0,101361,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1013,1,be hit,2000
10146,Ç¿¹¥-4,0,101461,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1013,1,be hit,2000
10156,Ç¿¹¥-5,0,101561,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1013,1,be hit,2000
10216,¸îÁÑ-1,0,102161,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1023,0,be hit,2000
10226,¸îÁÑ-2,0,102261,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1023,0,be hit,2000
10236,¸îÁÑ-3,0,102361,-1,-1,-1,"([BulletRandom]/10)<(500+(([Caster.HitRating]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,if([Caster.ExAttr0]-[Target.ExAttr0]<-10,-10,[Caster.ExAttr0]-[Target.ExAttr0]))-8)/52*14)-[Target.DodgeRating]/((20+[Target.ExAttr0]-if([Target.ExAttr0]-[Caster.ExAttr0]>10,10,if([Target.ExAttr0]-[Caster.ExAttr0]<-10,-10,[Target.ExAttr0]-[Caster.ExAttr0]))-8)/52*14))*10))","if(([BulletRandom]/10)>(1000-([Caster.CriticalAttack]/((20+[Caster.ExAttr0]-if([Caster.ExAttr0]-[Target.ExAttr0]>10,10,[Caster.ExAttr0]-[Target.ExAttr0])-8)/52*14)-[Target.Resilience]/((20+[Caster.ExAttr0]-8)/52*14))*10), [Caster.CriticalDamage]/100, 1)",#weapon#,#center#,-1,1023,0,be hit,2000
