"Id
===
Id
===
int-cs","Category
===
Category
===
string-s","备注
===
Note
===
string-s","数据
===
Data
===
string-cs"
1000,position,大地图上方信息条的高度,80
1002,position,切换账户按钮的偏移,107;49
1003,position,切换账户按钮上面的账户名的偏移,0;3
1004,position,切换服务器按钮的偏移,0;43
1006,position,战斗界面右上角回合面板的偏移,10;20
1007,position,战斗界面右下角加速按钮的偏移,25;16
1008,position,血条纵向偏移的梯度,20
1009,position,伤害、治疗数字的纵向偏移,45
1010,config,全局角色缩放,1.2
1011,position,小队站位角度,63
1012,position,小队的左下角,90;90
1013,position,小队成员的横向间距,168
1014,position,小队成员的纵向间距,150
1015,position,屏幕变宽时边缘分到的空白比例,0.286
1016,config,战利品光球的飞行速度,600
1017,position,前进提示的纵向偏移所占屏幕高度的百分比,0.45
1018,config,伤害字体,fonts/combat-2.fnt
1019,config,伤害暴击字体,fonts/combat-4.fnt
1020,config,治疗字体,fonts/combat-3.fnt
1021,config,治疗暴击字体,fonts/combat-6.fnt
1022,position,宠物界面左下杂合面板的高度,130
1023,config,是否开启购买宝石功能,1
1024,config,是否开启购买黑市,0
1025,config,死亡消隐时间,0.7
1026,config,通告的停留时间,8
1027,position,头像上等级文字的偏移,11;7
1028,position,全身像等级文字的偏移,13;8
1029,size,副本信息面板的宽,460
2000,size,主界面经验条size,180;48
2001,size,主界面AP条size,140;48
2002,size,主界面金币条size,180;48
2003,size,主界面宝石条size,140;48
2004,position,主界面主角和宠物之间的间隔,130;0
2008,config,系统公告网址,http://617617.hxage.com/m/gg/
2009,config,主界面宠物头顶那玩意的缩放系数,0.6
2010,config,技能强化解锁等级,40
2011,size,主界面桃心条size,150;48
2012,config,宠物技能强化要求-等级,40
2013,config,宠物技能强化要求-品质,3
2014,config,宠物技能强化要求-突破次数,2
2015,config,花费多少宝石买体力,50;50;100;100;100;100;150;150;150;150;200;200;200;200;300;300;300;300;500;500;500;500
2016,config,一次能买多少体力,60
2017,config,人物最大等级,60
2018,config,人物升级不显示的技能,1501;2501;3501
2019,size,次级抽奖券条size,150;48
2020,config,抽一次奖消耗几个抽奖券,10
2021,config,主界面主角头顶那玩意的最小宽度,200
2022,config,结婚戒指的id,9019;9020;9021
2023,config,结婚buff0,2;2
2024,config,结婚buff1,4;4
2025,config,结婚buff2,6;6
2028,config,"主角界面,结婚BUFF文本的颜色",493421
2030,config,上场宠物数量,3
2031,config,第一个上场宠物栏开放等级,0
2032,config,第二个上场宠物栏开放等级,0
2033,config,第三个上场宠物栏开放等级,0
2040,config,备选宠物数量,3
2041,config,第一个备选宠物栏开放等级,20
