"Id
===
Id
===
int-cs","文本
===
Text
===
string-cs"
1000,消耗体力：%d
1001,剩余次数：%d
1002,亲，没有体力了T.T
1003,剩余次数不够啦，明天再来吧O(∩_∩)O
1004,服务器端和客户端的配置有差异
1005,开启条件：通关普通难度小树林副本
1006,默认账户
1007,、
1008,请输入角色名称
1009,请输入角色名称
1010,主动技能：
1011,被动技能：
1012,主角%d级才能前往，亲！
2000,好基友
2001,%d级
2002,最后上线
2003,添加好友：
2004,拉黑玩家：
2005,%dH%02dM
2006,出价人：
2007,剩余时间：
2008,当前价格：%u
2009,你是最高出价者
2010,已拍出最高价
2011,在此输入想说的话
2012,[综合]
2013,[私聊]
2014,切换账户
2015,手机号：
2016,密码：
2018,找回密码
2019,成功发送请求，等待对方确认
2020,注意！
2021,请输入玩家名称
2022,选择服务器
2023,公告
2024,前
2025,已将其拉入黑名单
2027,Lv.%d
2028,无技能
2029,获得%d经验
2030,Exp.  %d / %d
2031,获得%d金币
2032,× %d
2033,物攻：
2034,物防：
2035,魔攻：
2036,魔防：
2037,新装备：
2038,￥%.2f
2039,血量：
2040,血量：%d
2041,攻击：%d
2042,售价：%d
2043,技能：%s
2044,消耗金币
2045,升级成功
2046,+%d Exp
2047,售价
2048,现有金币
2049,出售成功
2050,新技能：
2051,您未选择私聊对象
2052,突破成功
2053,宠物未达到%d级，不能突破
2054,发送成功
2055,请输入账户信息
2056,"每%d回合一个循环，
在每个循环的第%d回合施放"
2057,密码*
2059,手机号码*
2060,密码长度过短，至少六位
2061,将用于密码找回
2062,密码不能为空
2063,手机号不正确
2065,账号绑定成功
2067,网络不给力
2068,激活码不正确
2069,+%d
2070,收件人不能为空
2071,拉黑成功
2072,夫妻
2073,陌生人
2074,请选择角色
2075,人族：三界中均衡的产物，凡间的居民。擅长用刀剑攻击敌人，同时也很善于守卫家园，保护同伴。
2076,魔族：三界之中浊气的化身，拥有魔性的精灵。擅长用法术攻击敌人，或者用妖法折磨、控制对手。
2077,仙族：三界中清气所凝聚的精灵，最接近神佛的存在。擅长用圣洁的仙术帮助同伴，抑或用灵力消灭邪魔。
2078,人类男
2079,人类女
2080,魔族男
2081,魔族女
2082,仙族男
2083,仙族女
2084,点击输入昵称
2085,新建账户
2086,标题不能为空
2087,内容不能为空
2091,物攻：+
2092,物防：+
2093,魔攻：+
2094,魔防：+
2095,生命：+
2096,命中：+
2097,闪避：+
2098,暴击：+
2099,韧性：+
2100,您的主角已达15级了，需要绑定账户才能继续游戏哦O(∩_∩)O
2101,您的宠物已经满级啦，不用再吃喽O(∩_∩)O
2102,名称：
2103,品质：
2104,可兑换：
2105,优秀
2106,精良
2107,史诗
2108,传说
2109,逆天
2110,不少于六位
2111,兑换成功！
2112,手机号不能为空！
2113,/%d
2114,"花费%s钻石就可获得%s体力
不会有体力溢出问题哦"
2115,如果当前账号未绑定手机号，新建账号后当前账号将丢失！
2116,RE：
2117,点确认观看录像
2118,宠物已锁定，请先解锁
2119,当前队列中的宠物无法加锁
2120,提供%d经验
2121,体力：
2122,（Lv. %d）
2123,[系统]
2124,(携带中)
2125,次级抽奖券 %d/10
2126,该宠物是替身，不能解锁
2127,缺少突破所需的祭品
2129,不使用替身
2130,MAX
2131,推荐
2132,繁忙
2133,维护中
2134,爆满
2135,"设置
替身"
2136,宠物未达到%d级，该技能不能升级
2137,主角未达到%d级，该技能不能升级
2138,请输入激活码
2139,您已经掉线
2140,成功率
2141,"为你心爱的她挑选一枚戒指吧
如果对方拒绝，钻石不会退还哦"
2142,购买%s消耗%d钻石。您确认购买吗？
2143,您确定要接受吗？
2144,"您确定要拒绝吗？
如果拒绝，你的追求者将损失大量钻石哦
╮(╯▽╰)╭"
2145,仙法：
2146,仙法：+
2147,离婚成功
2148,与配偶组队时，生命+%d%%，攻击+%d%%
2149,你确定要离婚吗？
2150,正常
2151,这封邮件还有附件没有取出，您确定要删除邮件吗？
2152,个
2153,分解出了%d个%s
2154,"%d级
开启"
2155,您没镶嵌任何宝石
2160,求婚信已发出
2161,(vip%d)
2162,在众神的见证下，我宣布你们结为夫妻……
2163,的老公
2164,的老婆
2165,职业：
2166,战士
2167,护卫
2168,法师
2169,巫师
2170,医师
2171,贤者
2172,宠物最多比主角高5级
2173,寂寞的少年啊，不能把自己填进黑名单啊
2174,Lv.%d/%d
2175,可突破
2176,材料不足
2177,等级不足
2178,你选的祭品已经足够突破了
2179,兑换材料中的宠物[%s]是替身宠，无法完成兑换
2180,兑换材料中的宠物[%s]被锁定，无法完成兑换
2181,兑换材料中的宠物[%s]是在队伍中，无法完成兑换
2182,宠物在队伍中，不可出售
2183,%s最多携带一个出战
2184,，
2185,%s，数量%d个
2186,%s完成了限时活动，获得丰厚大奖
2187,%s活动还剩余%d小时结束，完成可获得超值大奖
3000,天
3001,小时
3002,分钟
3003,发件人：
3004,标    题：
3005,（没有附件）
3006,收件人：
3007,VIP%d特权：
3008,VIP%d赠送：
3009,您的金币严重不足！
3010,您的钻石严重不足！
3011,（小提示：寄售金币也可收益钻石）
3012,您的体力严重不足！
3013,您的包裹居然满了！
3014,需要清理一下
3015,您的宠物数量已达上限！
3016,读取中……请稍候
3017,购买成功！
3018,获得体力
3019,关卡胜利后方可扫荡哦亲~~O(∩_∩)O
3020,恭喜您获得%d个机器人！
3021,第%d次扫荡：
3022,经验
3023,金币
3024, x %d
3025,机器人不足
3026,体力不足
3027,您的关卡次数不够了哦，等明天再来吧O(∩_∩)O
3028,经验 x %d
3029,金币 x %d
3030,道具 x %d 个
3031,宠物 x %d 个
3032,Lv %d -> %d
3033,pvp次数不足!（提高vip等级会获得更多的每日pvp次数！）
4000,你帮助陌生人 {{#00bb5dff{0}}} 战胜了{{#00bb5dff{1}}}副本{{#00bb5dff{2}}}的BOSS，获得了{3}个桃心。
4001,你帮助好友 {{#00bb5dff{0}}} 战胜了{{#00bb5dff{1}}}副本{{#00bb5dff{2}}}的BOSS，获得了{3}个桃心。
4002,系统消息
4003,音效
4004,音乐
4005,片头
4006,角色名：
4007,服务器：
4008,版本号：
4009,
4010,无法连接服务器了亲，请检查网络设置……
4011,确定
4012,玩家{0}拒绝了你的好友邀请
4013,好友邀请
4014,对
4015,说
4016,玩家{0}暂时不在线，请使用邮件
4017,更新失败…
4018,玩家{0}幸运的摸到了一只橙色{{#00ffb80b{1}}}\(≧▽≦)/
4019,您寄售的{1}个{0}已经售出，获得{2}蓝钻，欢迎再次光临。
4020,交易所
4021,您取消出售的{1}个{0}已经退还给您，请查收附件。
4022,您于{0}购买的{1}个蓝钻已经寄到，请查收。
4023,钻石购买回执单
4024,曾经有一段又呴呴又丢丢的耐情摆在我面前，我贼啦浪费没珍惜，等后来一想：坏了，早干哈去了。如果佛祖再给我个机会，我会对那妞说句：你好白。如果要在这段耐情前加个期限，我希望是：直到发现 外 星 人！
4025,求婚
4026,哎，那边的小哥，上回那妞同意嫁你了，赶紧的洞房，磨叽什么呢，记得拿上戒指昂，不用谢我。。╮(╯_╰)╭
4027,小帅哥，上回那妞不识相啊，拒绝跟你结婚，你说这事儿闹的，让你花的钱都浪费了，跟你说，要搁我我不忍了，不得再找个漂亮的，气死她，是吧。(╰_╯)#
