"Id
===
Id
===
int-cs","描述
===
Desc
===
string-cs","是否为掉落包
===
IsPackage
===
int-cs","产出上限
===
Capacity
===
int-cs","奖励0.Id
===
Rewards0.Id
===
int-cs","奖励0.数量
===
Rewards0.num
===
int-cs","奖励0.概率
===
Rewards0.Odds
===
int-cs","奖励1.Id
===
Rewards1.Id
===
int-cs","奖励1.数量
===
Rewards1.num
===
int-cs","奖励1.概率
===
Rewards1.Odds
===
int-cs","奖励2.Id
===
Rewards2.Id
===
int-cs","奖励2.数量
===
Rewards2.num
===
int-cs","奖励2.概率
===
Rewards2.Odds
===
int-cs","奖励3.Id
===
Rewards3.Id
===
int-cs","奖励3.数量
===
Rewards3.num
===
int-cs","奖励3.概率
===
Rewards3.Odds
===
int-cs","奖励4.Id
===
Rewards4.Id
===
int-cs","奖励4.数量
===
Rewards4.num
===
int-cs","奖励4.概率
===
Rewards4.Odds
===
int-cs","奖励5.Id
===
Rewards5.Id
===
int-cs","奖励5.数量
===
Rewards5.num
===
int-cs","奖励5.概率
===
Rewards5.Odds
===
int-cs","奖励6.Id
===
Rewards6.Id
===
int-cs","奖励6.数量
===
Rewards6.num
===
int-cs","奖励6.概率
===
Rewards6.Odds
===
int-cs","奖励7.Id
===
Rewards7.Id
===
int-cs","奖励7.数量
===
Rewards7.num
===
int-cs","奖励7.概率
===
Rewards7.Odds
===
int-cs","奖励8.Id
===
Rewards8.Id
===
int-cs","奖励8.数量
===
Rewards8.num
===
int-cs","奖励8.概率
===
Rewards8.Odds
===
int-cs","奖励9.Id
===
Rewards9.Id
===
int-cs","奖励9.数量
===
Rewards9.num
===
int-cs","奖励9.概率
===
Rewards9.Odds
===
int-cs","奖励10.Id
===
Rewards10.Id
===
int-cs","奖励10.数量
===
Rewards10.num
===
int-cs","奖励10.概率
===
Rewards10.Odds
===
int-cs","奖励11.Id
===
Rewards11.Id
===
int-cs","奖励11.数量
===
Rewards11.num
===
int-cs","奖励11.概率
===
Rewards11.Odds
===
int-cs","奖励12.Id
===
Rewards12.Id
===
int-cs","奖励12.数量
===
Rewards12.num
===
int-cs","奖励12.概率
===
Rewards12.Odds
===
int-cs","奖励13.Id
===
Rewards13.Id
===
int-cs","奖励13.数量
===
Rewards13.num
===
int-cs","奖励13.概率
===
Rewards13.Odds
===
int-cs","奖励14.Id
===
Rewards14.Id
===
int-cs","奖励14.数量
===
Rewards14.num
===
int-cs","奖励14.概率
===
Rewards14.Odds
===
int-cs"
20,经验包,0,1,3,10,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,新手关卡定制2,0,3,30043,3,10000,30035,5,10000,30030,3,10000,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
99,新手关卡定制1,0,3,30043,2,10000,30005,5,10000,30030,2,10000,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
100,武器Lv1,0,1,100000,1,9895,100100,1,9895,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
101,衣服Lv1,0,1,200000,1,9895,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
102,项链Lv1,0,1,300000,1,9895,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
103,戒指Lv1,0,1,400000,1,9895,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
104,鞋子Lv1,0,1,500000,1,9895,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
105,武器Lv10,0,1,111000,1,6991,111100,1,6991,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
106,衣服Lv10,0,1,211000,1,6991,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
107,项链Lv10,0,1,311000,1,6991,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
108,戒指Lv10,0,1,411000,1,6991,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
109,鞋子Lv10,0,1,511000,1,6991,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
110,武器Lv20,0,1,121000,1,1272,121100,1,1272,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
111,衣服Lv20,0,1,221000,1,1272,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
112,项链Lv20,0,1,321000,1,1272,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
113,戒指Lv20,0,1,421000,1,1272,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
114,鞋子Lv20,0,1,521000,1,1272,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0
115,铁力木包,0,1,30000,1,10000,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0
116,铁矿石包,0,1,30015,1,10000,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,1,-1,989,-1,-1,0,-1,-1,0
117,清水包,0,1,30025,1,10000,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,2,-1,989,-1,-1,0,-1,-1,0
118,桃木包,0,1,30001,1,3033,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,3,-1,699,-1,-1,0,-1,-1,0
119,铜矿石包,0,1,30016,1,3033,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,4,-1,699,-1,-1,0,-1,-1,0
120,铜水包,0,1,30026,1,3033,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,5,-1,699,-1,-1,0,-1,-1,0
121,樟木包,0,1,30002,1,1042,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,6,-1,244,-1,-1,0,-1,-1,0
122,银矿石包,0,1,30017,1,1042,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,7,-1,244,-1,-1,0,-1,-1,0
123,山泉水包,0,1,30027,1,1042,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,8,-1,244,-1,-1,0,-1,-1,0
124,紫檀包,0,1,30003,1,275,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,9,-1,127,-1,-1,0,-1,-1,0
125,金矿石包,0,1,30018,1,275,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,0,10,-1,127,-1,-1,0,-1,-1,0
