"Id
===
Id
===
int-c","名字描述
===
Name
===
string-c","特效名字
===
EffectName
===
string-c","特效扩展名字
===
EffectExName
===
string-c","类型
===
Type
===
int-c","延迟时间
===
DelayTime
===
int-c","持续时间
===
LastTime
===
int-c","X偏移
===
PosX
===
int-c","Y偏移
===
PosY
===
int-c","缩放
===
Scale
===
int-c","反转
===
Flipx
===
int-c","挂载点
===
Mount
===
string-c","音效
===
Music
===
string-c","特殊类型
===
SpeType
===
int-c","特殊值
===
SpeValue
===
int-c","特殊值
===
IsBack
===
int-c"
1003,战士-普攻-hit,effect_pugong_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,-50,100,0,#center#,skillaudio/pugong_hit,-1,-1,0
1013,战士-强攻-hit,effect_qianggong_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/qianggong_hit,-1,-1,0
1023,战士-割裂-hit,effect_gelie_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,70,0,#center#,skillaudio/gelie_hit,-1,-1,0
1024,战士-割裂-buff,effect_gelie_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,50,1,#center#,,-1,-1,0
1033,战士-穿刺-hit,effect_chuanci_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,70,0,#center#,skillaudio/chuanci_hit,-1,-1,0
1043,战士-双龙闪-hit,effect_shuanglongshan_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#center#,skillaudio/shuanglongshan_hit,-1,-1,0
1051,战士-剑舞-start,effect_jianwu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,150,0,#weapon#,skillaudio/jianwu_start,-1,-1,0
1053,战士-剑舞-hit,effect_jianwu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,150,0,#bottom#,skillaudio/jianwu_hit,-1,-1,0
1052,战士-剑舞-fly,effect_jianwu_fly.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,150,0,-1,,-1,-1,0
1511,战士-雷霆-start,effect_dunji_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/leiting_start,-1,-1,0
1513,战士-雷霆-hit,effect_shouji_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/leiting_hit,-1,-1,0
1521,战士-援护-start,effect_yuanhu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,-60,100,0,#bottom#,,-1,-1,0
1523,战士-援护-hit,effect_yuanhu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,70,0,#center#,skillaudio/yuanhu,-1,-1,0
1524,战士-援护-buff,effect_yuanhu_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,70,0,#center#,,-1,-1,0
1531,战士-强化-start,effect_qianghua_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,25,80,0,#center#,skillaudio/qianghua,-1,-1,0
1534,战士-强化-buff,effect_qianghua_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,25,80,0,#center#,,-1,-1,0
1541,战士-钝击-start,effect_dunji_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/dunji_start,-1,-1,0
1543,战士-钝击-hit,effect_dunji_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,50,0,#bottom#,skillaudio/dunji_hit,-1,-1,0
1551,战士-大地之盾-start,effect_dadizhidun_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,46,50,0,#center#,skillaudio/dadizhidun,-1,-1,0
1554,战士-大地之盾-buff,effect_dadizhidun_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,46,50,0,#center#,,-1,-1,0
1101,战士-王者复仇-start,effect_wangzhefuchou_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#top#,,-1,-1,0
1103,战士-王者复仇-hit,effect_wangzhefuchou_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#top#,skillaudio/wangzhefuchou,-1,-1,0
2544,法师-绊足-buff,effect_banzu_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,80,0,#bottom#,,-1,-1,0
2543,法师-绊足-hit,effect_banzu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,80,0,#bottom#,skillaudio/banzu_hit,-1,-1,0
2541,法师-绊足-start,effect_banzu_start.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#weapon#,skillaudio/banzu_start,-1,-1,0
2524,法师-冰雨-buff,effect_bingyu_buff.json,effect/effect_pugong_hit.atlas,0,0,-1,0,0,60,0,#bottom#,,-1,-1,0
2523,法师-冰雨-hit,effect_bingyu_hit.json,effect/effect_pugong_hit.atlas,0,0,0,0,0,100,0,#bottom#,skillaudio/bingyu,-1,-1,0
