"强化规则ID
===
Id
===
int-cs","强化层级
===
Level
===
int-cs","经验基数
===
ExpLevelBase
===
int-cs","经验成长
===
ExpLevelInc
===
int-cs","装备升级配置0.材料Id
===
EquipUpConfig0.Id
===
int-cs","装备升级配置0.材料数量
===
EquipUpConfig0.MaterialCount
===
int-cs","装备升级配置1.材料Id
===
EquipUpConfig1.Id
===
int-cs","装备升级配置1.材料数量
===
EquipUpConfig1.MaterialCount
===
int-cs","装备升级配置2.材料Id
===
EquipUpConfig2.Id
===
int-cs","装备升级配置2.材料数量
===
EquipUpConfig2.MaterialCount
===
int-cs","装备升级配置3.材料Id
===
EquipUpConfig3.Id
===
int-cs","装备升级配置3.材料数量
===
EquipUpConfig3.MaterialCount
===
int-cs","装备升级配置4.材料Id
===
EquipUpConfig4.Id
===
int-cs","装备升级配置4.材料数量
===
EquipUpConfig4.MaterialCount
===
int-cs","保底等级
===
SecurityLevel
===
int-cs","强化成功率
===
SuccessRate
===
int-cs","回退经验
===
BackExp
===
int-cs","装备属性配置0.基础
===
EquipAttributeConfig0.Attr
===
float-cs","装备属性配置0.成长
===
EquipAttributeConfig0.AttrInc
===
float-cs","装备属性配置1.基础
===
EquipAttributeConfig1.Attr
===
float-cs","装备属性配置1.成长
===
EquipAttributeConfig1.AttrInc
===
float-cs","装备属性配置2.基础
===
EquipAttributeConfig2.Attr
===
float-cs","装备属性配置2.成长
===
EquipAttributeConfig2.AttrInc
===
float-cs","装备属性配置3.基础
===
EquipAttributeConfig3.Attr
===
float-cs","装备属性配置3.成长
===
EquipAttributeConfig3.AttrInc
===
float-cs","装备属性配置4.基础
===
EquipAttributeConfig4.Attr
===
float-cs","装备属性配置4.成长
===
EquipAttributeConfig4.AttrInc
===
float-cs","装备属性配置5.基础
===
EquipAttributeConfig5.Attr
===
float-cs","装备属性配置5.成长
===
EquipAttributeConfig5.AttrInc
===
float-cs","装备属性配置6.基础
===
EquipAttributeConfig6.Attr
===
float-cs","装备属性配置6.成长
===
EquipAttributeConfig6.AttrInc
===
float-cs","装备属性配置7.基础
===
EquipAttributeConfig7.Attr
===
float-cs","装备属性配置7.成长
===
EquipAttributeConfig7.AttrInc
===
float-cs","装备属性配置8.基础
===
EquipAttributeConfig8.Attr
===
float-cs","装备属性配置8.成长
===
EquipAttributeConfig8.AttrInc
===
float-cs","装备属性配置9.基础
===
EquipAttributeConfig9.Attr
===
float-cs","装备属性配置9.成长
===
EquipAttributeConfig9.AttrInc
===
float-cs","装备属性配置10.基础
===
EquipAttributeConfig10.Attr
===
float-cs","装备属性配置10.成长
===
EquipAttributeConfig10.AttrInc
===
float-cs","装备属性配置11.基础
===
EquipAttributeConfig11.Attr
===
float-cs","装备属性配置11.成长
===
EquipAttributeConfig11.AttrInc
===
float-cs","装备属性配置12.基础
===
EquipAttributeConfig12.Attr
===
float-cs","装备属性配置12.成长
===
EquipAttributeConfig12.AttrInc
===
float-cs","装备属性配置13.基础
===
EquipAttributeConfig13.Attr
===
float-cs","装备属性配置13.成长
===
EquipAttributeConfig13.AttrInc
===
float-cs","装备属性配置14.基础
===
EquipAttributeConfig14.Attr
===
float-cs","装备属性配置14.成长
===
EquipAttributeConfig14.AttrInc
===
float-cs","装备属性配置15.基础
===
EquipAttributeConfig15.Attr
===
float-cs","装备属性配置15.成长
===
EquipAttributeConfig15.AttrInc
===
float-cs","装备属性配置16.基础
===
EquipAttributeConfig16.Attr
===
float-cs","装备属性配置16.成长
===
EquipAttributeConfig16.AttrInc
===
float-cs","装备属性配置17.基础
===
EquipAttributeConfig17.Attr
===
float-cs","装备属性配置17.成长
===
EquipAttributeConfig17.AttrInc
===
float-cs","装备属性配置18.基础
===
EquipAttributeConfig18.Attr
===
float-cs","装备属性配置18.成长
===
EquipAttributeConfig18.AttrInc
===
float-cs","装备属性配置19.基础
===
EquipAttributeConfig19.Attr
===
float-cs","装备属性配置19.成长
===
EquipAttributeConfig19.AttrInc
===
float-cs","装备属性配置20.基础
===
EquipAttributeConfig20.Attr
===
float-cs","装备属性配置20.成长
===
EquipAttributeConfig20.AttrInc
===
float-cs","装备属性配置21.基础
===
EquipAttributeConfig21.Attr
===
float-cs","装备属性配置21.成长
===
EquipAttributeConfig21.AttrInc
===
float-cs","装备属性配置22.基础
===
EquipAttributeConfig22.Attr
===
float-cs","装备属性配置22.成长
===
EquipAttributeConfig22.AttrInc
===
float-cs","装备属性配置23.基础
===
EquipAttributeConfig23.Attr
===
float-cs","装备属性配置23.成长
===
EquipAttributeConfig23.AttrInc
===
float-cs","装备属性配置24.基础
===
EquipAttributeConfig24.Attr
===
float-cs","装备属性配置24.成长
===
EquipAttributeConfig24.AttrInc
===
float-cs","装备属性配置25.基础
===
EquipAttributeConfig25.Attr
===
float-cs","装备属性配置25.成长
===
EquipAttributeConfig25.AttrInc
===
float-cs","装备属性配置26.基础
===
EquipAttributeConfig26.Attr
===
float-cs","装备属性配置26.成长
===
EquipAttributeConfig26.AttrInc
===
float-cs","装备属性配置27.基础
===
EquipAttributeConfig27.Attr
===
float-cs","装备属性配置27.成长
===
EquipAttributeConfig27.AttrInc
===
float-cs","装备属性配置28.基础
===
EquipAttributeConfig28.Attr
===
float-cs","装备属性配置28.成长
===
EquipAttributeConfig28.AttrInc
===
float-cs","装备属性配置29.基础
===
EquipAttributeConfig29.Attr
===
float-cs","装备属性配置29.成长
===
EquipAttributeConfig29.AttrInc
===
float-cs","装备属性配置30.基础
===
EquipAttributeConfig30.Attr
===
float-cs","装备属性配置30.成长
===
EquipAttributeConfig30.AttrInc
===
float-cs","装备属性配置31.基础
===
EquipAttributeConfig31.Attr
===
float-cs","装备属性配置31.成长
===
EquipAttributeConfig31.AttrInc
===
float-cs"
#表头说明,,,,,,,,,,,,,,,,,攻击力,,防御,,生命,,魔法,,土属性攻击,,水属性攻击,,火属性攻击,,风属性攻击,,土属性抗性,,水属性抗性,,火属性抗性,,风属性抗性,,破击,,暴击,,韧性,,格挡,,血量恢复速度,,魔法恢复速度,,移动速度,,幸运,,无双值,,无双恢复速度,,攻速,,体力值,,攻击距离,,额外伤害,,伤害减免,,,,,,,,,,,
#默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
#标准值(更新状态),,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1,1,800,235,0,0,0,0,0,0,0,0,0,0,0,0,0,62,9,53,8,2160,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,36,5,34,5,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,1,0,0,0,0,0,0,0,0,0,0
#2,2,3350,495,0,0,0,0,0,0,0,0,0,0,0,0,0,160,13,136,11,5567,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,8,93,8,89,7,89,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,1,20,1,0,0,0,0,0,0,0,0,0,0
#3,3,8600,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,297,20,252,17,10304,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,12,173,12,164,11,164,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,37,2,37,2,0,0,0,0,0,0,0,0,0,0
#4,4,20450,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,504,29,428,24,17450,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,17,294,17,279,16,279,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,63,3,63,3,0,0,0,0,0,0,0,0,0,0
#5,5,44300,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,796,33,677,28,27589,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,19,464,19,441,18,441,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,99,4,99,4,0,0,0,0,0,0,0,0,0,0
#6,6,89150,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,33,962,28,39222,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,19,660,19,627,18,627,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,141,4,141,4,0,0,0,0,0,0,0,0,0,0
#7,7,146000,6615,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,33,1248,28,50856,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,19,856,19,813,18,813,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,183,4,183,4,0,0,0,0,0,0,0,0,0,0
#8,8,214850,7755,0,0,0,0,0,0,0,0,0,0,0,0,0,1804,33,1534,28,62490,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,19,1052,19,1000,18,1000,18,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,225,4,225,4,0,0,0,0,0,0,0,0,0,0
#9,9,295700,8895,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,33,1819,28,74124,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,19,1248,19,1186,18,1186,18,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,267,4,267,4,0,0,0,0,0,0,0,0,0,0
#10,10,388550,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,33,2105,28,85758,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,19,1444,19,1372,18,1372,18,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,309,4,309,4,0,0,0,0,0,0,0,0,0,0
#11,11,493400,11175,0,0,0,0,0,0,0,0,0,0,0,0,0,2812,33,2390,28,97392,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640,19,1640,19,1558,18,1558,18,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,351,4,351,4,0,0,0,0,0,0,0,0,0,0
#12,12,610250,12315,0,0,0,0,0,0,0,0,0,0,0,0,0,3148,33,2676,28,109026,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,19,1836,19,1744,18,1744,18,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,393,4,393,4,0,0,0,0,0,0,0,0,0,0
