"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","描述
===
Description
===
string-cs","任务分类(0：每日，1：主线，2：支线)
===
ClassId
===
int-cs","任务开启时间(分号分割)
===
Week
===
string-cs","奖励包(DropAwardTable)
===
RewardId
===
int-cs","任务类型
===
TaskTypes
===
int-cs","需要次数
===
NeedNum
===
int-cs","任务需求相关参数0
===
Parameter0
===
int-cs","任务需求相关参数1
===
Parameter1
===
int-cs","任务需求相关参数2
===
Parameter2
===
int-cs","任务需求相关参数3
===
Parameter3
===
int-cs","任务需求相关参数4
===
Parameter4
===
int-cs","任务需求相关参数5
===
Parameter5
===
int-cs","活跃度
===
ActivePoint
===
int-cs","上一个任务
===
LastTask
===
int-cs","等级限制
===
LevelLimit
===
int-cs","展示ID
===
ShowID
===
int-c"
#任务类型,,,,,,,,,,,,,,,,,
#0,通关X次普通关卡,,1,0,10000,0,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#1,通关X次精英关卡,,1,0,10000,1,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#3,装备强化X次,,1,0,10000,3,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#4,武将提升品质X次,,1,0,10000,4,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#5,武将升级X次,,1,0,10000,5,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#7,世界发言X次,,1,0,10000,7,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#8,商店购买X次,,1,0,10000,8,2,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#9,完成X次竞技场,,1,0,10000,9,2,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#15,进行X次摇钱树,,1,0,10000,15,2,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#16,购买X次体力,,1,0,10000,16,2,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#18,每日签到,,1,0,10000,18,1,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#19,每日进行x次探索（包括初级和高级）,,1,0,10000,19,2,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#20,每天参与x次冒险（包括BOSS，精英，无双挑战）,,1,0,10000,20,3,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#21,完成某个指定关卡X次。（参数1：代表关卡ID）,,1,0,10000,21,1,1001,-1,-1,-1,-1,-1,0,-1,0,10001
#22,主角学习或者升级技能X次。,,1,0,10000,22,2,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#23,合成功能操作X次。（参数1代表合成类型）,,1,0,10000,23,2,1,-1,-1,-1,-1,-1,0,-1,0,10001
#24,进行X次装备穿戴。,,1,0,10000,24,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#25,武将进行X次法宝的激活。,,1,0,10000,25,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#26,上阵武将x次,,1,0,10000,26,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#27,镶嵌X颗宝石,,1,0,10000,27,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#28,完成领取X个日常任务(以领取日常任务为标准),,1,0,10000,28,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#29,完成领取X个成就(以领取成就奖励为标准),,1,0,10000,29,5,-1,-1,-1,-1,-1,-1,0,-1,0,10001
#主线任务,,,,,,,,,,,,,,,,,
10000,【主】学习战斗,成功通关【龙德殿】副本。,1,0,10000,21,1,102,1,-1,-1,-1,-1,0,-1,0,10023
10001,【主】继续战斗,成功通关【蛮荒伊始】副本。,1,0,10001,21,1,1001,2,-1,-1,-1,-1,0,10000,0,10023
10002,【主】不惧艰险,成功通关【旗鼓相当】副本。,1,0,10002,21,1,1003,2,-1,-1,-1,-1,0,10001,0,10023
10003,【主】倾尽天下,成功通关【倾尽天下】副本。,1,0,10003,21,1,1005,2,-1,-1,-1,-1,0,10002,0,10023
10004,【主】尊王攘夷,成功通关【尊王攘夷】副本。,1,0,10004,21,1,2001,3,-1,-1,-1,-1,0,10003,0,10023
10005,【主】当世名将,成功通关【当世名将】副本。,1,0,10005,21,1,2003,3,-1,-1,-1,-1,0,10004,0,10023
10006,【主】一鸣惊人,成功通关【一鸣惊人】副本。,1,0,10006,21,1,2005,3,-1,-1,-1,-1,0,10005,0,10023
10007,【主】亲政加冕,成功通关【亲政加冕】副本。,1,0,10007,21,1,3001,4,-1,-1,-1,-1,0,10006,0,10023
10008,【主】长平之战,成功通关【长平之战】副本。,1,0,10008,21,1,3003,4,-1,-1,-1,-1,0,10007,0,10023
10009,【主】龙城飞将,成功通关【龙城飞将】副本。,1,0,10009,21,1,3005,4,-1,-1,-1,-1,0,10008,0,10023
10010,【主】一统中原,成功通关【一统中原】副本。,1,0,10010,21,1,3007,4,-1,-1,-1,-1,0,10009,0,10023
10011,【主】王陵深处,成功通关【王陵深处】副本。,1,0,10011,21,1,4001,5,-1,-1,-1,-1,0,10010,0,10023
10012,【主】赴宴鸿门,成功通关【赴宴鸿门】副本。,1,0,10012,21,1,4003,5,-1,-1,-1,-1,0,10011,0,10023
10013,【主】垓下之战,成功通关【垓下之战】副本。,1,0,10013,21,1,4005,5,-1,-1,-1,-1,0,10012,0,10023
10014,【主】合肥会战,成功通关【合肥会战】副本。,1,0,10014,21,1,4007,5,-1,-1,-1,-1,0,10013,0,10023
#支线任务,,,,,,,,,,,,,,,,,
50000,【支】精英副本1,成功通关一次【蛮荒伊始-精英】副本。,2,0,50000,21,1,101001,100002,-1,-1,-1,-1,0,-1,8,10024
50001,【支】精英副本2,成功通关二次【助纣为虐-精英】副本。,2,0,50001,21,2,101002,100002,-1,-1,-1,-1,0,50000,0,10024
50002,【支】精英副本3,成功通关二次【力挽狂澜-精英】副本。,2,0,50002,21,2,101004,100002,-1,-1,-1,-1,0,50001,0,10024
50003,【支】精英副本4,成功通关二次【盘蛇山脉-精英】副本。,2,0,50003,21,2,101006,100002,-1,-1,-1,-1,0,50002,0,10024
50004,【支】精英副本5,成功通关二次【纷争割据-精英】副本。,2,0,50004,21,2,102002,100003,-1,-1,-1,-1,0,50003,0,10024
50005,【支】精英副本6,成功通关二次【希望之光-精英】副本。,2,0,50005,21,2,102004,100003,-1,-1,-1,-1,0,50004,0,10024
50006,【支】精英副本7,成功通关二次【退避三舍-精英】副本。,2,0,50006,21,2,102006,100003,-1,-1,-1,-1,0,50005,0,10024
50007,【支】精英副本8,成功通关三次【调兵遣将-精英】副本。,2,0,50007,21,3,103002,100004,-1,-1,-1,-1,0,50006,0,10024
50008,【支】精英副本9,成功通关三次【天下合纵-精英】副本。,2,0,50008,21,3,103004,100004,-1,-1,-1,-1,0,50007,0,10024
50009,【支】精英副本10,成功通关三次【各个击破-精英】副本。,2,0,50009,21,3,103006,100004,-1,-1,-1,-1,0,50008,0,10024
50010,【支】精英副本11,成功通关三次【初现锋芒-精英】副本。,2,0,50010,21,3,103008,100004,-1,-1,-1,-1,0,50009,0,10024
50011,【支】精英副本12,成功通关三次【力拔山兮-精英】副本。,2,0,50011,21,3,104002,100005,-1,-1,-1,-1,0,50010,0,10024
50012,【支】精英副本13,成功通关三次【刘邦危难-精英】副本。,2,0,50012,21,3,104004,100005,-1,-1,-1,-1,0,50011,0,10024
50013,【支】精英副本14,成功通关三次【魂灭乌江-精英】副本。,2,0,50013,21,3,104006,100005,-1,-1,-1,-1,0,50012,0,10024
50014,【支】精英副本15,成功通关三次【夷陵之战-精英】副本。,2,0,50014,21,3,104008,100005,-1,-1,-1,-1,0,50013,0,10024
52000,【支】强化装备,成功强化五次装备。,2,0,52000,3,5,-1,-1,-1,-1,-1,-1,0,10001,0,10024
