"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","进化配置0.物品Id
===
EvolutionConfig0.Id
===
int-cs","进化配置0.物品数量
===
EvolutionConfig0.Count
===
int-cs","进化配置1.物品Id
===
EvolutionConfig1.Id
===
int-cs","进化配置1.物品数量
===
EvolutionConfig1.Count
===
int-cs","进化配置2.物品Id
===
EvolutionConfig2.Id
===
int-cs","进化配置2.物品数量
===
EvolutionConfig2.Count
===
int-cs","进化配置3.物品Id
===
EvolutionConfig3.Id
===
int-cs","进化配置3.物品数量
===
EvolutionConfig3.Count
===
int-cs","进化配置4.物品Id
===
EvolutionConfig4.Id
===
int-cs","进化配置4.物品数量
===
EvolutionConfig4.Count
===
int-cs","被吞噬的数量
===
EatenCount
===
int-cs","可以被吞噬的宠物Id0
===
EatenPetId0
===
int-cs","可以被吞噬的宠物Id1
===
EatenPetId1
===
int-cs","可以被吞噬的宠物Id2
===
EatenPetId2
===
int-cs","可以被吞噬的宠物Id3
===
EatenPetId3
===
int-cs","可以被吞噬的宠物Id4
===
EatenPetId4
===
int-cs","钱消耗
===
Cost
===
int-cs"
51001,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51001,-1,-1,-1,-1,150000
51002,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51001,-1,-1,-1,-1,300000
51003,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51002,-1,-1,-1,-1,450000
51004,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51002,-1,-1,-1,-1,600000
51021,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51021,-1,-1,-1,-1,37500
51022,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51021,-1,-1,-1,-1,75000
51023,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51022,-1,-1,-1,-1,112500
51024,敖广,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51022,-1,-1,-1,-1,150000
51101,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51101,-1,-1,-1,-1,150000
51102,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51101,-1,-1,-1,-1,300000
51103,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51102,-1,-1,-1,-1,450000
51104,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51102,-1,-1,-1,-1,600000
51121,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51121,-1,-1,-1,-1,37500
51122,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51121,-1,-1,-1,-1,75000
51123,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51122,-1,-1,-1,-1,112500
51124,敖钦,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51122,-1,-1,-1,-1,150000
51201,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51201,-1,-1,-1,-1,150000
51202,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51201,-1,-1,-1,-1,300000
51203,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51202,-1,-1,-1,-1,450000
51204,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51202,-1,-1,-1,-1,600000
51221,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51221,-1,-1,-1,-1,37500
51222,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51221,-1,-1,-1,-1,75000
51223,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51222,-1,-1,-1,-1,112500
51224,敖润,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51222,-1,-1,-1,-1,150000
51301,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51301,-1,-1,-1,-1,150000
51302,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51301,-1,-1,-1,-1,300000
51303,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51302,-1,-1,-1,-1,450000
51304,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51302,-1,-1,-1,-1,600000
51321,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51321,-1,-1,-1,-1,37500
51322,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51321,-1,-1,-1,-1,75000
51323,敖顺,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,51322,-1,-1,-1,-1,112500
