"兑换次数
===
Id
===
int-cs","所需钻石数量
===
NeedDiamondCount
===
int-cs","获取金币数量
===
GetGoldCount
===
int-cs"
#0,0,0
1,10,27775
2,20,28050
3,20,28325
4,20,28600
5,50,28875
6,50,29150
7,50,29425
8,100,29700
9,100,29975
10,100,30525
11,150,30800
12,150,31075
13,150,31350
14,200,31625
15,200,31900
16,200,32175
17,250,32450
18,250,32725
19,250,33000
20,300,33550
21,300,33825
22,300,34100
23,350,34375
24,350,34650
25,350,34925
26,400,35200
27,400,35475
28,400,35750
29,450,36025
30,450,36575
31,450,36850
32,500,37125
33,500,37400
34,500,37675
35,550,37950
36,550,38225
37,550,38500
38,600,38775
39,600,39050
40,600,39600
41,650,39875
42,650,40150
43,650,40425
44,700,40700
45,700,40975
46,700,41250
47,750,41525
48,750,41800
49,750,42075
50,800,42625
51,800,42900
52,800,43175
53,850,43450
54,850,43725
55,850,44000
56,900,44275
57,900,44550
58,900,44825
59,950,45100
60,950,45650
61,950,45925
62,1000,46200
63,1000,46475
64,1000,46750
65,1050,47025
66,1050,47300
67,1050,47575
68,1100,47850
69,1100,48125
70,1100,48675
71,1150,48950
72,1150,49225
73,1150,49500
74,1200,49775
75,1200,50050
76,1200,50325
77,1250,50600
78,1250,50875
79,1250,51150
80,1300,51700
81,1300,51975
82,1300,52250
83,1350,52525
84,1350,52800
85,1350,53075
86,1400,53350
87,1400,53625
88,1400,53900
89,1450,54175
90,1450,54725
91,1450,55000
92,1500,55275
93,1500,55550
94,1500,55825
95,1550,56100
96,1550,56375
97,1550,56650
98,1600,56925
99,1600,57200
100,1600,57750
101,1650,58025
102,1650,58300
103,1650,58575
104,1700,58850
105,1700,59125
106,1700,59400
107,1750,59675
108,1750,59950
109,1750,60225
110,1800,60775
111,1800,61050
112,1800,61325
113,1850,61600
114,1850,61875
115,1850,62150
116,1900,62425
117,1900,62700
118,1900,62975
119,1950,63250
120,1950,63800
121,1950,64075
122,2000,64350
123,2000,64625
124,2000,64900
125,2050,65175
126,2050,65450
127,2050,65725
128,2100,66000
129,2100,66275
130,2100,66825
131,2150,67100
132,2150,67375
133,2150,67650
134,2200,67925
135,2200,68200
136,2200,68475
137,2250,68750
138,2250,69025
139,2250,69300
140,2300,69850
141,2300,70125
142,2300,70400
143,2350,70675
144,2350,70950
145,2350,71225
146,2400,71500
147,2400,71775
148,2400,72050
149,2450,72325
150,2450,72875
151,2450,73150
152,2500,73425
153,2500,73700
154,2500,73975
155,2550,74250
156,2550,74525
157,2550,74800
158,2600,75075
159,2600,75350
160,2600,75900
161,2650,76175
162,2650,76450
163,2650,76725
164,2700,77000
165,2700,77275
166,2700,77550
167,2750,77825
168,2750,78100
169,2750,78375
170,2800,78925
171,2800,79200
172,2800,79475
173,2850,79750
174,2850,80025
175,2850,80300
176,2900,80575
177,2900,80850
178,2900,81125
179,2950,81400
180,2950,81950
181,2950,82225
182,3000,82500
183,3000,82775
184,3000,83050
185,3050,83325
186,3050,83600
187,3050,83875
188,3100,84150
189,3100,84425
190,3100,84975
191,3150,85250
192,3150,85525
193,3150,85800
194,3200,86075
195,3200,86350
196,3200,86625
197,3250,86900
198,3250,87175
199,3250,87450
200,3300,88000
201,3300,88275
202,3300,88550
203,3350,88825
204,3350,89100
205,3350,89375
206,3400,89650
207,3400,89925
208,3400,90200
209,3450,90475
210,3450,91025
211,3450,91300
212,3500,91575
213,3500,91850
214,3500,92125
215,3550,92400
216,3550,92675
217,3550,92950
218,3600,93225
219,3600,93500
220,3600,94050
221,3650,94325
222,3650,94600
223,3650,94875
224,3700,95150
225,3700,95425
226,3700,95700
227,3750,95975
228,3750,96250
229,3750,96525
230,3800,97075
231,3800,97350
232,3800,97625
233,3850,97900
234,3850,98175
235,3850,98450
236,3900,98725
237,3900,99000
238,3900,99275
239,3950,99550
240,3950,100100
241,3950,100375
242,4000,100650
243,4000,100925
244,4000,101200
245,4050,101475
246,4050,101750
247,4050,102025
248,4100,102300
249,4100,102575
250,4100,103125
251,4150,103400
252,4150,103675
253,4150,103950
254,4200,104225
255,4200,104500
256,4200,104775
257,4250,105050
258,4250,105325
259,4250,105600
260,4300,106150
261,4300,106425
262,4300,106700
263,4350,106975
264,4350,107250
265,4350,107525
266,4400,107800
267,4400,108075
268,4400,108350
269,4450,108625
270,4450,109175
271,4450,109450
272,4500,109725
273,4500,110000
274,4500,110275
275,4550,110550
276,4550,110825
277,4550,111100
278,4600,111375
279,4600,111650
280,4600,112200
281,4650,112475
282,4650,112750
283,4650,113025
284,4700,113300
285,4700,113575
286,4700,113850
287,4750,114125
288,4750,114400
289,4750,114675
290,4800,115225
291,4800,115500
292,4800,115775
293,4850,116050
294,4850,116325
295,4850,116600
296,4900,116875
297,4900,117150
298,4900,117425
299,4950,117700
300,4950,118250
301,4950,118525
302,5000,118800
303,5000,119075
304,5000,119350
305,5050,119625
306,5050,119900
307,5050,120175
308,5100,120450
309,5100,120725
310,5100,121275
311,5150,121550
312,5150,121825
313,5150,122100
314,5200,122375
315,5200,122650
316,5200,122925
317,5250,123200
318,5250,123475
319,5250,123750
320,5300,124300
321,5300,124575
322,5300,124850
323,5350,125125
324,5350,125400
325,5350,125675
