"Id
===
Id
===
int-s","名称
===
Name
===
string-s","初始值
===
InitValue
===
float-s"
#0,副本战斗,0
1,战斗场景敌人数量限制,15
2,HP/MP恢复时间,1
3,连击重置时间,2.5
4,摄像机视野,45
5,摄像机高度,13
6,摄像机角度,45
7,空中被击滞空时间,0.1
8,倒地被击滞空,0.1
9,死亡浮空-速度,5
10,死亡浮空-时间,0.1
11,倒地浮空-速度,5
12,倒地浮空-时间,0.1
13,倒地起身-时间,0.5
14,尸体存在-时间,2
15,浮空上升重力倍数,7
16,浮空下落重力倍数,1
17,浮空击退速度,1
18,摄像机位置角度,0
19,浮空高度上限,2.5
#0,战斗公式,0
100,战斗数值：最小伤害,1
101,战斗数值：等级差最小等级,-10
102,战斗数值：等级差最大等级,99
103,战斗数值：等级差修正参数,0.05
104,战斗数值：最小暴击率,0.001
105,战斗数值：基本暴击伤害倍率,1.5
106,战斗数值：基本格挡伤害倍率,0.6
107,1级无双值,100
108,2级无双值,200
110,战斗数值：武器攻击系数--默认,1
111,战斗数值：武器攻击系数--单手武器,0.85
112,战斗数值：武器攻击系数--重武器,1.15
113,战斗数值：武器攻击系数--长武器,1
114,战斗数值：武器攻击系数--快速武器,1
115,战斗数值：武器防御系数--默认,3
116,战斗数值：武器防御系数--单手武器,2.4
117,战斗数值：武器防御系数--重武器,3.5
118,战斗数值：武器防御系数--长武器,3
119,战斗数值：武器防御系数--快速武器,3
120,战斗数值：元素伤害最低值,1
121,战斗数值：最终伤害最低值,10
122,战斗数值：暴击系数,500
123,战斗数值：暴击基础值,0.2
124,战斗数值：暴击率上限,0.6
125,战斗数值：格挡系数,500
126,战斗数值：格挡基础值,0.2
127,战斗数值：格挡率上限,0.8
128,战斗数值：浮动伤害下限,0.8
129,战斗数值：浮动伤害上限,1.2
#0,（合体）无双技,
200,合体无双技AI索敌范围,10
201,合体无双技武将跳到敌人身边时距离,2
202,合体无双摄像机切换跟踪对象（包括其他功能切换对象） 摄像机移动速度,10
#0,主角一般技能,
300,一般动作ID--单手武器,4
301,普通攻击--单手武器,12000
302,合体无双起手--单手武器,12500
303,合体无双终结--单手武器,12400
304,双击技能--单手武器,12300
305,划屏技能--单手武器,12100
306,单体无双--单手武器,12400
307,自动攻击索敌范围--单手武器,2
308,自动攻击索敌角度--单手武器,75
309,冲刺攻击索敌范围--单手武器,8
310,一般动作ID--重武器,5
311,普通攻击--重武器,10000
312,合体无双起手--重武器,10500
313,合体无双终结--重武器,10400
314,双击技能--重武器,10300
315,划屏技能--重武器,10100
316,单体无双--重武器,10400
317,自动攻击索敌范围--重武器,2
318,自动攻击索敌角度--重武器,75
319,冲刺攻击索敌范围--重武器,8
320,一般动作ID--长武器,-1
321,普通攻击--长武器,-1
322,合体无双起手--长武器,-1
323,合体无双终结--长武器,-1
324,双击技能--长武器,-1
325,划屏技能--长武器,-1
326,单体无双--长武器,-1
327,自动攻击索敌范围--长武器,4
328,自动攻击索敌角度--长武器,45
329,冲刺攻击索敌范围--长武器,5
330,一般动作ID--快速武器,-1
