"Id
===
Id
===
int-s","名称
===
Name
===
string-s","等级
===
Level
===
int-s","模型Id
===
AvatarId
===
int-s","装备Id0
===
EquipId0
===
int-s","装备Id1
===
EquipId1
===
int-s","装备Id2
===
EquipId2
===
int-s","技能Id0
===
SkillId0
===
int-s","技能Id1
===
SkillId1
===
int-s","技能Id2
===
SkillId2
===
int-s","技能Id3
===
SkillId3
===
int-s"
1,风飞的云,1,0,100,700,900,1001,1011,-1,-1
2,一刹那,1,0,200,700,900,1001,1011,-1,-1
3,殷楚歌,1,0,300,700,900,1001,1011,-1,-1
4,痴情郎,1,0,100,700,900,1001,1011,-1,-1
5,鸭梨山大姐,1,0,200,700,900,1001,1011,-1,-1
11,风吹沙,1,1,300,1100,1300,1001,1011,-1,-1
12,信鹏也在,1,1,100,1100,1300,1001,1011,-1,-1
13,先生,1,1,200,1100,1300,1001,1011,-1,-1
14,阿不先生,1,1,300,1100,1300,1001,1011,-1,-1
15,笑颜依旧丶,1,1,100,1100,1300,1001,1011,-1,-1
21,空灬白,1,2,2100,2600,2800,2001,2011,-1,-1
22,尤崖瞳,1,2,2200,2600,2800,2001,2011,-1,-1
23,碧落清空,1,2,2000,2600,2800,2001,2011,-1,-1
24,嗜酒小子,1,2,2100,2600,2800,2001,2011,-1,-1
25,尹夏天°,1,2,2200,2600,2800,2001,2011,-1,-1
31,丶杜耒糸,1,3,2000,3000,3200,2001,2011,-1,-1
32,午夜的星空,1,3,2100,3000,3200,2001,2011,-1,-1
33,Zsor,1,3,2200,3000,3200,2001,2011,-1,-1
34,浅堂18,1,3,2000,3000,3200,2001,2011,-1,-1
35,我爱吃泡芙,1,3,2100,3000,3200,2001,2011,-1,-1
46,北邙迷彦,1,4,4500,4700,4900,3501,3511,-1,-1
47,°温柔．て,1,4,4300,4700,4900,3501,3511,-1,-1
48,汗了偶,1,4,4400,4700,4900,3501,3511,-1,-1
49,独秀捁~?,1,4,4500,4700,4900,3501,3511,-1,-1
50,圣手V马哥,1,4,4300,4700,4900,3501,3511,-1,-1
56,赫连朵颜,1,5,4400,5100,5300,3501,3511,-1,-1
57,冷随风,1,5,4500,5100,5300,3501,3511,-1,-1
58,聚鑫沙沙,1,5,4300,5100,5300,3501,3511,-1,-1
59,来领便当,1,5,4400,5100,5300,3501,3511,-1,-1
60,LoR?,1,5,4500,5100,5300,3501,3511,-1,-1
61,喵喵妙,2,0,101,701,901,1001,1011,-1,-1
62,缔造雪儿,2,0,201,701,901,1001,1011,-1,-1
63,慕容寒妙,2,0,301,701,901,1001,1011,-1,-1
64,魔形天下,2,0,101,701,901,1001,1011,-1,-1
65,六节课,2,0,201,701,901,1001,1011,-1,-1
71,韶宇玄19,2,1,301,1101,1301,1001,1011,-1,-1
72,瑞福斯,2,1,101,1101,1301,1001,1011,-1,-1
73,火舞耀扬,2,1,201,1101,1301,1001,1011,-1,-1
74,蛋疼明,2,1,301,1101,1301,1001,1011,-1,-1
75,Mr小黑,2,1,101,1101,1301,1001,1011,-1,-1
81,八旗の榴莲,2,2,2101,2601,2801,2001,2011,-1,-1
82,传奇幽雅,2,2,2201,2601,2801,2001,2011,-1,-1
83,开心小子,2,2,2001,2601,2801,2001,2011,-1,-1
84,司徒文希,2,2,2101,2601,2801,2001,2011,-1,-1
85,屠你又如何,2,2,2201,2601,2801,2001,2011,-1,-1
91,戎彦远,2,3,2001,3001,3201,2001,2011,-1,-1
92,寒冰懿,2,3,2101,3001,3201,2001,2011,-1,-1
93,星辰陈晨,2,3,2201,3001,3201,2001,2011,-1,-1
94,柒然焰,2,3,2001,3001,3201,2001,2011,-1,-1
95,熊晓乐oO,2,3,2101,3001,3201,2001,2011,-1,-1
106,劳力士先生,2,4,4501,4701,4901,3501,3511,-1,-1
107,多一℃悲伤,2,4,4301,4701,4901,3501,3511,-1,-1
108,请叫我盘古,2,4,4401,4701,4901,3501,3511,-1,-1
109,夕之恋,2,4,4501,4701,4901,3501,3511,-1,-1
110,缔造奶牛,2,4,4301,4701,4901,3501,3511,-1,-1
116,独秀平邑,2,5,4401,5101,5301,3501,3511,-1,-1
117,一大口内涵,2,5,4501,5101,5301,3501,3511,-1,-1
118,涵筱熙丶,2,5,4301,5101,5301,3501,3511,-1,-1
119,坏坏小夜,2,5,4401,5101,5301,3501,3511,-1,-1
120,慕容乐蕊,2,5,4501,5101,5301,3501,3511,-1,-1
121,ァ祸害、,3,0,102,702,902,1001,1011,-1,-1
122,幸北孤,3,0,202,702,902,1001,1011,-1,-1
123,K軽?淡,3,0,302,702,902,1001,1011,-1,-1
124,寒冰捄,3,0,102,702,902,1001,1011,-1,-1
125,哥为美人死,3,0,202,702,902,1001,1011,-1,-1
131,訫茹祇水,3,1,302,1102,1302,1001,1011,-1,-1
132,黯X夜皇,3,1,102,1102,1302,1001,1011,-1,-1
133,颜佑苍,3,1,202,1102,1302,1001,1011,-1,-1
134,小鱼儿,3,1,302,1102,1302,1001,1011,-1,-1
135,宇文夜梅,3,1,102,1102,1302,1001,1011,-1,-1
141,剩蛋撸人,3,2,2102,2602,2802,2001,2011,-1,-1
142,龙城欧菲儿,3,2,2202,2602,2802,2001,2011,-1,-1
143,海德格,3,2,2002,2602,2802,2001,2011,-1,-1
144,灰丶太狼丶,3,2,2102,2602,2802,2001,2011,-1,-1
145,青丝万千,3,2,2202,2602,2802,2001,2011,-1,-1
151,胥宇炎,3,3,2002,3002,3202,2001,2011,-1,-1
152,灰色眼镜,3,3,2102,3002,3202,2001,2011,-1,-1
153,情谊里的,3,3,2202,3002,3202,2001,2011,-1,-1
154,肥肠粉,3,3,2002,3002,3202,2001,2011,-1,-1
155,萌小闪,3,3,2102,3002,3202,2001,2011,-1,-1
166,颜曼云,3,4,4502,4702,4902,3501,3511,-1,-1
167,到处留情ぁ,3,4,4302,4702,4902,3501,3511,-1,-1
168,狼魂诗歌,3,4,4402,4702,4902,3501,3511,-1,-1
169,斩天易帅,3,4,4502,4702,4902,3501,3511,-1,-1
170,浅笑．,3,4,4302,4702,4902,3501,3511,-1,-1
176,情谊拉到,3,5,4402,5102,5302,3501,3511,-1,-1
177,潇湘影和,3,5,4502,5102,5302,3501,3511,-1,-1
178,陳慕水,3,5,4302,5102,5302,3501,3511,-1,-1
179,北傲丶圣手,3,5,4402,5102,5302,3501,3511,-1,-1
180,无聊啊,3,5,4502,5102,5302,3501,3511,-1,-1
181,我是菜鸟,4,0,103,703,903,1001,1011,-1,-1
182,CD潮潮,4,0,203,703,903,1001,1011,-1,-1
183,风间弭忆,4,0,303,703,903,1001,1011,-1,-1
184,戎兮扬,4,0,103,703,903,1001,1011,-1,-1
185,非诚勿扰、,4,0,203,703,903,1001,1011,-1,-1
191,郁涵易,4,1,303,1103,1303,1001,1011,-1,-1
192,轻风细雨,4,1,103,1103,1303,1001,1011,-1,-1
193,红尘有梦,4,1,203,1103,1303,1001,1011,-1,-1
194,一统江湖,4,1,303,1103,1303,1001,1011,-1,-1
195,小肥仔,4,1,103,1103,1303,1001,1011,-1,-1
201,摆摊买幸福,4,2,2103,2603,2803,2001,2011,-1,-1
202,浅色梦幻,4,2,2203,2603,2803,2001,2011,-1,-1
203,廖雁卉,4,2,2003,2603,2803,2001,2011,-1,-1
204,Mian杨,4,2,2103,2603,2803,2001,2011,-1,-1
205,落凡蕾,4,2,2203,2603,2803,2001,2011,-1,-1
211,々瞳☆话メ,4,3,2003,3003,3203,2001,2011,-1,-1
212,Ps丶沫沫,4,3,2103,3003,3203,2001,2011,-1,-1
213,没有你不行,4,3,2203,3003,3203,2001,2011,-1,-1
214,为你摘星星,4,3,2003,3003,3203,2001,2011,-1,-1
215,蔺佑木,4,3,2103,3003,3203,2001,2011,-1,-1
226,化蝶相随,4,4,4503,4703,4903,3501,3511,-1,-1
227,极品小助手,4,4,4303,4703,4903,3501,3511,-1,-1
228,空灬寂寥,4,4,4403,4703,4903,3501,3511,-1,-1
229,纳兰文风,4,4,4503,4703,4903,3501,3511,-1,-1
230,保护苍,4,4,4303,4703,4903,3501,3511,-1,-1
236,另外一只猪,4,5,4403,5103,5303,3501,3511,-1,-1
237,芷寞树,4,5,4503,5103,5303,3501,3511,-1,-1
238,o宝贝o,4,5,4303,5103,5303,3501,3511,-1,-1
239,拉风神话,4,5,4403,5103,5303,3501,3511,-1,-1
240,爱新觉罗毅,4,5,4503,5103,5303,3501,3511,-1,-1
241,男儿本色,5,0,104,704,904,1001,1011,-1,-1
242,乔府小凯,5,0,204,704,904,1001,1011,-1,-1
243,舞糜殇,5,0,304,704,904,1001,1011,-1,-1
244,荀景厉,5,0,104,704,904,1001,1011,-1,-1
245,紫堂枫冥,5,0,204,704,904,1001,1011,-1,-1
246,情谊咔咔,5,0,304,704,904,1001,1011,-1,-1
247,梦舞秋翊,5,0,104,704,904,1001,1011,-1,-1
248,狐狸精,5,0,204,704,904,1001,1011,-1,-1
249,呼延羽夜,5,0,304,704,904,1001,1011,-1,-1
250,开盟红暗烈,5,0,104,704,904,1001,1011,-1,-1
251,潇湘魂厉,5,1,204,1104,1304,1001,1011,-1,-1
252,情谊慢慢,5,1,304,1104,1304,1001,1011,-1,-1
253,Soul,5,1,104,1104,1304,1001,1011,-1,-1
254,钱诚发臣,5,1,204,1104,1304,1001,1011,-1,-1
255,多情浪子,5,1,304,1104,1304,1001,1011,-1,-1
256,瑟枫浩,5,1,104,1104,1304,1001,1011,-1,-1
257,夜航11,5,1,204,1104,1304,1001,1011,-1,-1
258,裤裆杀气,5,1,304,1104,1304,1001,1011,-1,-1
259,龙城书生,5,1,104,1104,1304,1001,1011,-1,-1
260,贪吃小宝宝,5,1,204,1104,1304,1001,1011,-1,-1
261,青尚武,5,2,2204,2604,2804,2001,2011,-1,-1
262,血色默颜,5,2,2004,2604,2804,2001,2011,-1,-1
263,呼延寒夜,5,2,2104,2604,2804,2001,2011,-1,-1
264,紫色梦幻,5,2,2204,2604,2804,2001,2011,-1,-1
265,六月梨雪,5,2,2004,2604,2804,2001,2011,-1,-1
271,伊轩然,5,3,2104,3004,3204,2001,2011,-1,-1
272,暮尘木轩,5,3,2204,3004,3204,2001,2011,-1,-1
273,メ調怶の℡,5,3,2004,3004,3204,2001,2011,-1,-1
