"Id
===
Id
===
int-cs","副本ID0
===
DungeonId0
===
int-cs","副本ID1
===
DungeonId1
===
int-cs","副本ID2
===
DungeonId2
===
int-cs","Json
===
Json
===
string-cs","Atlas
===
Atlas
===
string-cs","缩放
===
Scale
===
float-cs","图层编号
===
Parent
===
int-cs","起始坐标（X）
===
X
===
int-cs","起始坐标（Y）
===
Y
===
int-cs","zOrder
===
ZOrder
===
int-cs","路径类型
===
PathType
===
int-cs","DeltaX
===
DeltaX
===
float-cs","DeltaY
===
DeltaY
===
float-cs","时间
===
Time
===
float-cs"
2,1,1001,2001,Minion/hudie01.json,Minion/gou.atlas,0.75,3,373,414,1,0,0,0,0
3,1,1001,2001,Minion/hudie02.json,Minion/gou.atlas,0.75,3,532,396,1,0,0,0,0
4,1,1001,2001,Minion/maotouying.json,Minion/gou.atlas,0.75,3,1010,644,1,0,0,0,0
5,1,1001,2001,Minion/lvchong1.json,Minion/gou.atlas,0.75,2,1418,32,1,0,0,0,0
6,1,1001,2001,Minion/lvchong2.json,Minion/gou.atlas,0.75,2,1648,24,1,0,0,0,0
7,1,1001,2001,Minion/qingwa1.json,Minion/gou.atlas,0.75,3,1259,166,1,0,0,0,0
8,1,1001,2001,Minion/qingwa2.json,Minion/gou.atlas,0.75,3,1184,184,1,0,0,0,0
9,6,1006,2006,Minion/xiyi.json,Minion/gou.atlas,0.75,2,125,60,1,0,0,0,0
10,6,1006,2006,Minion/hudie01.json,Minion/gou.atlas,0.75,3,451,450,1,0,0,0,0
11,6,1006,2006,Minion/hudie02.json,Minion/gou.atlas,0.75,3,621,432,1,0,0,0,0
12,6,1006,2006,Minion/ji.json,Minion/gou.atlas,0.75,3,975,680,1,0,0,0,0
13,6,1006,2006,Minion/ji.json,Minion/gou.atlas,0.75,3,1940,644,1,0,0,0,0
14,6,1006,2006,Minion/lvchong1.json,Minion/gou.atlas,0.75,2,1285,42,1,0,0,0,0
15,6,1006,2006,Minion/lvchong2.json,Minion/gou.atlas,0.75,2,1418,42,1,0,0,0,0
16,9,1009,2009,Minion/xiaobianfu.json,Minion/gou.atlas,0.75,3,1015,696,1,0,0,0,0
17,9,1009,2009,Minion/shuiguai.json,Minion/gou.atlas,0.75,2,1409,42,1,0,0,0,0
18,9,1009,2009,Minion/xueguai.json,Minion/gou.atlas,0.75,3,1550,590,1,0,0,0,0
19,9,1009,2009,Minion/bianfu.json,Minion/gou.atlas,0.75,3,1536,464,1,1,-1600,0,14
20,17,1017,2017,Minion/haima.json,Minion/gou.atlas,0.75,3,1073,476,1,1,-1600,0,19
21,17,1017,2017,Minion/qipao01.json,Minion/gou.atlas,0.75,2,975,272,1,0,0,0,0
22,17,1017,2017,Minion/qipao02.json,Minion/gou.atlas,0.75,3,1418,609,1,0,0,0,0
23,17,1017,2017,Minion/haigui.json,Minion/gou.atlas,0.75,3,1329,95,1,1,1450,0,14
24,17,1017,2017,Minion/beike.json,Minion/gou.atlas,0.75,3,1648,467,1,0,0,0,0
25,7,1007,2007,Minion/xianzi1.json,Minion/gou.atlas,0.75,3,782,406,1,0,0,0,0
26,7,1007,2007,Minion/xianzi.json,Minion/gou.atlas,0.75,3,944,343,1,0,0,0,0
