"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","职业
===
Profession
===
int-s","品质
===
Quality
===
int-c","等级
===
Level
===
int-cs","血条长度
===
HPBar
===
float-c","属性值0
===
Attr0
===
float-cs","属性值1
===
Attr1
===
float-cs","属性值2
===
Attr2
===
float-cs","属性值3
===
Attr3
===
float-cs","属性值4
===
Attr4
===
float-cs","属性值5
===
Attr5
===
float-cs","属性值6
===
Attr6
===
float-cs","属性值7
===
Attr7
===
float-cs","属性值8
===
Attr8
===
float-cs","属性值9
===
Attr9
===
float-cs","属性值10
===
Attr10
===
float-cs","属性值11
===
Attr11
===
float-cs","属性值12
===
Attr12
===
float-cs","属性值13
===
Attr13
===
float-cs","属性值14
===
Attr14
===
float-cs","属性值15
===
Attr15
===
float-cs","属性值16
===
Attr16
===
float-cs","属性值17
===
Attr17
===
float-cs","属性值18
===
Attr18
===
float-cs","属性值19
===
Attr19
===
float-cs","属性值20
===
Attr20
===
float-cs","属性值21
===
Attr21
===
float-cs","属性值22
===
Attr22
===
float-cs","属性值23
===
Attr23
===
float-cs","属性值24
===
Attr24
===
float-cs","属性值25
===
Attr25
===
float-cs","属性值26
===
Attr26
===
float-cs","属性值27
===
Attr27
===
float-cs","属性值28
===
Attr28
===
float-cs","属性值29
===
Attr29
===
float-cs","属性值30
===
Attr30
===
float-cs","属性值31
===
Attr31
===
float-cs","普攻技能
===
NormalSkill
===
int-cs","一般技能Id0
===
Skill0
===
int-cs","一般技能Id1
===
Skill1
===
int-cs","一般技能Id2
===
Skill2
===
int-cs","一般技能Id3
===
Skill3
===
int-cs","一般技能Id4
===
Skill4
===
int-cs","掉落0
===
Drops0
===
string-s","掉落1
===
Drops1
===
string-s","展示ID
===
ShowID
===
int-c","展示武器ID
===
ShowWeaponID
===
int-c","展示大小比率
===
ShowSize
===
float-c","战斗对话
===
FightDialog
===
string-c","死亡对话
===
DeadDialog
===
string-c","掉落关卡Id
===
StageId
===
int-cs"
#配置怪物ID时，以每个副本20个怪留出ID位置。,,,,,#每条血量值,攻击,防御,生命,魔法,土属性攻击,水属性攻击,火属性攻击,风属性攻击,土属性抗性,水属性抗性,火属性抗性,风属性抗性,破击,暴击,韧性,格挡,血量回复速度,魔法回复速度,移动速度,幸运,无双值,无双恢复速度,攻速,体力值,攻击距离,额外伤害,伤害减免,,,,,,,,,,,,,,,,,,,
#一章关卡1——朝歌城外,,,,,,5,6,57,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,0,0,28,29,,,,,,,,,,,,,,,,-1,,,
#可通用物件（陷阱阻挡）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,阻挡物,0,0,1,1,20.7,40.535,18,23,0,0,0,0,11.4125,22.825,22.825,22.825,61,61,62.25,62.25,0,0,6,0,0,0,1,0,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,,,800,-1,-1,,,-1
1001,地刺,0,0,1,1,20.7,40.535,180,24,0,0,0,0,11.4125,22.825,22.825,22.825,61,61,62.25,62.25,0,1,6,0,0,0,1,1,5,0,0,0,0,0,0,0,1000,-1,-1,-1,-1,-1,,,700,-1,-1,,,-1
1002,炮烙特效,0,0,1,1,62.1,60.8025,360,25,0,0,0,0,11.4125,22.825,22.825,22.825,61,61,62.25,62.25,0,2,6,0,0,0,1,2,5,0,0,0,0,0,0,0,1001,-1,-1,-1,-1,-1,,,701,-1,-1,,,-1
1003,神兵,0,0,1,1,62.1,72.963,360,26,0,0,0,0,41.085,41.085,41.085,41.085,61,61,62.25,62.25,0,3,3,0,0,0,1,3,6,0,0,0,0,0,0,0,120000,120200,-1,-1,-1,-1,,,301,-1,-1,,,-1
1004,箭塔,0,0,1,1,31.05,20.2675,540,27,0,0,0,0,11.4125,22.825,22.825,22.825,61,61,62.25,62.25,0,4,6,0,0,0,1,4,5,0,0,0,0,0,0,0,1004,-1,-1,-1,-1,-1,,,702,-1,-1,,,-1
1005,地刺2,0,0,1,1,24.84,48.642,216,28,0,0,0,0,11.4125,22.825,22.825,22.825,61,61,62.25,62.25,0,5,6,0,0,0,1,5,5,0,0,0,0,0,0,0,1003,-1,-1,-1,-1,-1,,,703,-1,-1,,,-1
1006,妲己技能怪,0,0,10,1,285.984,288.8318,1644.897208,28,0,0,0,0,169.029,169.029,169.029,169.029,155.5,311,164.175,328.35,0,5,9,0,0,0,1,5,5,0,0,0,0,0,0,0,218000,218100,-1,-1,-1,-1,,,60505,-1,-1,,,-1
1007,鲁班技能怪Lv1,0,0,10,1,0,144.4159,8657.353726,28,0,0,0,0,30.18375,60.3675,60.3675,60.3675,155.5,155.5,164.175,164.175,0,5,0,0,0,0,1,5,5,0,0,0,0,0,0,0,39500,-1,-1,-1,-1,-1,,,60600,-1,-1,,,-1
1008,鲁班技能怪Lv2,0,0,20,1,0,371.23,20186.34282,28,0,0,0,0,57.00875,114.0175,114.0175,114.0175,295.5,295.5,310.675,310.675,61.86021523,5,0,0,0,0,1,5,5,0,0,0,0,0,0,0,39501,-1,-1,-1,-1,-1,,,60601,-1,-1,,,-1
1009,鲁班技能怪Lv3,0,0,30,1,0,711.7724237,41000.72665,28,0,0,0,0,90.74625,181.4925,181.4925,181.4925,483.4858,483.4858,503.96073,503.96073,170.9777755,5,0,0,0,0,1,5,5,0,0,0,0,0,0,0,39502,-1,-1,-1,-1,-1,,,60602,-1,-1,,,-1
