"Id
===
Id
===
int-cs","√˚≥∆
===
Name
===
string-cs","–Ë“™–«º∂
===
NeedStarLevel
===
int-cs","–«º∂≈‰÷√0.ŒÔ∆∑Id
===
StarConfig0.Id
===
int-cs","–«º∂≈‰÷√0.–Ë“™µ»º∂
===
StarConfig0.NeedLevel
===
int-cs","–«º∂≈‰÷√1.ŒÔ∆∑Id
===
StarConfig1.Id
===
int-cs","–«º∂≈‰÷√1.–Ë“™µ»º∂
===
StarConfig1.NeedLevel
===
int-cs","–«º∂≈‰÷√2.ŒÔ∆∑Id
===
StarConfig2.Id
===
int-cs","–«º∂≈‰÷√2.–Ë“™µ»º∂
===
StarConfig2.NeedLevel
===
int-cs","–«º∂≈‰÷√3.ŒÔ∆∑Id
===
StarConfig3.Id
===
int-cs","–«º∂≈‰÷√3.–Ë“™µ»º∂
===
StarConfig3.NeedLevel
===
int-cs","–«º∂≈‰÷√4.ŒÔ∆∑Id
===
StarConfig4.Id
===
int-cs","–«º∂≈‰÷√4.–Ë“™µ»º∂
===
StarConfig4.NeedLevel
===
int-cs","–«º∂≈‰÷√5.ŒÔ∆∑Id
===
StarConfig5.Id
===
int-cs","–«º∂≈‰÷√5.–Ë“™µ»º∂
===
StarConfig5.NeedLevel
===
int-cs"," Ù–‘≥…≥§0
===
AttrGrowUp0
===
float-cs"," Ù–‘≥…≥§1
===
AttrGrowUp1
===
float-cs"," Ù–‘≥…≥§2
===
AttrGrowUp2
===
float-cs"," Ù–‘≥…≥§3
===
AttrGrowUp3
===
float-cs"," Ù–‘≥…≥§4
===
AttrGrowUp4
===
float-cs"," Ù–‘≥…≥§5
===
AttrGrowUp5
===
float-cs"," Ù–‘≥…≥§6
===
AttrGrowUp6
===
float-cs"," Ù–‘≥…≥§7
===
AttrGrowUp7
===
float-cs"," Ù–‘≥…≥§8
===
AttrGrowUp8
===
float-cs"," Ù–‘≥…≥§9
===
AttrGrowUp9
===
float-cs"," Ù–‘≥…≥§10
===
AttrGrowUp10
===
float-cs"," Ù–‘≥…≥§11
===
AttrGrowUp11
===
float-cs"," Ù–‘≥…≥§12
===
AttrGrowUp12
===
float-cs"," Ù–‘≥…≥§13
===
AttrGrowUp13
===
float-cs"," Ù–‘≥…≥§14
===
AttrGrowUp14
===
float-cs"," Ù–‘≥…≥§15
===
AttrGrowUp15
===
float-cs"," Ù–‘≥…≥§16
===
AttrGrowUp16
===
float-cs"," Ù–‘≥…≥§17
===
AttrGrowUp17
===
float-cs"," Ù–‘≥…≥§18
===
AttrGrowUp18
===
float-cs"," Ù–‘≥…≥§19
===
AttrGrowUp19
===
float-cs"," Ù–‘≥…≥§20
===
AttrGrowUp20
===
float-cs"," Ù–‘≥…≥§21
===
AttrGrowUp21
===
float-cs"," Ù–‘≥…≥§22
===
AttrGrowUp22
===
float-cs"," Ù–‘≥…≥§23
===
AttrGrowUp23
===
float-cs"," Ù–‘≥…≥§24
===
AttrGrowUp24
===
float-cs"," Ù–‘≥…≥§25
===
AttrGrowUp25
===
float-cs"," Ù–‘≥…≥§26
===
AttrGrowUp26
===
float-cs"," Ù–‘≥…≥§27
===
AttrGrowUp27
===
float-cs"," Ù–‘≥…≥§28
===
AttrGrowUp28
===
float-cs"," Ù–‘≥…≥§29
===
AttrGrowUp29
===
float-cs"," Ù–‘≥…≥§30
===
AttrGrowUp30
===
float-cs"," Ù–‘≥…≥§31
===
AttrGrowUp31
===
float-cs"
#±Ì√˚◊¢ Õ,,,,,,,,,,,,,,,π•ª˜,∑¿”˘,…˙√¸,ƒß∑®,Õ¡ Ù–‘π•ª˜,ÀÆ Ù–‘π•ª˜,ª Ù–‘π•ª˜,∑Á Ù–‘π•ª˜,Õ¡ Ù–‘øπ–‘,ÀÆ Ù–‘øπ–‘,ª Ù–‘øπ–‘,∑Á Ù–‘øπ–‘,∆∆ª˜,±©ª˜,»Õ–‘,∏Òµ≤,—™¡øªÿ∏¥ÀŸ∂»,ƒß∑®ªÿ∏¥ÀŸ∂»,“∆∂ØÀŸ∂»,–“‘À,ŒﬁÀ´÷µ,ŒﬁÀ´ª÷∏¥ÀŸ∂»,π•ÀŸ,ÃÂ¡¶÷µ,π•ª˜æ‡¿Î,∂ÓÕ‚…À∫¶,…À∫¶ºı√‚,,,,,
#…Íπ´±™,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1010000,0-1–«,0,80004,16,80016,15,80002,12,80020,15,80003,14,80001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010001,1-2–«,1,80003,14,80012,15,80002,12,80020,15,80002,12,80004,16,214,432,3662,0,0,0,0,0,0,0,0,132,173,173,182,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010002,2-3–«,2,80020,15,80004,16,80020,15,80004,16,80036,30,80032,30,0,432,5493,0,0,0,0,41,0,0,0,66,173,173,182,182,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010003,3-4–«,3,80002,12,80002,12,80032,30,80040,30,80036,30,80028,30,0,503,3662,0,0,0,0,121,0,0,0,291,346,419,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010004,4-5–«,4,80024,31,80023,29,80036,30,80022,27,80032,30,80028,30,475,935,8501,0,0,0,0,242,0,0,0,318,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010005,5-6–«,5,80022,27,80040,30,80036,30,80032,30,80041,40,80044,48,475,1006,4839,0,0,0,0,242,0,0,0,159,419,419,433,433,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010006,6-7–«,6,80021,23,80032,30,80056,47,80044,48,80041,40,80048,47,824,1006,9678,0,0,0,0,121,0,0,0,318,1558,1198,793,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010007,7-8–«,7,80048,47,80056,47,80043,46,80043,46,80068,67,80063,66,2123,903,0,0,0,0,0,376,0,0,0,291,2337,1617,793,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010008,8-9–«,8,80048,47,80052,47,80072,67,80062,64,80072,67,80080,67,2319,903,51233,0,0,0,0,796,0,0,0,291,2282,0,0,3893,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010009,9-10–«,9,80076,67,80080,67,80062,64,80063,66,80072,67,80063,66,824,1680,58994,0,0,0,0,1592,0,0,0,552,4564,3785,1514,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ê˚Õı,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
