"强化规则ID
===
Id
===
int-cs","等级
===
Level
===
int-cs","需要经验
===
NeedExp
===
int-cs","属性成长0
===
AttrGrowUp0
===
float-cs","属性成长1
===
AttrGrowUp1
===
float-cs","属性成长2
===
AttrGrowUp2
===
float-cs","属性成长3
===
AttrGrowUp3
===
float-cs","属性成长4
===
AttrGrowUp4
===
float-cs","属性成长5
===
AttrGrowUp5
===
float-cs","属性成长6
===
AttrGrowUp6
===
float-cs","属性成长7
===
AttrGrowUp7
===
float-cs","属性成长8
===
AttrGrowUp8
===
float-cs","属性成长9
===
AttrGrowUp9
===
float-cs","属性成长10
===
AttrGrowUp10
===
float-cs","属性成长11
===
AttrGrowUp11
===
float-cs","属性成长12
===
AttrGrowUp12
===
float-cs","属性成长13
===
AttrGrowUp13
===
float-cs","属性成长14
===
AttrGrowUp14
===
float-cs","属性成长15
===
AttrGrowUp15
===
float-cs","属性成长16
===
AttrGrowUp16
===
float-cs","属性成长17
===
AttrGrowUp17
===
float-cs","属性成长18
===
AttrGrowUp18
===
float-cs","属性成长19
===
AttrGrowUp19
===
float-cs","属性成长20
===
AttrGrowUp20
===
float-cs","属性成长21
===
AttrGrowUp21
===
float-cs","属性成长22
===
AttrGrowUp22
===
float-cs","属性成长23
===
AttrGrowUp23
===
float-cs","属性成长24
===
AttrGrowUp24
===
float-cs","属性成长25
===
AttrGrowUp25
===
float-cs","属性成长26
===
AttrGrowUp26
===
float-cs","属性成长27
===
AttrGrowUp27
===
float-cs","属性成长28
===
AttrGrowUp28
===
float-cs","属性成长29
===
AttrGrowUp29
===
float-cs","属性成长30
===
AttrGrowUp30
===
float-cs","属性成长31
===
AttrGrowUp31
===
float-cs"
#表名注释,,,攻击,防御,生命,魔法,土属性攻击,水属性攻击,火属性攻击,风属性攻击,土属性抗性,水属性抗性,火属性抗性,风属性抗性,破击,暴击,韧性,格挡,血量恢复速度,魔法恢复速度,移动速度,幸运,无双值,无双恢复速度,攻速,体力值,攻击距离,额外伤害,伤害减免,,,,,
#0,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,
1,1,87,16,17,131,0,4,4,4,4,5,5,5,5,14,14,14,14,10,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
2,2,100,19,20,156,0,4,4,4,4,6,6,6,6,16,16,17,17,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
3,3,112,22,23,181,0,5,5,5,5,7,7,7,7,19,19,19,19,13,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
4,4,125,25,26,207,0,5,5,5,5,8,8,8,8,21,21,22,22,15,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
5,5,137,29,29,231,0,6,6,6,6,9,9,9,9,23,23,24,24,16,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
6,6,150,32,32,260,0,6,6,6,6,10,10,10,10,26,26,27,27,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
7,7,162,35,35,286,0,7,7,7,7,11,11,11,11,28,28,29,29,19,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
8,8,175,38,38,313,0,7,7,7,7,12,12,12,12,30,30,32,32,21,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
9,9,200,42,41,341,0,7,7,7,7,13,13,13,13,33,33,35,35,22,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
10,10,225,45,45,366,0,8,8,8,8,14,14,14,14,35,35,37,37,24,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
11,11,375,54,56,461,0,12,12,12,12,18,18,18,18,46,46,48,48,33,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0
12,12,750,57,59,488,0,13,13,13,13,19,19,19,19,48,48,50,50,34,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
13,13,1125,61,62,518,0,13,13,13,13,19,19,19,19,51,51,53,53,36,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
14,14,1500,64,65,545,0,14,14,14,14,20,20,20,20,53,53,55,55,37,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
15,15,1875,67,69,571,0,14,14,14,14,21,21,21,21,55,55,58,58,39,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
16,16,2375,70,72,599,0,14,14,14,14,22,22,22,22,58,58,61,61,40,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
17,17,2875,74,75,627,0,15,15,15,15,23,23,23,23,60,60,63,63,42,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
18,18,3625,77,78,656,0,15,15,15,15,24,24,24,24,63,63,66,66,43,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
19,19,4375,80,81,687,0,16,16,16,16,25,25,25,25,65,65,68,68,45,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
20,20,5125,84,85,714,0,16,16,16,16,26,26,26,26,68,68,71,71,46,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
21,21,6125,99,105,917,0,25,25,25,25,33,33,33,33,87,87,90,90,63,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
22,22,7375,102,108,946,0,25,25,25,25,34,34,34,34,89,89,92,92,65,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
23,23,8875,106,111,975,0,26,26,26,26,35,35,35,35,92,92,95,95,66,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
24,24,10625,109,114,1004,0,26,26,26,26,36,36,36,36,94,94,97,97,68,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
25,25,12625,112,117,1032,0,27,27,27,27,37,37,37,37,96,96,100,100,69,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
26,26,14875,116,121,1064,0,27,27,27,27,38,38,38,38,99,99,103,103,71,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
27,27,17375,119,124,1094,0,27,27,27,27,39,39,39,39,101,101,105,105,72,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
28,28,20125,122,127,1124,0,28,28,28,28,40,40,40,40,104,104,108,108,74,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
29,29,23125,126,130,1155,0,28,28,28,28,41,41,41,41,106,106,111,111,75,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
30,30,26375,129,133,1183,0,29,29,29,29,42,42,42,42,109,109,113,113,77,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0
31,31,29875,151,163,1554,0,42,42,42,42,52,52,52,52,137,137,141,141,102,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
32,32,33875,154,166,1585,0,43,43,43,43,53,53,53,53,140,140,143,143,103,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
33,33,38125,158,169,1620,0,43,43,43,43,54,54,54,54,142,142,146,146,105,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
34,34,42625,161,172,1652,0,43,43,43,43,55,55,55,55,145,145,149,149,107,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0
35,35,47375,165,176,1682,0,44,44,44,44,56,56,56,56,147,147,152,152,108,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
36,36,52375,168,179,1713,0,44,44,44,44,57,57,57,57,150,150,154,154,110,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
37,37,57625,172,182,1746,0,45,45,45,45,58,58,58,58,152,152,157,157,111,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
38,38,63125,175,185,1778,0,45,45,45,45,59,59,59,59,155,155,160,160,113,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
39,39,68875,178,189,1815,0,46,46,46,46,60,60,60,60,157,157,162,162,114,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
40,40,75125,182,192,1846,0,46,46,46,46,61,61,61,61,160,160,165,165,116,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0
41,41,82000,211,231,2463,0,64,64,64,64,75,75,75,75,198,198,202,202,149,0,0,0,0,0,0,0,0,27,47,0,0,0,0,0
42,42,89500,215,235,2497,0,65,65,65,65,76,76,76,76,201,201,205,205,151,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
43,43,97625,218,238,2531,0,65,65,65,65,77,77,77,77,203,203,208,208,152,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
44,44,106375,222,241,2566,0,66,66,66,66,78,78,78,78,206,206,211,211,154,0,0,0,0,0,0,0,0,28,48,0,0,0,0,0
45,45,115125,225,245,2599,0,66,66,66,66,79,79,79,79,209,209,213,213,155,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
46,46,124500,229,248,2639,0,67,67,67,67,80,80,80,80,211,211,216,216,157,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
47,47,134500,232,251,2675,0,67,67,67,67,81,81,81,81,214,214,219,219,159,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
48,48,145125,236,255,2710,0,68,68,68,68,82,82,82,82,216,216,221,221,160,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
49,49,156375,239,258,2746,0,68,68,68,68,83,83,83,83,219,219,224,224,162,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0
50,50,168875,243,261,2781,0,68,68,68,68,84,84,84,84,221,221,227,227,163,0,0,0,0,0,0,0,0,29,50,0,0,0,0,0
51,51,183875,280,312,3749,0,92,92,92,92,101,101,101,101,271,271,275,275,205,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
52,52,201375,284,315,3788,0,93,93,93,93,102,102,102,102,274,274,278,278,207,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
53,53,221375,287,318,3833,0,93,93,93,93,103,103,103,103,276,276,280,280,209,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
54,54,243875,291,322,3872,0,94,94,94,94,104,104,104,104,279,279,283,283,210,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
55,55,268875,295,325,3909,0,94,94,94,94,105,105,105,105,282,282,286,286,212,0,0,0,0,0,0,0,0,39,67,0,0,0,0,0
56,56,306375,298,329,3949,0,95,95,95,95,106,106,106,106,284,284,289,289,213,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
