"等级
===
Id
===
int-cs","升级经验
===
Exp
===
int-cs","升级奖励体力
===
RewardActionPoint
===
int-cs","携带武将上限
===
PetMaxCount
===
int-cs","好友上限修正
===
FriendRefix
===
int-cs","属性值0
===
Attr0
===
float-cs","属性值1
===
Attr1
===
float-cs","属性值2
===
Attr2
===
float-cs","属性值3
===
Attr3
===
float-cs","属性值4
===
Attr4
===
float-cs","属性值5
===
Attr5
===
float-cs","属性值6
===
Attr6
===
float-cs","属性值7
===
Attr7
===
float-cs","属性值8
===
Attr8
===
float-cs","属性值9
===
Attr9
===
float-cs","属性值10
===
Attr10
===
float-cs","属性值11
===
Attr11
===
float-cs","属性值12
===
Attr12
===
float-cs","属性值13
===
Attr13
===
float-cs","属性值14
===
Attr14
===
float-cs","属性值15
===
Attr15
===
float-cs","属性值16
===
Attr16
===
float-cs","属性值17
===
Attr17
===
float-cs","属性值18
===
Attr18
===
float-cs","属性值19
===
Attr19
===
float-cs","属性值20
===
Attr20
===
float-cs","属性值21
===
Attr21
===
float-cs","属性值22
===
Attr22
===
float-cs","属性值23
===
Attr23
===
float-cs","属性值24
===
Attr24
===
float-cs","属性值25
===
Attr25
===
float-cs","属性值26
===
Attr26
===
float-cs","属性值27
===
Attr27
===
float-cs","属性值28
===
Attr28
===
float-cs","属性值29
===
Attr29
===
float-cs","属性值30
===
Attr30
===
float-cs","属性值31
===
Attr31
===
float-cs"
#,,,,,攻击,防御,最大血量,最大MP,雷系攻击,冰系攻击,火系攻击,毒系攻击,雷系防御,冰系防御,火系防御,毒系防御,破击,暴击,韧性,格挡,血量回复速度,魔法回复速度,移动速度,幸运,无双值,无双恢复速度,攻速,体力值,攻击距离,额外伤害,伤害减免,,,,,
1,60,0,2,2,124,91,3126,180,0,0,0,0,25,25,25,25,63,63,71,71,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
2,120,0,2,2,132,98,3343,190,0,0,0,0,27,27,27,27,67,67,76,76,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
3,180,0,2,2,141,104,3560,200,0,0,0,0,29,29,29,29,71,71,81,81,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
4,240,0,2,2,150,110,3777,210,0,0,0,0,30,30,30,30,76,76,86,86,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
5,300,0,2,2,158,117,3994,220,0,0,0,0,32,32,32,32,80,80,91,91,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
6,360,0,2,2,167,123,4211,230,0,0,0,0,34,34,34,34,84,84,96,96,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
7,420,0,2,2,175,130,4428,240,0,0,0,0,36,36,36,36,89,89,101,101,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
8,720,0,2,2,184,136,4645,250,0,0,0,0,38,38,38,38,93,93,106,106,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
9,1080,0,2,2,193,142,4862,260,0,0,0,0,39,39,39,39,98,98,111,111,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
10,1500,0,2,2,201,149,5079,270,0,0,0,0,41,41,41,41,102,102,116,116,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
11,1980,0,2,2,210,155,5297,280,0,0,0,0,43,43,43,43,106,106,121,121,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
12,2880,0,2,2,219,161,5514,290,0,0,0,0,45,45,45,45,111,111,126,126,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
13,3900,0,2,2,227,168,5731,300,0,0,0,0,47,47,47,47,115,115,131,131,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
14,5040,0,2,2,236,174,5948,310,0,0,0,0,48,48,48,48,119,119,136,136,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
15,6750,0,2,2,244,181,6165,320,0,0,0,0,50,50,50,50,124,124,141,141,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
16,8640,0,2,2,258,191,6512,330,0,0,0,0,53,53,53,53,131,131,149,149,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
17,10710,0,2,2,272,201,6860,340,0,0,0,0,56,56,56,56,138,138,157,157,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
18,12960,0,2,2,286,211,7207,350,0,0,0,0,59,59,59,59,145,145,165,165,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
19,15390,0,2,2,300,221,7554,360,0,0,0,0,61,61,61,61,152,152,173,173,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
20,19200,0,2,2,313,232,7902,370,0,0,0,0,64,64,64,64,159,159,181,181,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
21,23310,0,2,2,327,242,8249,380,0,0,0,0,67,67,67,67,166,166,189,189,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
22,27720,0,2,2,341,252,8596,390,0,0,0,0,70,70,70,70,173,173,197,197,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
23,32430,0,2,2,355,262,8944,400,0,0,0,0,73,73,73,73,180,180,205,205,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
24,37440,0,2,2,369,272,9291,410,0,0,0,0,76,76,76,76,187,187,213,213,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
25,43500,0,2,2,382,283,9638,420,0,0,0,0,79,79,79,79,194,194,221,221,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
26,49920,0,2,2,396,293,9986,430,0,0,0,0,81,81,81,81,201,201,229,229,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
27,56700,0,2,2,410,303,10333,440,0,0,0,0,84,84,84,84,208,208,237,237,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
28,63840,0,2,2,424,313,10681,450,0,0,0,0,87,87,87,87,215,215,245,245,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
29,71340,0,2,2,438,323,11028,460,0,0,0,0,90,90,90,90,222,222,253,253,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
30,82800,0,2,2,451,334,11375,470,0,0,0,0,93,93,93,93,229,229,261,261,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
31,94860,0,2,2,465,344,11723,480,0,0,0,0,96,96,96,96,236,236,269,269,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
32,107520,0,2,2,479,354,12070,490,0,0,0,0,99,99,99,99,243,243,277,277,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
33,120780,0,2,2,493,364,12417,500,0,0,0,0,101,101,101,101,250,250,285,285,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
34,134640,0,2,2,507,374,12765,510,0,0,0,0,104,104,104,104,257,257,293,293,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
35,151200,0,2,2,520,385,13112,520,0,0,0,0,107,107,107,107,264,264,301,301,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
36,168480,0,2,2,534,395,13459,530,0,0,0,0,110,110,110,110,271,271,309,309,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
37,186480,0,2,2,548,405,13807,540,0,0,0,0,113,113,113,113,278,278,317,317,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
38,205200,0,2,2,562,415,14154,550,0,0,0,0,116,116,116,116,285,285,325,325,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
39,224640,0,2,2,576,425,14501,560,0,0,0,0,118,118,118,118,292,292,333,333,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
40,254400,0,2,2,589,436,14849,570,0,0,0,0,121,121,121,121,299,299,341,341,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
41,285360,0,2,2,603,446,15196,580,0,0,0,0,124,124,124,124,306,306,349,349,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
42,317520,0,2,2,617,456,15543,590,0,0,0,0,127,127,127,127,313,313,357,357,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
43,350880,0,2,2,631,466,15891,600,0,0,0,0,130,130,130,130,320,320,365,365,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
44,385440,0,2,2,645,476,16238,610,0,0,0,0,133,133,133,133,327,327,373,373,0,6,6,0,200,1,1,100,1,0,0,0,0,0,0,0
