"Id
===
Id
===
int-s","名称
===
Name
===
string-s","等级
===
Level
===
int-s","模型Id
===
AvatarId
===
int-s","主角站位
===
Position
===
int-s","装备Id0
===
EquipId0
===
int-s","装备Id1
===
EquipId1
===
int-s","装备Id2
===
EquipId2
===
int-s","技能Id0
===
SkillId0
===
int-s","技能Id1
===
SkillId1
===
int-s","技能Id2
===
SkillId2
===
int-s","技能Id3
===
SkillId3
===
int-s","宠物配置0.类型
===
PetConfig0.Type
===
int-cs","宠物配置0.等级
===
PetConfig0.Level
===
int-cs","宠物配置0.站位
===
PetConfig0.Position
===
int-cs","宠物配置1.类型
===
PetConfig1.Type
===
int-cs","宠物配置1.等级
===
PetConfig1.Level
===
int-cs","宠物配置1.站位
===
PetConfig1.Position
===
int-cs","宠物配置2.类型
===
PetConfig2.Type
===
int-cs","宠物配置2.等级
===
PetConfig2.Level
===
int-cs","宠物配置2.站位
===
PetConfig2.Position
===
int-cs","宠物配置3.类型
===
PetConfig3.Type
===
int-cs","宠物配置3.等级
===
PetConfig3.Level
===
int-cs","宠物配置3.站位
===
PetConfig3.Position
===
int-cs"
1,信鹏枭枭,30,3,5,2126,3026,3226,2001,2021,2071,-1,62043,28,3,60543,28,7,53021,27,9,54521,30,11
2,小牛牛,30,0,3,126,726,926,1001,1021,1071,-1,60341,27,1,51021,28,7,51121,27,9,52801,29,11
3,风致嫣然,30,2,5,2126,2626,2826,2001,2021,2071,-1,61641,30,3,61942,30,7,54721,28,9,54521,28,11
4,花尘风,30,1,5,426,1226,1426,1501,1511,1561,-1,61243,30,1,53921,29,7,53301,28,9,52301,29,11
5,∮霽月∮,30,3,1,2026,3026,3226,2001,2021,2061,-1,51321,27,3,51021,30,7,52921,30,9,51221,28,11
6,独特麒麟,30,0,5,526,826,1026,1501,1531,1581,-1,60942,27,1,52721,27,7,51821,27,9,52501,28,11
7,孤傲、,30,1,1,226,1126,1326,1001,1031,1081,-1,55341,27,5,60341,28,7,55421,28,9,51021,29,11
8,戏如人生丶,30,1,1,226,1126,1326,1001,1011,1081,-1,55341,28,5,53121,27,7,53421,29,9,54521,30,11
9,另一伴,30,1,3,526,1226,1426,1501,1531,1561,-1,62141,29,5,52921,29,7,54821,30,9,52901,27,11
10,伊风爵,30,2,1,2026,2626,2826,2001,2041,2061,-1,62043,30,3,51021,27,7,52901,27,9,51201,27,11
11,花木兰,30,1,3,426,1226,1426,1501,1511,1581,-1,62141,29,5,54821,29,7,52721,28,9,54801,28,11
12,芷の沫幽,30,0,5,226,726,926,1001,1041,1081,-1,61643,27,1,62141,28,7,52721,29,9,53321,27,11
13,香吉士,30,2,5,2026,2626,2826,2001,2041,2061,-1,55341,30,3,52821,30,7,53101,29,9,51001,28,11
14,缔造晓晓,30,0,5,126,726,926,1001,1041,1071,-1,54021,30,1,54521,29,7,52821,29,9,53421,30,11
15,放肆2高来,30,1,3,126,1126,1326,1001,1041,1071,-1,61141,30,1,54521,30,7,54321,28,9,52801,29,11
16,繁花丶似锦,30,0,3,526,826,1026,1501,1531,1581,-1,61841,27,5,60643,28,7,52821,30,9,52921,30,11
17,酒后乱性,30,1,5,326,1126,1326,1001,1021,1061,-1,62043,27,1,61841,30,7,53921,28,9,55421,30,11
18,心里有你,30,3,1,2126,3026,3226,2001,2031,2071,-1,61641,27,3,61841,27,7,53921,29,9,51221,30,11
19,轩辕莫风,30,3,5,2426,3126,3326,2501,2511,2591,-1,62141,28,3,53521,28,7,51221,29,9,54401,27,11
20,冰舞柔莫,30,2,5,2226,2626,2826,2001,2031,2081,-1,61642,28,3,61041,30,7,54721,30,9,51001,27,11
21,妹特思棒慰,30,1,3,226,1126,1326,1001,1031,1081,-1,60341,30,1,54521,30,7,54421,27,9,51201,27,11
22,易白元,30,3,5,2126,3026,3226,2001,2031,2071,-1,62043,30,3,52821,28,7,51601,30,9,51001,30,11
23,梦舞雅蕊,30,2,5,2026,2626,2826,2001,2011,2061,-1,61643,29,3,53921,28,7,54701,30,9,54501,27,11
24,缔造永恒,30,3,1,2126,3026,3226,2001,2021,2071,-1,61643,27,3,51021,30,7,54801,28,9,52801,28,11
25,阿七頭,30,1,3,526,1226,1426,1501,1531,1561,-1,62141,27,5,52821,27,7,51201,28,9,54801,30,11
26,缔造独隐,30,1,5,426,1226,1426,1501,1511,1561,-1,60743,29,1,60541,29,7,51821,27,9,51501,27,11
27,周雪缘,30,0,3,626,826,1026,1501,1521,1581,-1,61841,28,5,52821,30,7,51221,29,9,52721,29,11
28,扇子来了,30,0,5,326,726,926,1001,1031,1061,-1,61641,27,1,51021,27,7,51221,27,9,51801,27,11
29,剑乄无名,30,0,1,226,726,926,1001,1011,1081,-1,55341,29,5,61141,29,7,52621,27,9,54521,27,11
30,bella,30,3,5,2326,3126,3326,2501,2541,2591,-1,62141,27,3,54321,29,7,53921,30,9,51521,30,11
31,碧落维维,30,1,3,226,1126,1326,1001,1031,1081,-1,60341,29,1,54521,28,7,52321,28,9,52921,29,11
32,剑心爱,30,2,5,2226,2626,2826,2001,2041,2081,-1,62043,28,3,52921,27,7,54721,30,9,54501,28,11
33,妖精的女王,30,2,5,2026,2626,2826,2001,2041,2061,-1,55121,27,3,52921,27,7,55221,30,9,54521,29,11
34,bison,30,1,3,226,1126,1326,1001,1031,1081,-1,61141,27,1,62141,27,7,53521,29,9,52721,29,11
35,哇噢噢哈哈,30,0,3,426,826,1026,1501,1511,1561,-1,61841,29,5,60942,29,7,51221,29,9,53921,29,11
36,风尘韩轩,30,1,5,526,1226,1426,1501,1531,1581,-1,61941,29,1,61942,27,7,52621,30,9,51121,27,11
37,一笑而过,30,0,3,226,726,926,1001,1041,1081,-1,61141,28,1,61742,27,7,54421,30,9,52921,28,11
38,愫卿墨朵,30,1,3,226,1126,1326,1001,1031,1081,-1,60341,28,1,61742,30,7,52321,29,9,54801,27,11
39,弈剑听雨阁,30,1,5,526,1226,1426,1501,1531,1561,-1,61041,29,1,60643,28,7,55421,30,9,53521,30,11
40,丶米修灬,30,1,5,426,1226,1426,1501,1511,1581,-1,60041,30,1,51221,27,7,55401,27,9,54301,27,11
41,风流、狂少,30,1,5,426,1226,1426,1501,1511,1561,-1,61041,27,1,52721,30,7,52621,30,9,51121,30,11
42,不二大叔,30,3,1,2126,3026,3226,2001,2021,2071,-1,61642,30,3,51021,30,7,52821,27,9,53921,28,11
43,贾潇洒丶,30,0,5,126,726,926,1001,1041,1071,-1,62043,27,1,54521,30,7,54821,29,9,52621,29,11
44,情已萌动,30,3,1,2126,3026,3226,2001,2031,2071,-1,61642,29,3,51021,29,7,52821,30,9,53921,27,11
45,潇湘0王者,30,3,1,2226,3026,3226,2001,2041,2081,-1,61643,29,3,54521,30,7,52721,27,9,51201,29,11
46,情谊英雄,30,2,5,2026,2626,2826,2001,2011,2061,-1,61641,27,3,60942,30,7,55221,30,9,54521,27,11
47,风间凝梦,30,2,5,2526,2726,2926,2501,2531,2601,-1,62141,28,3,53521,27,7,52821,29,9,52521,27,11
