"Id
===
Id
===
int-c","名称
===
Name
===
string-c","模型
===
CharID
===
string-c","动作名称
===
ActionName
===
string-c","技能延迟
===
SkillDelay
===
int-c"
0,,charactor-NanMoZu.json,danshou_chang_attack01,633
1,,charactor-NanMoZu.json,danshou_chang_skill01,633
2,,charactor-NanMoZu.json,danshou_chang_skill02,633
3,,charactor-NanMoZu.json,danshou_chang_skill03,533
4,,charactor-NanMoZu.json,danshou_duan_attack01,533
5,,charactor-NanMoZu.json,danshou_duan_skill01,733
6,,charactor-NanMoZu.json,danshou_duan_skill02,533
7,,charactor-NanMoZu.json,danshou_duan_skill03,533
8,,charactor-NanMoZu.json,shu_faqi_attack01,533
9,,charactor-NanMoZu.json,shu_faqi_skill01,800
10,,charactor-NanMoZu.json,shu_faqi_skill02,633
11,,charactor-NanMoZu.json,shu_faqi_skill03,533
12,,charactor-NvMoZu.json,danshou_chang_attack01,533
13,,charactor-NvMoZu.json,danshou_chang_skill01,666
14,,charactor-NvMoZu.json,danshou_chang_skill02,633
15,,charactor-NvMoZu.json,danshou_chang_skill03,533
16,,charactor-NvMoZu.json,danshou_duan_attack01,500
17,,charactor-NvMoZu.json,danshou_duan_skill01,666
18,,charactor-NvMoZu.json,danshou_duan_skill02,666
19,,charactor-NvMoZu.json,danshou_duan_skill03,500
20,,charactor-NvMoZu.json,shu_faqi_attack01,566
21,,charactor-NvMoZu.json,shu_faqi_skill01,666
22,,charactor-NvMoZu.json,shu_faqi_skill02,633
23,,charactor-NvMoZu.json,shu_faqi_skill03,533
24,,charactor-NanRenZu.json,danshou_duan_attack01,466
25,,charactor-NanRenZu.json,danshou_duan_jumpattack,800
26,,charactor-NanRenZu.json,danshou_duan_skill01,666
27,,charactor-NanRenZu.json,danshou_duan_skill02,600
28,,charactor-NanRenZu.json,shuangshou_chang_attack01,433
29,,charactor-NanRenZu.json,shuangshou_chang_jumpattack,800
30,,charactor-NanRenZu.json,shuangshou_chang_skill01,633
31,,charactor-NanRenZu.json,shuangshou_chang_skill02,600
32,,charactor-NanRenZu.json,shuangshou_duan_attack01,466
33,,charactor-NanRenZu.json,shuangshou_duan_jumpattack,800
34,,charactor-NanRenZu.json,shuangshou_duan_skill01,666
35,,charactor-NanRenZu.json,shuangshou_duan_skill02,766
36,,charactor-NvRenZu.json,danshou_duan_attack01,466
37,,charactor-NvRenZu.json,danshou_duan_jumpattack,766
38,,charactor-NvRenZu.json,danshou_duan_skill01,666
39,,charactor-NvRenZu.json,danshou_duan_skill02,600
40,,charactor-NvRenZu.json,shuangshou_chang_attack01,433
41,,charactor-NvRenZu.json,shuangshou_chang_jumpattack,833
42,,charactor-NvRenZu.json,shuangshou_chang_skill01,666
43,,charactor-NvRenZu.json,shuangshou_chang_skill02,600
44,,charactor-NvRenZu.json,shuangshou_duan_attack01,433
45,,charactor-NvRenZu.json,shuangshou_duan_jumpattack,766
46,,charactor-NvRenZu.json,shuangshou_duan_skill01,600
47,,charactor-NvRenZu.json,shuangshou_duan_skill02,566
48,,charactor-NanXianZu.json,danshou_chang_attack01,566
49,,charactor-NanXianZu.json,danshou_chang_skill01,666
50,,charactor-NanXianZu.json,danshou_chang_skill02,633
51,,charactor-NanXianZu.json,danshou_duan_attack01,433
52,,charactor-NanXianZu.json,danshou_duan_skill01,800
53,,charactor-NanXianZu.json,danshou_duan_skill02,500
54,,charactor-NanXianZu.json,shu_faqi_attack01,433
55,,charactor-NanXianZu.json,shu_faqi_skill01,800
56,,charactor-NanXianZu.json,shu_faqi_skill02,600
57,,charactor-NanXianZu.json,danshou_chang_attack01,566
58,,charactor-NanXianZu.json,danshou_chang_skill01,666
59,,charactor-NanXianZu.json,danshou_chang_skill02,633
60,,charactor-NanXianZu.json,danshou_duan_attack01,433
61,,charactor-NanXianZu.json,danshou_duan_skill01,800
62,,charactor-NanXianZu.json,danshou_duan_skill02,500
63,,charactor-NanXianZu.json,shu_faqi_attack01,433
64,,charactor-NanXianZu.json,shu_faqi_skill01,800
65,,charactor-NanXianZu.json,shu_faqi_skill02,600
66,,charactor-NvXianZu.json,danshou_chang_attack01,533
67,,charactor-NvXianZu.json,danshou_chang_skill01,666
68,,charactor-NvXianZu.json,danshou_chang_skill02,566
69,,charactor-NvXianZu.json,danshou_duan_attack01,433
70,,charactor-NvXianZu.json,danshou_duan_skill01,666
71,,charactor-NvXianZu.json,danshou_duan_skill02,500
72,,charactor-NvXianZu.json,shu_faqi_attack01,433
73,,charactor-NvXianZu.json,shu_faqi_skill01,666
74,,charactor-NvXianZu.json,shu_faqi_skill02,600
75,,charactor-NvXianZu.json,danshou_chang_attack01,566
76,,charactor-NvXianZu.json,danshou_chang_skill01,666
77,,charactor-NvXianZu.json,danshou_chang_skill02,633
78,,charactor-NvXianZu.json,danshou_duan_attack01,433
79,,charactor-NvXianZu.json,danshou_duan_skill01,800
80,,charactor-NvXianZu.json,danshou_duan_skill02,500
81,,charactor-NvXianZu.json,shu_faqi_attack01,433
82,,charactor-NvXianZu.json,shu_faqi_skill01,800
83,,charactor-NvXianZu.json,shu_faqi_skill02,600
84,,monster-ShiRenHua.json,attack,466
85,,monster-ShiRenHua.json,skill,433
86,,monster-ShuRen.json,attack,433
87,,monster-ShuRen.json,skill,733
88,,monster-ShiTouRen.json,attack,500
89,,monster-ShiTouRen.json,skill,500
90,,monster-ShiShou.json,attack,533
91,,monster-ShiShou.json,skill,433
92,,monster-BianFu.json,attack,400
93,,monster-BianFu.json,skill,366
94,,monster-DaPeng.json,attack,600
95,,monster-DaPeng.json,skill,667
96,,monster-EYv.json,attack,433
97,,monster-EYv.json,skill,566
98,,monster-HaiGui.json,attack,466
99,,monster-HaiGui.json,skill,733
100,,monster-JiangShi.json,attack,433
101,,monster-JiangShi.json,skill,600
102,,monster-LangYao.json,attack,466
103,,monster-LangYao.json,skill,333
104,,monster-LaoHu.json,attack,600
105,,monster-LaoHu.json,skill,533
106,,monster-LongChengXiang.json,attack,200
107,,monster-LongChengXiang.json,skill,700
108,,monster-LongJiangJun.json,attack,400
109,,monster-LongJiangJun.json,skill,566
110,,monster-LongWang.json,attack,200
111,,monster-LongWang.json,skill,700
112,,monster-MoYuan.json,attack,466
113,,monster-MoYuan.json,skill,666
114,,monster-MoYuan.json,skill02,300
115,,monster-NiuTou.json,attack,466
116,,monster-NiuTou.json,skill,500
117,,monster-NvGui.json,attack,466
118,,monster-NvGui.json,skill,300
119,,monster-ShaYu.json,attack,433
120,,monster-ShaYu.json,skill,366
121,,monster-SheYao.json,attack,366
122,,monster-SheYao.json,skill,600
123,,monster-XianZi.json,attack,466
124,,monster-XianZi.json,skill,666
125,,monster-XiYi.json,attack,333
126,,monster-XiYi.json,skill,366
127,,monster-YeZhu.json,attack,366
128,,monster-YeZhu.json,skill,333
129,,monster-YingGuai.json,attack,366
130,,monster-YingGuai.json,skill,433
131,,monster-YingGuai.json,skill02,466
132,,monster-YuYao.json,attack,466
133,,monster-YuYao.json,skill,466
134,,boss-AoGuang.json,attack,433
135,,boss-AoGuang.json,skill,866
136,,boss-AoGuang.json,skill02,566
137,,boss-AoQin.json,attack,500
138,,boss-AoQin.json,skill,800
139,,boss-AoQin.json,skill02,566
140,,boss-AoRun.json,attack,433
141,,boss-AoRun.json,skill,366
142,,boss-AoRun.json,skill02,566
143,,boss-AoShun.json,attack,366
144,,boss-AoShun.json,skill,466
145,,boss-BaBoErBen.json,attack,400
146,,boss-BaBoErBen.json,skill,300
147,,boss-BaiGuJing.json,attack,400
148,,boss-BaiGuJing.json,skill,700
149,,boss-BaiYanMoJun.json,attack,366
150,,boss-BaiYanMoJun.json,skill,533
151,,boss-BenBoErBa.json,attack,400
152,,boss-BenBoErBa.json,skill,300
153,,boss-ChangE.json,attack,466
154,,boss-ChangE.json,skill,766
155,,boss-DaPengShenWang.json,attack,366
156,,boss-DaPengShenWang.json,skill,633
157,,boss-ErLangShen.json,attack,866
158,,boss-ErLangShen.json,skill,833
159,,boss-HaJiang.json,attack,366
160,,boss-HaJiang.json,skill,600
161,,boss-HengJiang.json,attack,366
162,,boss-HengJiang.json,skill,600
163,,boss-HongHaiEr.json,attack,366
164,,boss-HongHaiEr.json,skill,366
165,,boss-HuangMeiGuai.json,attack,300
166,,boss-HuangMeiGuai.json,skill,500
167,,boss-HongYiXianNv.json,attack,300
168,,boss-HongYiXianNv.json,skill,300
169,,boss-HuangYiXianNv.json,attack,300
170,,boss-HuangYiXianNv.json,skill,300
171,,boss-LvYiXianNv.json,attack,400
172,,boss-LvYiXianNv.json,skill,300
173,,boss-LanYiXianNv.json,attack,366
174,,boss-LanYiXianNv.json,skill,300
175,,boss-HuWang.json,attack,366
176,,boss-HuWang.json,skill,666
177,,boss-JinJiao.json,attack,433
178,,boss-JinJiao.json,skill,466
179,,boss-JiuTouChong.json,attack,333
180,,boss-JiuTouChong.json,skill,366
181,,boss-JiuWeiHu.json,attack,333
182,,boss-JiuWeiHu.json,skill,333
183,,boss-LiJing.json,attack,366
184,,boss-LiJing.json,skill,633
185,,boss-LongWangSanTaiZi.json,attack,166
186,,boss-LongWangSanTaiZi.json,skill,500
187,,boss-MangSheJing.json,attack,300
188,,boss-MangSheJing.json,skill,333
189,,boss-NeZha.json,attack,366
190,,boss-NeZha.json,skill,566
191,,boss-NiuMoWang.json,attack,466
192,,boss-NiuMoWang.json,skill,366
193,,boss-ShaHeShang.json,attack,366
194,,boss-ShaHeShang.json,skill,533
195,,boss-ShaHeShang.json,skill02,566
196,,boss-SheWang.json,attack,366
197,,boss-SheWang.json,skill,566
198,,boss-ShuWang.json,attack,366
199,,boss-ShuWang.json,skill,566
200,,boss-SunWuKong.json,attack,366
201,,boss-SunWuKong.json,skill,500
202,,boss-SunWuKong.json,skill02,866
203,,boss-TaiBaiJinXing.json,attack,400
204,,boss-TaiBaiJinXing.json,skill,500
205,,boss-TaiErZhenRen.json,attack,466
206,,boss-TaiErZhenRen.json,skill,533
207,,boss-TieShanGongZhu.json,attack,366
208,,boss-TieShanGongZhu.json,skill,666
209,,boss-XiaoBaiLong.json,attack,566
210,,boss-XiaoBaiLong.json,skill,500
211,,boss-XiaoTianQuan.json,attack,466
212,,boss-XiaoTianQuan.json,skill,466
213,,boss-XieZiJing.json,attack,400
214,,boss-XieZiJing.json,skill,466
215,,boss-YinJiao.json,attack,366
216,,boss-YinJiao.json,skill,500
217,,boss-YuMianHuLi.json,attack,300
218,,boss-YuMianHuLi.json,skill,300
219,,boss-YuTu.json,attack,466
220,,boss-YuTu.json,skill,400
221,,boss-YuWang.json,attack,466
222,,boss-YuWang.json,skill,533
223,,boss-ZhiZhuJing.json,attack,366
224,,boss-ZhiZhuJing.json,skill,633
225,,boss-ZhuBaJie.json,attack,433
226,,boss-ZhuBaJie.json,skill,633
227,,boss-ZhuBaJie.json,skill02,433
228,,boss-ZiXiaXianZi.json,attack,433
229,,boss-ZiXiaXianZi.json,skill,433
230,,charactor-NiuBiRen.json,danshou_duan_skill02,600
231,,charactor-NiuBiRen.json,danshou_duan_jumpattack,800
232,,charactor-NiuBiMo.json,danshou_chang_skill03,533
233,,charactor-NiuBiMo.json,danshou_chang_skill02,633
234,,charactor-NiuBiXian.json,danshou_duan_skill01,800
235,,charactor-NiuBiXian.json,danshou_duan_skill01,800
236,,monster-RenShenGuo.json,attack,400
237,,monster-RenShenGuo.json,skill,667
