"关卡ID
===
Id
===
int-cs","关卡名称
===
Name
===
string-cs","关卡图标
===
Icon
===
string-cs","背景描述
===
BgDesc
===
string-cs","目标描述
===
TargetDesc
===
string-cs","开启描述
===
ActiveDesc
===
string-cs","关卡类型
===
StageType
===
int-cs","战斗ID
===
FightID
===
int-cs","开启等级
===
NeedLevel
===
int-cs","开启星数
===
NeedStars
===
int-cs","前置关卡
===
PreStage
===
int-cs","体力消耗
===
NeedAP
===
int-cs","关卡失败体力消耗
===
PunishAP
===
int-cs","消耗道具ID
===
NeedItemID
===
int-cs","消耗道具数量
===
NeedItemCount
===
int-cs","消耗货币种类
===
NeedMoneyType
===
int-cs","货币数量
===
NeedMoneyCount
===
int-cs","每日次数
===
MaxCountOfDay
===
int-cs","每日免费扫荡次数
===
MaxFreeSweepCountOfDay
===
int-cs","掉落物品预览0
===
DropItemPreviews0
===
int-cs","掉落物品预览1
===
DropItemPreviews1
===
int-cs","掉落物品预览2
===
DropItemPreviews2
===
int-cs","通关奖励0
===
PassAward0
===
int-cs","通关奖励1
===
PassAward1
===
int-cs","通关奖励2
===
PassAward2
===
int-cs","通关奖励3
===
PassAward3
===
int-cs","通关奖励4
===
PassAward4
===
int-cs","扫荡奖励0
===
SweepAwards0
===
int-cs","扫荡奖励1
===
SweepAwards1
===
int-cs","扫荡奖励2
===
SweepAwards2
===
int-cs","扫荡奖励3
===
SweepAwards3
===
int-cs","扫荡奖励4
===
SweepAwards4
===
int-cs","1星任务0
===
StarTasks0
===
int-cs","1星任务1
===
StarTasks1
===
int-cs","1星任务2
===
StarTasks2
===
int-cs","掉落奖励0.Id
===
DropAward0.DropId
===
int-cs","掉落奖励0.数量
===
DropAward0.num
===
int-cs","掉落奖励1.Id
===
DropAward1.DropId
===
int-cs","掉落奖励1.数量
===
DropAward1.num
===
int-cs","掉落奖励2.Id
===
DropAward2.DropId
===
int-cs","掉落奖励2.数量
===
DropAward2.num
===
int-cs","掉落奖励3.Id
===
DropAward3.DropId
===
int-cs","掉落奖励3.数量
===
DropAward3.num
===
int-cs","掉落奖励4.Id
===
DropAward4.DropId
===
int-cs","掉落奖励4.数量
===
DropAward4.num
===
int-cs"
#测试章节,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,15,50,-1,-1,-1,-1,-1,-1,-1,-1
2,测试2,Stage_01_01,测试2,不知道怎么过关,,0,22,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,21,21,21,21,21,21,22,23,24,21,20,21,22,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#3,探索,Stage_01_01,探索,不知道怎么过关,,0,3,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,31,31,31,31,31,31,32,33,34,31,30,31,32,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#4,朝歌城外,Stage_01_02,商朝都城朝歌的城外。,干掉朝歌城外所有尾行的BT,,0,4,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,41,41,41,41,41,41,42,43,44,41,40,41,42,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#5,朝歌城外2,Stage_01_01,全新商朝都城朝歌的城外。,不把敌人都干掉就过不去啊,,0,5,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,51,51,51,51,51,51,52,53,54,51,50,51,52,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#6,朝歌城外精英版,Stage_ShaMo_09,很难打的~~,干掉纣王,,0,6,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,61,61,61,61,61,61,62,63,64,61,60,61,62,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#7,龙德殿,Stage_ShaMo_09,纣王的宫殿,一路冲进军营干掉妲己,,0,7,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,71,71,71,71,71,71,72,73,74,71,70,71,72,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#8,沙漠09,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,8,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,81,81,81,81,81,81,82,83,84,81,80,81,82,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#9,沙漠02,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,9,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,91,91,91,91,91,91,92,93,94,91,90,91,92,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#10,沙漠04,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,10,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,101,101,101,101,101,101,102,103,104,101,100,101,102,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#11,沙漠06,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,11,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,111,111,111,111,111,111,112,113,114,111,110,111,112,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#12,沙漠07,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,12,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,121,121,121,121,121,121,122,123,124,121,120,121,122,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#13,沙漠10,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,13,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,131,131,131,131,131,131,132,133,134,131,130,131,132,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#14,沙漠10,Stage_ShaMo_09,沙漠的,不知道怎么过关,,0,14,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,141,141,141,141,141,141,142,143,144,141,140,141,142,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#99,压力测试,Stage_ShaMo_09,200场景压力测试,时间结束过关,,0,99,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,151,151,151,151,151,151,152,153,154,151,990,991,992,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#100,终极测试,Stage_ShaMo_09,终极测试,不知道怎么过关,,0,100,-1,-1,-1,5,1,-1,-1,-1,-1,100,10,20000,20001,20002,1001,1001,1001,1001,1000,1001,1002,1003,1004,1001,1000,1001,1002,15,50,-1,-1,-1,-1,-1,-1,-1,-1
#新手教学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
