"任务ID
===
Id
===
int-cs","任务名称
===
Name
===
string-cs","任务描述
===
Desc
===
string-cs","任务参数0.参数1
===
TaskParam0.param1
===
int-cs","任务参数0.参数2
===
TaskParam0.param2
===
int-cs","任务参数0.参数值
===
TaskParam0.value
===
int-cs","任务参数1.参数1
===
TaskParam1.param1
===
int-cs","任务参数1.参数2
===
TaskParam1.param2
===
int-cs","任务参数1.参数值
===
TaskParam1.value
===
int-cs","任务参数2.参数1
===
TaskParam2.param1
===
int-cs","任务参数2.参数2
===
TaskParam2.param2
===
int-cs","任务参数2.参数值
===
TaskParam2.value
===
int-cs"
#新手章,,,,,,,,,,,
1010,完成引导,完成新手引导内容,1,1,101,-1,-1,-1,-1,-1,-1
1011,剿灭敌军,杀死所有敌兵,1,2,0,-1,-1,-1,-1,-1,-1
1012,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
1020,完成引导,完成武将引导内容,1,1,102,-1,-1,-1,-1,-1,-1
1021,击杀妲己,击杀妲己,3,10015,1,-1,-1,-1,-1,-1,-1
1022,快速通关,限时150秒通关副本,2,1,150,-1,-1,-1,-1,-1,-1
#第一章,,,,,,,,,,,
10010,通关,通关此关卡即可完成任务,1,1,1001,-1,-1,-1,-1,-1,-1
10011,身形如燕,受到总伤害不足1000,8,-1,1000,-1,-1,-1,-1,-1,-1
10012,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10020,通关,通关此关卡即可完成任务,1,1,1002,-1,-1,-1,-1,-1,-1
10021,完胜,没有阵亡武将,4,4,0,-1,-1,-1,-1,-1,-1
10022,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10030,通关,通关此关卡即可完成任务,1,1,1003,-1,-1,-1,-1,-1,-1
10031,嫉恶如仇,胜利时敌兵剩余少于3人,1,2,2,-1,-1,-1,-1,-1,-1
10032,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10040,通关,通关此关卡即可完成任务,1,1,1004,-1,-1,-1,-1,-1,-1
10041,同仇敌忾,至少配置一名武将上场,4,1,1,-1,-1,-1,-1,-1,-1
10042,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10050,通关,通关此关卡即可完成任务,1,1,1005,-1,-1,-1,-1,-1,-1
10051,克己,最多使用一次无双技,10,1,1,-1,-1,-1,-1,-1,-1
10052,快速通关,限时200秒通关副本,2,1,200,-1,-1,-1,-1,-1,-1
10060,通关,通关此关卡即可完成任务,1,1,1006,-1,-1,-1,-1,-1,-1
10061,豪情,最少使用两次无双技,10,2,2,-1,-1,-1,-1,-1,-1
