"Id
===
Id
===
int-cs","过滤关键字
===
StrFilter
===
string-cs","过滤通道
===
Type
===
int-cs","过滤规则
===
Rule
===
int-cs"
10001,政治敏感词汇,15,1
10002,江泽民,15,1
10003,胡锦涛,15,1
10004,炮打中宣部,15,1
10005,焦国标,15,1
10006,六四,15,1
10007,天安门事件,15,1
10008,北京之春,15,1
10009,八九风波,15,1
10010,八九事件,15,1
10011,八九运动,15,1
10012,丁子霖,15,1
10013,梓霖,15,1
10014,刘晓竹,15,1
10015,丁加班,15,1
10016,何加栋,15,1
10017,鲍彤,15,1
10018,柴玲,15,1
10019,吾尔开希,15,1
10020,追查国际,15,1
10021,新闻管制,15,1
10022,舆论钳制,15,1
10023,动态网,15,1
10024,自由之门,15,1
10025,大纪元,15,1
10026,人民报,15,1
10027,博讯新闻,15,1
10028,明慧网,15,1
10029,燕玲论坛,15,1
10030,希望之声,15,1
10031,新唐人,15,1
10032,宗教迫害,15,1
10033,全球公审,15,1
10034,真善忍,15,1
10035,法輪,15,1
10036,轮子功,15,1
10037,洗脑班,15,1
10038,610办公室,15,1
10039,鸡巴,15,1
10040,肉缝,15,1
10041,肉棒,15,1
10042,淫水,15,1
10043,肉壁,15,1
10044,肉棍,15,1
10045,八九学潮,15,1
10046,“冰点”周刊,15,1
10047,天安门,15,1
10048,共产党,15,1
10049,帐号,15,1
10050,法轮,15,1
10051,法轮功,15,1
10052,fuck,15,1
10053,Fuck,15,1
10054,日本,15,1
10055,小泉,15,1
10056,外挂,15,1
10057,提示,15,1
10058,R.O.C.,15,1
10059,ROC,15,1
10060,SARS,15,1
10061,非典,15,1
10062,731,15,1
10063,七三一,15,1
10064,大法,15,1
10065,法轮大法,15,1
10066,圆满,15,1
10067,自焚,15,1
10068,政治,15,1
10069,国民党,15,1
10070,邓小平,15,1
10071,拉登,15,1
10072,李洪志,15,1
10073,李宏志,15,1
10074,李红志,15,1
10075,李鹏,15,1
10076,毛泽东,15,1
10077,萨达姆,15,1
10078,周恩来,15,1
10079,朱镕基,15,1
10080,温家宝,15,1
10081,希特勒,15,1
10082,墨索里尼,15,1
10083,山本五十六,15,1
10084,东条英机,15,1
10085,天皇,15,1
10086,立法委员,15,1
10087,民国,15,1
10088,青天白日,15,1
10089,三民主义,15,1
10090,中央人民共和国,15,1
10091,国务院,15,1
10092,党中央,15,1
10093,中央军委,15,1
10094,主义,15,1
10095,封建,15,1
10096,靖国,15,1
10097,神社,15,1
10098,法西斯,15,1
10099,纳粹,15,1
10100,盖世太保,15,1
10101,集中营,15,1
10102,恐怖,15,1
10103,贪污,15,1
10104,腐败,15,1
10105,杀人,15,1
10106,抢劫,15,1
10107,吸毒,15,1
10108,毒品,15,1
10109,犯罪,15,1
10110,福尔摩莎,15,1
10111,同性恋,15,1
10112,变态,15,1
10113,娼妓,15,1
10114,嫖妓,15,1
10115,嫖,15,1
10116,妓,15,1
10117,妓女,15,1
10118,淫,15,1
10119,你妈,15,1
10120,强奸,15,1
10121,傻逼,15,1
10122,牛逼,15,1
10123,%国民党%,15,1
10124,%江%泽%民%,15,1
10125,%江%贼%民%,15,1
10126,%江%择%民%,15,1
10127,%胡%锦%涛%,15,1
10128,%胡%紧%掏%,15,1
10129,%胡%紧%套%,15,1
10130,胡XX,15,1
10131,%朱%容%基%,15,1
10132,%朱%容%鸡%,15,1
10133,%猪%容%基%,15,1
10134,%李%鹏%,15,1
10135,%李%岚%清%,15,1
10136,%温%家%宝%,15,1
10137,%乔%石%,15,1
10138,%黄%菊%,15,1
10139,%曾%庆%红%,15,1
10140,%贾%庆%林%,15,1
10141,%王%宝%森%,15,1
10142,%董%建%华%,15,1
10143,%董%贱%华%,15,1
10144,%何%候%华%,15,1
10145,%强%卫%,15,1
10146,%罗%干%,15,1
10147,%骡%干%,15,1
10148,%毛%泽%东%,15,1
10149,毛XX,15,1
10150,%邓%小%平%,15,1
10151,%周%恩%来%,15,1
10152,%林%彪%,15,1
10153,%江%青%,15,1
10154,布什,15,1
10155,普京,15,1
10156,本·拉登,15,1
10157,安南,15,1
10158,晚年周恩来,15,1
10159,gc365,15,1
10160,官逼民反,15,1
10161,一党专制,15,1
10162,共匪,15,1
10163,中共,15,1
10164,警匪一家,15,1
10165,三个代婊,15,1
10166,万税,15,1
10167,卖.国,15,1
10168,卖国,15,1
10169,六月四日,15,1
10170,六.四,15,1
10171,6月4日,15,1
10172,天安门档案,15,1
10173,FLG,15,1
10174,F.L.G,15,1
10175,大法弟子,15,1
10176,多维新闻,15,1
10177,大%FA弟%子,15,1
10178,李宏旨,15,1
10179,李弘旨,15,1
10180,梅花网,15,1
10181,动乱,15,1
10182,暴乱,15,1
10183,八九,15,1
10184,法%轮%功,15,1
10185,%六%四%,15,1
10186,liusi,15,1
10187,真相,15,1
10188,一个事实,15,1
10189,游行,15,1
10190,民主,15,1
10191,4.25,15,1
10192,回教,15,1
10193,伊斯兰,15,1
10194,穆斯林,15,1
10195,社. 会. 正. 义. 力. 量,15,1
10196,法(轮)功,15,1
10197,劳+教+所,15,1
10198,台独,15,1
10199,台湾独立,15,1
10200,陈水扁,15,1
10201,李登辉,15,1
10202,东亚病夫,15,1
10203,大东亚共荣,15,1
10204,%6%4%,15,1
10205,政变,15,1
10206,镇压,15,1
10207,反动,15,1
10208,敬国神社,15,1
10209,中华民国,15,1
10210,中华人民共和国,15,1
10211,卖党求荣,15,1
10212,卖国求荣,15,1
10213,红卫兵,15,1
10214,十年动乱,15,1
10215,反革命,15,1
10216,转法轮,15,1
10217,东突,15,1
10218,东突组织,15,1
10219,分裂祖国,15,1
10220,莫索里尼,15,1
10221,军国主义,15,1
10222,%8%9%,15,1
10223,china,15,1
10224,CHINA,15,1
10225,四人帮,15,1
10226,天皇陛下,15,1
10227,邪教,15,1
10228,基地组织,15,1
10229,乳头,15,1
10230,火棒,15,1
10231,肉棍子,15,1
10232,阴户,15,1
