"Id
===
Id
===
int-cs","描述
===
Desc
===
string-c","一级分页
===
TypeId1
===
int-cs","二级分页
===
TypeId2
===
int-cs","合成成功率(分母是10000)
===
SuccessRate
===
int-cs","是随机生成
===
IsRandomCreate
===
int-cs","随机创建表ID(LotteryAwardTable)
===
RandomCreateID
===
int-cs","不随机创建物品ID
===
CreateObjectId
===
int-cs","不随机创建物品个数
===
CreateObjectCount
===
int-cs","消耗材料0.材料Id
===
ConsumeMaterial0.Id
===
int-cs","消耗材料0.消耗数量
===
ConsumeMaterial0.Count
===
int-cs","消耗材料1.材料Id
===
ConsumeMaterial1.Id
===
int-cs","消耗材料1.消耗数量
===
ConsumeMaterial1.Count
===
int-cs","消耗材料2.材料Id
===
ConsumeMaterial2.Id
===
int-cs","消耗材料2.消耗数量
===
ConsumeMaterial2.Count
===
int-cs","消耗材料3.材料Id
===
ConsumeMaterial3.Id
===
int-cs","消耗材料3.消耗数量
===
ConsumeMaterial3.Count
===
int-cs","消耗材料4.材料Id
===
ConsumeMaterial4.Id
===
int-cs","消耗材料4.消耗数量
===
ConsumeMaterial4.Count
===
int-cs","消耗货币0.货币ID
===
ConsumeCoin0.Id
===
int-cs","消耗货币0.消耗数量
===
ConsumeCoin0.Count
===
int-cs","消耗货币1.货币ID
===
ConsumeCoin1.Id
===
int-cs","消耗货币1.消耗数量
===
ConsumeCoin1.Count
===
int-cs","消耗货币2.货币ID
===
ConsumeCoin2.Id
===
int-cs","消耗货币2.消耗数量
===
ConsumeCoin2.Count
===
int-cs","消耗货币3.货币ID
===
ConsumeCoin3.Id
===
int-cs","消耗货币3.消耗数量
===
ConsumeCoin3.Count
===
int-cs","排序
===
SortId
===
int-cs"
#0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#宝石数据-赤戟石,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,二级赤戟石,1,0,10000,0,0,20001,1,20000,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,100
20002,三级赤戟石,1,0,10000,0,0,20002,1,20001,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,200
20003,四级赤戟石,1,0,10000,0,0,20003,1,20002,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,300
20004,五级赤戟石,1,0,10000,0,0,20004,1,20003,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,400
20051,二级冥皇石,1,1,10000,0,0,20051,1,20050,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,101
20052,三级冥皇石,1,1,10000,0,0,20052,1,20051,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,201
20053,四级冥皇石,1,1,10000,0,0,20053,1,20052,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,301
20054,五级冥皇石,1,1,10000,0,0,20054,1,20053,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,401
20101,二级补天石,1,2,10000,0,0,20101,1,20100,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,102
20102,三级补天石,1,2,10000,0,0,20102,1,20101,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,202
20103,四级补天石,1,2,10000,0,0,20103,1,20102,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,302
20104,五级补天石,1,2,10000,0,0,20104,1,20103,3,0,0,0,0,0,0,0,0,1,12470,0,0,0,0,0,0,402
20151,二级寒冰石,1,3,10000,0,0,20151,1,20150,3,0,0,0,0,0,0,0,0,1,2941,0,0,0,0,0,0,103
20152,三级寒冰石,1,3,10000,0,0,20152,1,20151,3,0,0,0,0,0,0,0,0,1,6000,0,0,0,0,0,0,203
20153,四级寒冰石,1,3,10000,0,0,20153,1,20152,3,0,0,0,0,0,0,0,0,1,9176,0,0,0,0,0,0,303
