"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","轮盘权重
===
RollingRatio
===
float-cs","每打一遍勋章奖励
===
StarAward
===
float-cs","成就ID
===
AchId
===
int-cs","需求类型
===
ReqType
===
int-cs","需求占比
===
ReqPercent
===
int-cs","物品ID集合(分号分割)
===
Ids
===
string-cs","掉落率
===
DropRate
===
float-cs","最少打多少遍
===
MinCount
===
int-cs","最多打多少遍
===
MaxCount
===
int-cs","星级占比（10000）0
===
StarPercent0
===
int-cs","星级占比（10000）1
===
StarPercent1
===
int-cs","星级占比（10000）2
===
StarPercent2
===
int-cs","任务刷新过滤
===
TaskFilter
===
string-s"
1,普通,2,20,-1,0,0,61462;61462;61462;61462;61462;61463;61761;61462;61462,0.18,2,2,2000,3000,5000,Func_CompleteStage(101)
2,普通,2,20,-1,0,0,61762;61763;61763;61762;61762;61463;61463;61762;61762;61461,0.18,2,2,2000,3000,5000,Func_CompleteStage(102)
3,普通,3,20,-1,0,0,61762;61763;61463;61763;61462;61762;61462;61463;61463;61463;61462,0.18,2,2,2000,3000,5000,Func_CompleteStage(103)
4,普通,3,20,-1,0,0,61462;61763;61763;61763;61462;61762;61462;61763;61763;61762;61762;61661,0.18,2,2,2000,3000,5000,Func_CompleteStage(104)
5,普通,3,20,-1,0,0,61762;61463;61761;61463;61763;61763;61462;61462;61762;61662;61662,0.18,2,2,2000,3000,5000,Func_CompleteStage(105)
6,普通,4,20,-1,0,0,61463;61762;61463;61763;61762;61763;61762;61763;61763;61662;61662;61462;61463,0.18,2,2,2000,3000,5000,Func_CompleteStage(106)
7,普通,4,20,-1,0,0,61762;61463;61762;61763;61763;61462;61462;61763;61463;61763;61462;61462;61562,0.18,2,2,2000,3000,5000,Func_CompleteStage(107)
8,普通,4,20,-1,0,0,61462;61762;61763;61463;61762;61762;61462;61462;61462;61762;61461;61662;61462,0.18,2,2,2000,3000,5000,Func_CompleteStage(108)
9,普通,5,20,-1,0,0,60062;60062;60063;60063;60062;60063;60062;60062;60062;60063;60061,0.18,2,2,2000,3000,5000,Func_CompleteStage(201)
10,普通,5,20,-1,0,0,61362;61362;61363;61363;61363;61363;61363;61362;61362;61362;61362;61363;61361,0.18,2,2,2000,3000,5000,Func_CompleteStage(202)
11,普通,5,20,-1,0,0,60162;60162;60163;60163;60163;60163;60163;60162;60163;60162;60161;60162;60163,0.18,2,2,2000,3000,5000,Func_CompleteStage(203)
12,普通,5,20,-1,0,0,61362;60062;60062;61362;60063;60063;60063;61363;61363;61361;60061,0.18,2,2,2000,3000,5000,Func_CompleteStage(204)
13,普通,6,20,-1,0,0,60162;61363;60162;61363;61363;61363;60162;60163;60162;60163;60162;60161;60162,0.18,2,2,2000,3000,5000,Func_CompleteStage(205)
14,普通,6,20,-1,0,0,60063;60062;60062;60063;60062;60063;60062;60063;60062;60063;60063;60062;60062;60062,0.18,2,2,2000,3000,5000,Func_CompleteStage(206)
15,普通,6,20,-1,0,0,60063;60162;60063;60162;60162;60163;60163;60163;60062;60062;61363;61363;61363;61363,0.18,2,2,2000,3000,5000,Func_CompleteStage(207)
16,普通,7,20,-1,0,0,60162;60163;60163;60163;60163;60162;60162;60162;60163;60163;60162;60162;60163;60163;60162;60161;60162,0.18,2,2,2000,3000,5000,Func_CompleteStage(208)
