"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#移动脚本：原地等待，当有目标时向目标移动,,,
80,SriptName,脚本名,AIScript_Move_WaitTarget
81,TargetDis,移动：靠近敌人的距离,2.5
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,30
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,0.5
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,2
#连招脚本,,,
12,SriptName,脚本名,AIScript_Attack_StepByStep
13,StartStepDistance,招式：开始第一招的距离,3
14,Step1NormalRate,招式：第一招普通攻击概率,0.8
15,Step1Skill0Rate,招式：第一招一般技能0概率,0.2
16,Step1Skill1Rate,招式：第一招一般技能1概率,0
17,Step1Skill2Rate,招式：第一招一般技能2概率,0
18,Step1Skill3Rate,招式：第一招一般技能3概率,0
19,Step1Skill4Rate,招式：第一招一般技能4概率,0
20,Step2NormalRate,招式：第二招普通攻击概率,0
21,Step2Skill0Rate,招式：第二招一般技能0概率,1
22,Step2Skill1Rate,招式：第二招一般技能1概率,0
23,Step2Skill2Rate,招式：第二招一般技能2概率,0
24,Step2Skill3Rate,招式：第二招一般技能3概率,0
25,Step2Skill4Rate,招式：第二招一般技能4概率,0
26,Step3NormalRate,招式：第三招普通攻击概率,0.3
27,Step3Skill0Rate,招式：第三招一般技能0概率,0.4
28,Step3Skill1Rate,招式：第三招一般技能1概率,0.3
29,Step3Skill2Rate,招式：第三招一般技能2概率,0
30,Step3Skill3Rate,招式：第三招一般技能3概率,0
31,Step3Skill4Rate,招式：第三招一般技能4概率,0
32,Step4NormalRate,招式：第四招普通攻击概率,0
33,Step4Skill0Rate,招式：第四招一般技能0概率,0.3
34,Step4Skill1Rate,招式：第四招一般技能1概率,0.3
35,Step4Skill2Rate,招式：第四招一般技能2概率,0.4
36,Step4Skill3Rate,招式：第四招一般技能3概率,0
37,Step4Skill4Rate,招式：第四招一般技能4概率,0
38,Step5NormalRate,招式：第五招普通攻击概率,0
39,Step5Skill0Rate,招式：第五招一般技能0概率,0
40,Step5Skill1Rate,招式：第五招一般技能1概率,0
41,Step5Skill2Rate,招式：第五招一般技能2概率,0
42,Step5Skill3Rate,招式：第五招一般技能3概率,0
43,Step5Skill4Rate,招式：第五招一般技能4概率,0
44,StartAttackDelay,显示技能目标选择框时间/起手延迟时间,1
45,CanAttackFly,是否追击浮空/倒地/起身的目标,0
#触发,,,
70,SriptName,脚本名,AIScript_Action_Trigger
71,AITriggerCondition,触发条件,5
72,AITriggerConditionParam1,触发条件参数1,50
73,AITriggerConditionParam2,触发条件参数2,-1
74,AITriggerAction,触发动作,2
75,AITriggerActionParam1,触发动作参数1,2
76,AITriggerActionParam2,触发动作参数2,-1
#附加修改,,,
110,SriptName,脚本名,AIScript_Attribute_Other
#霸体,,,
120,SriptName,脚本名,AIScript_Attribute_NoHitPhysic
121,ImpactLogicID,霸体：效果逻辑,11
122,IronValueRate,霸体：霸体值计算比率,0.5
123,IronRestoreValue,霸体：霸体值恢复速率,0
124,IronRestoreTime,霸体：不再受到攻击开始恢复霸体值的时间,2
125,IsBornWithIron,霸体：是否出生自带霸体,1
126,HpIronRate1,霸体：HP比率小于时触发该霸体,0.7
127,HpIronRate2,霸体：HP比率小于时触发该霸体,0
128,HpIronRate3,霸体：HP比率小于时触发该霸体,0.3
129,HpIronRate4,霸体：HP比率小于时触发该霸体,0
130,HpIronRate5,霸体：HP比率小于时触发该霸体,0
131,FadeOutEffect,霸体：霸体破除瞬间特效,90003
132,FadeOutPhysic,霸体：霸体破除瞬间物理效果,1004
133,ImpactRestoreInterval,霸体：霸体破除恢复时间,6
