"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,10
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,100
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,3
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,5
#移动脚本：游荡（攻击后逃离）,,,
200,SriptName,脚本名,AIScript_Move_Wander
201,AttackDistance,发动攻击的距离,2
202,FarAwayMaxDistance,逃离时最远距离,8
203,FarAwayMinDistance,逃离的最近距离,5
204,FarAwayAngle,逃离角度,45
205,FarWaitTime,逃离间隔,1
206,IsTranLookAt,移动完成时是否会转向关注的目标,1
#连招脚本,,,
30,SriptName,脚本名,AIScript_Attack_StepByStep
31,StartStepDistance,招式：开始第一招的距离,2
32,Step1NormalRate,招式：第一招普通攻击概率,1
33,Step1Skill0Rate,招式：第一招一般技能0概率,0
34,Step1Skill1Rate,招式：第一招一般技能1概率,0
35,Step1Skill2Rate,招式：第一招一般技能2概率,0
36,Step1Skill3Rate,招式：第一招一般技能3概率,0
37,Step1Skill4Rate,招式：第一招一般技能4概率,0
38,Step2NormalRate,招式：第二招普通攻击概率,0
39,Step2Skill0Rate,招式：第二招一般技能0概率,0
40,Step2Skill1Rate,招式：第二招一般技能1概率,0
41,Step2Skill2Rate,招式：第二招一般技能2概率,0
42,Step2Skill3Rate,招式：第二招一般技能3概率,0
43,Step2Skill4Rate,招式：第二招一般技能4概率,0
44,Step3NormalRate,招式：第三招普通攻击概率,0
45,Step3Skill0Rate,招式：第三招一般技能0概率,0
46,Step3Skill1Rate,招式：第三招一般技能1概率,0
47,Step3Skill2Rate,招式：第三招一般技能2概率,0
48,Step3Skill3Rate,招式：第三招一般技能3概率,0
49,Step3Skill4Rate,招式：第三招一般技能4概率,0
50,Step4NormalRate,招式：第四招普通攻击概率,0
51,Step4Skill0Rate,招式：第四招一般技能0概率,0
52,Step4Skill1Rate,招式：第四招一般技能1概率,0
53,Step4Skill2Rate,招式：第四招一般技能2概率,0
54,Step4Skill3Rate,招式：第四招一般技能3概率,0
55,Step4Skill4Rate,招式：第四招一般技能4概率,0
56,Step5NormalRate,招式：第五招普通攻击概率,0
57,Step5Skill0Rate,招式：第五招一般技能0概率,0
58,Step5Skill1Rate,招式：第五招一般技能1概率,0
59,Step5Skill2Rate,招式：第五招一般技能2概率,0
60,Step5Skill3Rate,招式：第五招一般技能3概率,0
61,Step5Skill4Rate,招式：第五招一般技能4概率,0
#霸体,,,
120,SriptName,脚本名,AIScript_Attribute_NoHitPhysic
121,ImpactLogicID,霸体：效果逻辑,11
122,IronValueRate,霸体：霸体值计算比率,0.1
123,IronRestoreValue,霸体：霸体值恢复速率,0
124,IronRestoreTime,霸体：不再受到攻击开始恢复霸体值的时间,3
125,IsBornWithIron,霸体：是否出生自带霸体,1
126,HpIronRate1,霸体：HP比率小于时触发该霸体,0
127,HpIronRate2,霸体：HP比率小于时触发该霸体,0
128,HpIronRate3,霸体：HP比率小于时触发该霸体,0
129,HpIronRate4,霸体：HP比率小于时触发该霸体,0
130,HpIronRate5,霸体：HP比率小于时触发该霸体,0
131,FadeOutEffect,霸体：霸体破除瞬间特效,20023
132,FadeOutPhysic,霸体：霸体破除瞬间物理效果,1004
133,ImpactRestoreInterval,霸体：霸体破除恢复时间,5
#附加修改,,,
110,SriptName,脚本名,AIScript_Attribute_Other
111,IsShowSelectRange,是否显示技能目标选择框,1
