"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#移动脚本,,,
80,SriptName,脚本名,AIScript_Move_WaitTarget
81,TargetDis,移动：靠近敌人距离,5
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,100
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0.1
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,0.5
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,2
#移动脚本：保持距离,,,
#200,SriptName,脚本名,AIScript_Move_KeepDistance
#201,NearDistance,与目标最近距离,1
#202,FarDistance,与目标最远距离,4
#203,FarWaitTime,远离的等待时间,1
#移动脚本：游荡移动,,,
210,SriptName,脚本名,AIScript_Move_Wander
211,AttackDistance,发动攻击距离,4
212,FarAwayMaxDistance,逃离最远距离,8
213,FarAwayMinDistance,逃离最近距离,3
214,FarAwayAngle,逃离最大角度,90
215,FarWaitTime,逃离等待时间,1
216,IsTranLookAt,移动后是否转向,1
#连招脚本,,,
12,SriptName,脚本名,AIScript_Attack_StepByStep
13,StartStepDistance,招式：开始第一招的距离,4
14,Step1NormalRate,招式：第一招普通攻击概率,0.33
15,IsShowAlertNormal,是否显示预警范围-普通攻击,1
16,AlertTimeNormal,预警时间-普通攻击,1
17,Step1Skill0Rate,招式：第一招一般技能0概率,0.33
18,IsShowAlertSkill0,是否显示预警范围-技能0,1
19,AlertTimeSkill0,预警时间-技能0,1
20,Step1Skill1Rate,招式：第一招一般技能1概率,0.34
21,IsShowAlertSkill1,是否显示预警范围-技能1,1
22,AlertTimeSkill1,预警时间-技能1,1
23,Step1Skill2Rate,招式：第一招一般技能2概率,0
24,IsShowAlertSkill2,是否显示预警范围-技能2,0
25,AlertTimeSkill2,预警时间-技能2,0
26,Step1Skill3Rate,招式：第一招一般技能3概率,0
27,IsShowAlertSkill3,是否显示预警范围-技能3,0
28,AlertTimeSkill3,预警时间-技能3,0
29,Step1Skill4Rate,招式：第一招一般技能4概率,0
30,IsShowAlertSkill4,是否显示预警范围-技能4,0
31,AlertTimeSkill4,预警时间-技能4,0
32,Step2NormalRate,招式：第二招普通攻击概率,0
33,Step2Skill0Rate,招式：第二招一般技能0概率,0.5
34,Step2Skill1Rate,招式：第二招一般技能1概率,0.5
35,Step2Skill2Rate,招式：第二招一般技能2概率,0
36,Step2Skill3Rate,招式：第二招一般技能3概率,0
37,Step2Skill4Rate,招式：第二招一般技能4概率,0
38,Step3NormalRate,招式：第三招普通攻击概率,0
39,Step3Skill0Rate,招式：第三招一般技能0概率,0.5
40,Step3Skill1Rate,招式：第三招一般技能1概率,0.5
41,Step3Skill2Rate,招式：第三招一般技能2概率,0
42,Step3Skill3Rate,招式：第三招一般技能3概率,0
43,Step3Skill4Rate,招式：第三招一般技能4概率,0
44,Step4NormalRate,招式：第四招普通攻击概率,0
45,Step4Skill0Rate,招式：第四招一般技能0概率,0.5
46,Step4Skill1Rate,招式：第四招一般技能1概率,0.5
47,Step4Skill2Rate,招式：第四招一般技能2概率,0
48,Step4Skill3Rate,招式：第四招一般技能3概率,0
49,Step4Skill4Rate,招式：第四招一般技能4概率,0
50,Step5NormalRate,招式：第五招普通攻击概率,0
51,Step5Skill0Rate,招式：第五招一般技能0概率,0
52,Step5Skill1Rate,招式：第五招一般技能1概率,0
53,Step5Skill2Rate,招式：第五招一般技能2概率,0
54,Step5Skill3Rate,招式：第五招一般技能3概率,0
55,Step5Skill4Rate,招式：第五招一般技能4概率,0
56,CanAttackFly,浮空后是否追击,0
57,AttackBorn,出生后是否立即攻击,0
58,StartAttackDelay,显示技能目标选择框时间/起手延迟时间,2
#霸体,,,
120,SriptName,脚本名,AIScript_Attribute_NoHitPhysic
121,ImpactLogicID,霸体：效果逻辑,11
122,IronValueRate,霸体：霸体值计算比率,0.4
123,IronRestoreValue,霸体：霸体值恢复速率,5
124,IronRestoreTime,霸体：不再受到攻击开始恢复霸体值的时间,3
125,IsBornWithIron,霸体：是否出生自带霸体,1
126,HpIronRate1,霸体：HP比率小于时触发该霸体,0.8
127,HpIronRate2,霸体：HP比率小于时触发该霸体,0.5
128,HpIronRate3,霸体：HP比率小于时触发该霸体,0.2
129,HpIronRate4,霸体：HP比率小于时触发该霸体,0
130,HpIronRate5,霸体：HP比率小于时触发该霸体,0
131,FadeOutEffect,霸体：霸体破除瞬间特效,90003
132,FadeOutPhysic,霸体：霸体破除瞬间物理效果,1004
133,ImpactRestoreInterval,霸体：霸体破除恢复时间,10
