"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#移动脚本,,,
#80,SriptName,脚本名,AIScript_Move_WaitTarget
#81,TargetDis,移动：靠近敌人距离,4
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,100
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0.1
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,0.5
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,1.5
#移动脚本：保持距离,,,
#200,SriptName,脚本名,AIScript_Move_KeepDistance
#201,NearDistance,与目标最近距离,1
#202,FarDistance,与目标最远距离,8
#203,FarWaitTime,远离的等待时间,3
#移动脚本：游荡移动,,,
210,SriptName,脚本名,AIScript_Move_Wander
211,AttackDistance,发动攻击距离,3
212,FarAwayMaxDistance,逃离最远距离,8
213,FarAwayMinDistance,逃离最近距离,1
214,FarAwayAngle,逃离最大角度,90
215,FarWaitTime,逃离等待时间,1
216,IsTranLookAt,移动后是否转向,1
#连招脚本,,,
12,SriptName,脚本名,AIScript_Attack_StepByStep
13,StartStepDistance,招式：开始第一招的距离,3
14,Step1NormalRate,招式：第一招普通攻击概率,0.7
15,Step1Skill0Rate,招式：第一招一般技能0概率,0.3
16,Step1Skill1Rate,招式：第一招一般技能1概率,0
17,Step1Skill2Rate,招式：第一招一般技能2概率,0
18,Step1Skill3Rate,招式：第一招一般技能3概率,0
19,Step1Skill4Rate,招式：第一招一般技能4概率,0
20,Step2NormalRate,招式：第二招普通攻击概率,0
21,Step2Skill0Rate,招式：第二招一般技能0概率,0.7
22,Step2Skill1Rate,招式：第二招一般技能1概率,0
23,Step2Skill2Rate,招式：第二招一般技能2概率,0
24,Step2Skill3Rate,招式：第二招一般技能3概率,0
25,Step2Skill4Rate,招式：第二招一般技能4概率,0
26,Step3NormalRate,招式：第三招普通攻击概率,0
27,Step3Skill0Rate,招式：第三招一般技能0概率,0.5
28,Step3Skill1Rate,招式：第三招一般技能1概率,0.5
29,Step3Skill2Rate,招式：第三招一般技能2概率,0
30,Step3Skill3Rate,招式：第三招一般技能3概率,0
31,Step3Skill4Rate,招式：第三招一般技能4概率,0
32,Step4NormalRate,招式：第四招普通攻击概率,0
33,Step4Skill0Rate,招式：第四招一般技能0概率,0
34,Step4Skill1Rate,招式：第四招一般技能1概率,0
35,Step4Skill2Rate,招式：第四招一般技能2概率,0
36,Step4Skill3Rate,招式：第四招一般技能3概率,0
37,Step4Skill4Rate,招式：第四招一般技能4概率,0
38,Step5NormalRate,招式：第五招普通攻击概率,0
39,Step5Skill0Rate,招式：第五招一般技能0概率,0
40,Step5Skill1Rate,招式：第五招一般技能1概率,0
41,Step5Skill2Rate,招式：第五招一般技能2概率,0
42,Step5Skill3Rate,招式：第五招一般技能3概率,0
43,Step5Skill4Rate,招式：第五招一般技能4概率,0
50,CanAttackFly,浮空后是否追击,1
51,AttackBorn,出生后是否立即攻击,0
