"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#移动脚本,,,
0,SriptName,脚本名,AIScript_Move_WaitTarget
1,TargetDis,移动：靠近敌人距离,3
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,100
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,0
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,0
12,LockLook,仇恨：是否锁定目标,1
#攻击脚本：PVP顺序释放技能,,,
70000,SriptName,脚本名,AIScript_Attack_PVPSkillOrder
70001,StartStepDistance,招式：开始第一招的距离,4
70002,CanAttackFly,是否追击浮空目标,0
#霸体,,,
120,SriptName,脚本名,AIScript_Attribute_NoHitPhysic
121,ImpactLogicID,霸体：效果逻辑,11
122,IronValueRate,霸体：霸体值计算比率,100
123,IronRestoreValue,霸体：霸体值恢复速率,2
124,IronRestoreTime,霸体：不再受到攻击开始恢复霸体值的时间,3
125,IsBornWithIron,霸体：是否出生自带霸体,1
126,HpIronRate1,霸体：HP比率小于时触发该霸体,0
127,HpIronRate2,霸体：HP比率小于时触发该霸体,0
128,HpIronRate3,霸体：HP比率小于时触发该霸体,0
129,HpIronRate4,霸体：HP比率小于时触发该霸体,0
130,HpIronRate5,霸体：HP比率小于时触发该霸体,0
131,FadeOutEffect,霸体：霸体破除瞬间特效,90003
132,FadeOutPhysic,霸体：霸体破除瞬间物理效果,1004
133,ImpactRestoreInterval,霸体：霸体破除恢复时间,15
#触发,,,
60000,SriptName,脚本名,AIScript_Action_Trigger
60001,AITriggerCondition,触发条件,2
60002,AITriggerConditionParam1,触发条件参数1,0.5
60003,AITriggerConditionParam2,触发条件参数2,-1
60004,AITriggerAction,触发动作,5
60005,AITriggerActionParam1,触发动作参数1,5
60006,AITriggerActionParam2,触发动作参数2,-1
