"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#移动脚本,,,
0,SriptName,脚本名,AIScript_Move_Follow
1,FollowNormalDis,移动：普通移动距离,3
2,FollowForceStartDis,移动：强制移动开始距离,12
3,FollowForceEndDis,移动：强制移动结束距离,3
4,FollowForceTransTime,移动：移动丢失-强制传送时间,2
5,TargetDis,移动：靠近敌人距离,3
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,30
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0.2
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,0.5
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,1
#连招脚本,,,
12,SriptName,脚本名,AIScript_Attack_StepByStep
13,StartStepDistance,招式：开始第一招的距离,4
14,Step1NormalRate,招式：第一招普通攻击概率,0.5
15,Step1Skill0Rate,招式：第一招一般技能0概率,0.3
16,Step1Skill1Rate,招式：第一招一般技能1概率,0
17,Step1Skill2Rate,招式：第一招一般技能2概率,0.2
18,Step1Skill3Rate,招式：第一招一般技能3概率,0
19,Step1Skill4Rate,招式：第一招一般技能4概率,0
#霸体,,,
120,SriptName,脚本名,AIScript_Attribute_NoHitPhysic
121,ImpactLogicID,霸体：效果逻辑,11
122,IronValueRate,霸体：霸体值计算比率,0.3
123,IronRestoreValue,霸体：霸体值恢复速率,2
124,IronRestoreTime,霸体：不再受到攻击开始恢复霸体值的时间,3
125,IsBornWithIron,霸体：是否出生自带霸体,1
126,HpIronRate1,霸体：HP比率小于时触发该霸体,0
127,HpIronRate2,霸体：HP比率小于时触发该霸体,0
128,HpIronRate3,霸体：HP比率小于时触发该霸体,0
129,HpIronRate4,霸体：HP比率小于时触发该霸体,0
130,HpIronRate5,霸体：HP比率小于时触发该霸体,0
131,FadeOutEffect,霸体：霸体破除瞬间特效,90003
132,FadeOutPhysic,霸体：霸体破除瞬间物理效果,1004
133,ImpactRestoreInterval,霸体：霸体破除恢复时间,15
