"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#,,,
#主角自动攻击,,,
0,SriptName,脚本名,AIScript_NormalSkill
1,SkillDistance,攻击距离,4
2,SkillAngle,攻击角度,45
#移动脚本：追随主角，攻击敌人,,,
10000,SriptName,脚本名,AIScript_Move_Follow
10001,FollowNormalDis,移动：普通移动距离,5
10002,FollowNormalEndDis,移动：结束普通移动距离,2
10003,FollowForceStartDis,移动：强制移动开始距离,10
10004,FollowForceEndDis,移动：强制移动结束距离,7
10005,FollowForceTransTime,移动：移动丢失-强制传送时间,1
10006,TargetDis,移动：靠近敌人距离,2
#移动脚本：原地等待，当有目标时向目标移动,,,
10100,SriptName,脚本名,AIScript_Move_WaitTarget
10101,TargetDis,移动：靠近敌人的距离,1
#移动脚本：保持距离,,,
10200,SriptName,脚本名,AIScript_Move_KeepDistance
10201,NearDistance,与目标最近距离,8
10202,FarDistance,与目标最远距离,3
10203,FarWaitTime,远离的等待时间,1
#移动脚本：游荡（攻击后逃离）,,,
10300,SriptName,脚本名,AIScript_Move_Wander
10301,AttackDistance,发动攻击的距离,2
10302,FarAwayMaxDistance,逃离时最远距离,8
10303,FarAwayMinDistance,逃离的最近距离,5
10304,FarAwayAngle,逃离角度,90
10305,FarWaitTime,逃离间隔,1
#索敌脚本,,,
20000,SriptName,脚本名,AIScript_Target_Select
20001,SelectRange,索敌：索敌半径,5
20002,SelectAngle,索敌：索敌角度,180
20003,LoseWaitRate,等待：丢失目标后等待概率,1
20004,LoseWaitTimeMin,等待：等待时间最小值（秒）,2
20005,LoseWaitTimeMax,等待：等待时间最大值（秒）,2
20006,IsHitSetTarget,仇恨：是否在没有目标的时候把攻击自己的敌人设为目标,1
20007,IsHitChangeTarget,仇恨：如果攻击自己的敌人距离更近，是否转换目标,1
20008,WakePlayerDis,唤醒：主角在一定距离内时才开始计算目标,10
#连招脚本,,,
30000,SriptName,脚本名,AIScript_Attack_StepByStep
30001,StartStepDistance,招式：开始第一招的距离,2
30002,Step1NormalRate,招式：第一招普通攻击概率,1
30003,IsShowAlertNormal,是否显示预警范围-普通攻击,1
30004,AlertTimeNormal,预警时间-普通攻击,3
30005,Step1Skill0Rate,招式：第一招一般技能0概率,0
30006,IsShowAlertSkill0,是否显示预警范围-技能0,1
30007,AlertTimeSkill0,预警时间-技能0,3
30008,Step1Skill1Rate,招式：第一招一般技能1概率,0
30009,IsShowAlertSkill1,是否显示预警范围-技能0,1
30010,AlertTimeSkill1,预警时间-技能0,3
30011,Step1Skill2Rate,招式：第一招一般技能2概率,0
30012,IsShowAlertSkill2,是否显示预警范围-技能0,1
30013,AlertTimeSkill2,预警时间-技能0,3
30014,Step1Skill3Rate,招式：第一招一般技能3概率,0
30015,IsShowAlertSkill3,是否显示预警范围-技能0,1
30016,AlertTimeSkill3,预警时间-技能0,3
30017,Step1Skill4Rate,招式：第一招一般技能4概率,0
30018,IsShowAlertSkill4,是否显示预警范围-技能0,1
30019,AlertTimeSkill4,预警时间-技能0,3
30020,Step2NormalRate,招式：第二招普通攻击概率,0
30021,Step2Skill0Rate,招式：第二招一般技能0概率,1
30022,Step2Skill1Rate,招式：第二招一般技能1概率,0
30023,Step2Skill2Rate,招式：第二招一般技能2概率,0
30024,Step2Skill3Rate,招式：第二招一般技能3概率,0
30025,Step2Skill4Rate,招式：第二招一般技能4概率,0
30026,Step3NormalRate,招式：第三招普通攻击概率,0
30027,Step3Skill0Rate,招式：第三招一般技能0概率,0
