"Id
===
Id
===
int-c","技能名称
===
Name
===
string-c","技能图标
===
Image
===
string-c","技能描述
===
Desc
===
string-c","技能分组
===
SkillGroup
===
int-c","技能优先级
===
Priority
===
int-c","技能优先类型
===
PriorType
===
int-c","技能类型
===
SkillType
===
int-c","技能CD时间
===
CDTime
===
float-c","技能消耗HP
===
DepleteHP
===
int-c","技能消耗MP
===
DepleteMP
===
int-c","技能消耗怒气
===
DepleteRage
===
int-c","武将无双技切换时间
===
ModelWSSwtichTime
===
float-c","目标预警范围
===
AlertTarget
===
int-c","预警颜色
===
AlertColor
===
int-c","技能招式0
===
Steps0
===
int-c","技能招式1
===
Steps1
===
int-c","技能招式2
===
Steps2
===
int-c","技能招式3
===
Steps3
===
int-c","技能招式4
===
Steps4
===
int-c","技能招式5
===
Steps5
===
int-c","技能招式6
===
Steps6
===
int-c","技能招式7
===
Steps7
===
int-c","技能招式8
===
Steps8
===
int-c","技能招式9
===
Steps9
===
int-c","技能招式10
===
Steps10
===
int-c","技能招式11
===
Steps11
===
int-c","技能招式12
===
Steps12
===
int-c","技能招式13
===
Steps13
===
int-c","技能招式14
===
Steps14
===
int-c","技能招式15
===
Steps15
===
int-c","技能招式16
===
Steps16
===
int-c","技能招式17
===
Steps17
===
int-c","技能招式18
===
Steps18
===
int-c","技能招式19
===
Steps19
===
int-c"
#陷阱类,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
#地刺,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
1000,地刺,PetSkillBlank,,1000,1,2,0,0,0,0,0,0,0,1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#炮烙,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
1001,炮烙,PetSkillBlank,,1001,1,1,1,0,0,0,0,0.7,0,1,100100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#落雷,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
1002,落雷,PetSkillBlank,,1002,1,1,1,0,0,0,0,0.7,0,1,100200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#地刺2,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
1003,地刺,PetSkillBlank,,1003,1,2,0,0,0,0,0,0,0,1,100300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#箭塔,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,
