"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","脚本名
===
ScriptName
===
string-c","脚本参数0
===
ParamValues0
===
string-c","脚本参数1
===
ParamValues1
===
string-c","脚本参数2
===
ParamValues2
===
string-c","脚本参数3
===
ParamValues3
===
string-c","脚本参数4
===
ParamValues4
===
string-c","脚本参数5
===
ParamValues5
===
string-c"
#角色前移,,,,,,,,,
1,角色前移,,SkillPhysicScript_Move,5,1,0,0.05,-1,-1
2,角色前移,,SkillPhysicScript_Move,5,1,0,0.1,-1,-1
3,角色前移,,SkillPhysicScript_Move,5,1,0,0.15,-1,-1
4,角色前移,,SkillPhysicScript_Move,5,1,0,0.2,-1,-1
5,角色前移,,SkillPhysicScript_Move,5,1,0,0.25,-1,-1
6,角色前移,,SkillPhysicScript_Move,5,1,0,0.3,-1,-1
7,角色前移,,SkillPhysicScript_Move,10,1,0,0.05,-1,-1
8,角色前移,,SkillPhysicScript_Move,10,1,0,0.1,-1,-1
9,角色前移,,SkillPhysicScript_Move,10,1,0,0.15,-1,-1
10,角色前移,,SkillPhysicScript_Move,10,1,0,0.2,-1,-1
11,角色前移,,SkillPhysicScript_Move,10,1,0,0.25,-1,-1
12,角色前移,,SkillPhysicScript_Move,10,1,0,0.3,-1,-1
13,角色前移,,SkillPhysicScript_Move,15,1,0,0.05,-1,-1
14,角色前移,,SkillPhysicScript_Move,15,1,0,0.1,-1,-1
15,角色前移,,SkillPhysicScript_Move,15,1,0,0.15,-1,-1
16,角色前移,,SkillPhysicScript_Move,15,1,0,0.2,-1,-1
17,角色前移,,SkillPhysicScript_Move,15,1,0,0.25,-1,-1
18,角色前移,,SkillPhysicScript_Move,15,1,0,0.3,-1,-1
19,角色前移,,SkillPhysicScript_Move,20,1,0,0.05,-1,1
20,角色前移,,SkillPhysicScript_Move,20,1,0,0.1,-1,-1
21,角色前移,,SkillPhysicScript_Move,20,1,0,0.15,-1,-1
22,角色前移,,SkillPhysicScript_Move,20,1,0,0.2,-1,-1
23,角色前移,,SkillPhysicScript_Move,20,1,0,0.25,-1,-1
24,角色前移,,SkillPhysicScript_Move,20,1,0,0.3,-1,-1
25,角色前移,,SkillPhysicScript_Move,25,1,0,0.05,-1,-1
26,角色前移,,SkillPhysicScript_Move,25,1,0,0.1,-1,-1
27,角色前移,,SkillPhysicScript_Move,25,1,0,0.15,-1,-1
28,角色前移,,SkillPhysicScript_Move,25,1,0,0.2,-1,-1
29,角色前移,,SkillPhysicScript_Move,25,1,0,0.25,-1,-1
30,角色前移,,SkillPhysicScript_Move,25,1,0,0.3,-1,-1
31,角色前移,,SkillPhysicScript_Move,30,1,0,0.05,-1,-1
32,角色前移,,SkillPhysicScript_Move,30,1,0,0.1,-1,-1
33,角色前移,,SkillPhysicScript_Move,30,1,0,0.15,-1,-1
34,角色前移,,SkillPhysicScript_Move,30,1,0,0.2,-1,-1
35,角色前移,,SkillPhysicScript_Move,30,1,0,0.25,-1,-1
36,角色前移,,SkillPhysicScript_Move,30,1,0,0.3,-1,-1
37,角色前移,,SkillPhysicScript_Move,35,1,0,0.05,-1,-1
38,角色前移,,SkillPhysicScript_Move,35,1,0,0.1,-1,-1
39,角色前移,,SkillPhysicScript_Move,35,1,0,0.15,-1,-1
40,角色前移,,SkillPhysicScript_Move,35,1,0,0.2,-1,-1
41,角色前移,,SkillPhysicScript_Move,35,1,0,0.25,-1,-1
42,角色前移,,SkillPhysicScript_Move,35,1,0,0.3,-1,-1
43,角色前移,,SkillPhysicScript_Move,40,1,0,0.05,-1,-1
44,角色前移,,SkillPhysicScript_Move,40,1,0,0.1,-1,-1
45,角色前移,,SkillPhysicScript_Move,40,1,0,0.15,-1,-1
46,角色前移,,SkillPhysicScript_Move,40,1,0,0.2,-1,-1
47,角色前移,,SkillPhysicScript_Move,40,1,0,0.25,-1,-1
48,角色前移,,SkillPhysicScript_Move,40,1,0,0.3,-1,-1
49,角色前移,,SkillPhysicScript_Move,45,1,0,0.05,-1,-1
50,角色前移,,SkillPhysicScript_Move,45,1,0,0.1,-1,-1
51,角色前移,,SkillPhysicScript_Move,45,1,0,0.15,-1,-1
52,角色前移,,SkillPhysicScript_Move,45,1,0,0.2,-1,-1
53,角色前移,,SkillPhysicScript_Move,45,1,0,0.25,-1,-1
54,角色前移,,SkillPhysicScript_Move,45,1,0,0.3,-1,-1
55,角色前移,,SkillPhysicScript_Move,50,1,0,0.05,-1,-1
56,角色前移,,SkillPhysicScript_Move,50,1,0,0.1,-1,-1
57,角色前移,,SkillPhysicScript_Move,50,1,0,0.15,-1,-1
58,角色前移,,SkillPhysicScript_Move,50,1,0,0.2,-1,-1
59,角色前移,,SkillPhysicScript_Move,50,1,0,0.25,-1,-1
60,角色前移,,SkillPhysicScript_Move,50,1,0,0.3,-1,-1
100,角色前移,,SkillPhysicScript_Move,80,1,0,0.05,-1,-1
#刀盾兵前冲,,,,,,,,,
101,护卫队长前冲,,SkillPhysicScript_Move,4,1,0,1,-1,-1
#角色后退,,,,,,,,,
501,角色后退,,SkillPhysicScript_Move,10,2,0,0.05,-1,-1
502,角色后退,,SkillPhysicScript_Move,10,2,0,0.05,-1,-1
503,角色后退,,SkillPhysicScript_Move,2,2,0,0.05,-1,-1
504,角色后退,,SkillPhysicScript_Move,4,2,0,0.05,-1,-1
601,角色前冲,,SkillPhysicScript_Move,15,1,0,0.5,-1,-1
#减速,,,,,,,,,
1001,减速效果,,SkillPhysicScript_AllSpeed,0.01,0.05,-1,1,-1,-1
1002,减速效果,,SkillPhysicScript_AllSpeed,0.01,0.2,-1,10,-1,-1
1003,减速效果,,SkillPhysicScript_AllSpeed,0.01,-1,1,5,-1,-1
1004,减速效果,,SkillPhysicScript_AllSpeed,0.02,0.6,-1,5,-1,-1
1005,减速效果,,SkillPhysicScript_AllSpeed,0.1,0.6,-1,5,-1,-1
1006,减速效果,,SkillPhysicScript_AllSpeed,0.1,0.4,-1,5,,
#其他,,,,,,,,,
2000,击中停止,,SkillPhysicScript_HitSpeed,0.02,-1,0.01,-1,-1,-1
2001,击中停止,,SkillPhysicScript_HitSpeed,0.5,-1,0.4,-1,-1,-1
2011,震屏(纵向）,,SkillPhysicScript_CameraShark,0,0.15,0,1,0.1,1
2012,震屏(横向）,,SkillPhysicScript_CameraShark,0,-1,0.15,1,0.1,1
2021,摄像机跟随,,SkillPhysicScript_CameraFollow,-1,0.9,-1,-1,-1,-1
2022,镜头切近,,SkillPhysicScript_CameraZoom,-15,0.05,-1,-1,-1,-1
2023,潜行,,SkillPhysicScript_Sneak,0.2,-1,,,,
