"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,20
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0.5
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,1
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,3
12,WakePlayerDis,唤醒：主角在一定距离内时才开始计算目标,10
#移动脚本：保持距离,,,
200,SriptName,脚本名,AIScript_Move_KeepDistance
201,NearDistance,与目标最近距离,5
202,FarDistance,与目标最远距离,8
203,FarWaitTime,远离的等待时间,1
204,IsTranLookAt,移动完成时是否会转向关注的目标,1
#连招脚本,,,
30,SriptName,脚本名,AIScript_Attack_StepByStep
31,StartStepDistance,招式：开始第一招的距离,8
32,Step1NormalRate,招式：第一招普通攻击概率,1
33,Step1Skill0Rate,招式：第一招一般技能0概率,0
34,Step1Skill1Rate,招式：第一招一般技能1概率,0
35,Step1Skill2Rate,招式：第一招一般技能2概率,0
36,Step1Skill3Rate,招式：第一招一般技能3概率,0
37,Step1Skill4Rate,招式：第一招一般技能4概率,0
38,Step2NormalRate,招式：第二招普通攻击概率,0.4
39,Step2Skill0Rate,招式：第二招一般技能0概率,0.6
40,Step2Skill1Rate,招式：第二招一般技能1概率,0
41,Step2Skill2Rate,招式：第二招一般技能2概率,0
42,Step2Skill3Rate,招式：第二招一般技能3概率,0
43,Step2Skill4Rate,招式：第二招一般技能4概率,0
44,Step3NormalRate,招式：第三招普通攻击概率,0
45,Step3Skill0Rate,招式：第三招一般技能0概率,1
46,Step3Skill1Rate,招式：第三招一般技能1概率,0
47,Step3Skill2Rate,招式：第三招一般技能2概率,0
48,Step3Skill3Rate,招式：第三招一般技能3概率,0
49,Step3Skill4Rate,招式：第三招一般技能4概率,0
50,Step4NormalRate,招式：第四招普通攻击概率,0
51,Step4Skill0Rate,招式：第四招一般技能0概率,0
52,Step4Skill1Rate,招式：第四招一般技能1概率,0
53,Step4Skill2Rate,招式：第四招一般技能2概率,0
54,Step4Skill3Rate,招式：第四招一般技能3概率,0
55,Step4Skill4Rate,招式：第四招一般技能4概率,0
56,Step5NormalRate,招式：第五招普通攻击概率,0
57,Step5Skill0Rate,招式：第五招一般技能0概率,0
58,Step5Skill1Rate,招式：第五招一般技能1概率,0
59,Step5Skill2Rate,招式：第五招一般技能2概率,0
60,Step5Skill3Rate,招式：第五招一般技能3概率,0
61,Step5Skill4Rate,招式：第五招一般技能4概率,0
