"Id
===
Id
===
int-c","代码
===
Code
===
string-c","名称
===
Name
===
string-c","值
===
Value
===
string-c"
#移动脚本：原地等待，当有目标时向目标移动,,,
80,SriptName,脚本名,AIScript_Move_WaitTarget
81,TargetDis,移动：靠近敌人的距离,2.5
#索敌脚本,,,
6,SriptName,脚本名,AIScript_Target_Select
7,SelectRange,索敌：索敌半径,10
8,SelectAngle,索敌：索敌角度,180
9,LoseWaitRate,等待：丢失目标后等待概率,0
10,LoseWaitTimeMin,等待：等待时间最小值（秒）,0.5
11,LoseWaitTimeMax,等待：等待时间最大值（秒）,1.5
12,WakePlayerDis,唤醒：主角在一定距离内时才开始计算目标,10
13,IsHitSetTarget,仇恨：是否在没有目标的时候把攻击自己的敌人设为目标,1
#连招脚本,,,
20,SriptName,脚本名,AIScript_Attack_StepByStep
21,StartStepDistance,招式：开始第一招的距离,3
22,Step1NormalRate,招式：第一招普通攻击概率,0.8
23,Step1Skill0Rate,招式：第一招一般技能0概率,0.2
24,Step1Skill1Rate,招式：第一招一般技能1概率,0
25,Step1Skill2Rate,招式：第一招一般技能2概率,0
26,Step1Skill3Rate,招式：第一招一般技能3概率,0
27,Step1Skill4Rate,招式：第一招一般技能4概率,0
28,Step2NormalRate,招式：第二招普通攻击概率,0
29,Step2Skill0Rate,招式：第二招一般技能0概率,1
30,Step2Skill1Rate,招式：第二招一般技能1概率,0
31,Step2Skill2Rate,招式：第二招一般技能2概率,0
32,Step2Skill3Rate,招式：第二招一般技能3概率,0
33,Step2Skill4Rate,招式：第二招一般技能4概率,0
34,Step3NormalRate,招式：第三招普通攻击概率,0.3
35,Step3Skill0Rate,招式：第三招一般技能0概率,0.4
36,Step3Skill1Rate,招式：第三招一般技能1概率,0.3
37,Step3Skill2Rate,招式：第三招一般技能2概率,0
38,Step3Skill3Rate,招式：第三招一般技能3概率,0
39,Step3Skill4Rate,招式：第三招一般技能4概率,0
40,Step4NormalRate,招式：第四招普通攻击概率,0
41,Step4Skill0Rate,招式：第四招一般技能0概率,0.3
42,Step4Skill1Rate,招式：第四招一般技能1概率,0.3
43,Step4Skill2Rate,招式：第四招一般技能2概率,0.4
44,Step4Skill3Rate,招式：第四招一般技能3概率,0
45,Step4Skill4Rate,招式：第四招一般技能4概率,0
46,Step5NormalRate,招式：第五招普通攻击概率,0
47,Step5Skill0Rate,招式：第五招一般技能0概率,0
48,Step5Skill1Rate,招式：第五招一般技能1概率,0
49,Step5Skill2Rate,招式：第五招一般技能2概率,0
50,Step5Skill3Rate,招式：第五招一般技能3概率,0
51,Step5Skill4Rate,招式：第五招一般技能4概率,0
52,StartAttackDelay,显示技能目标选择框时间/起手延迟时间,0
53,CanAttackFly,是否追击浮空/倒地/起身的目标,0
#触发,,,
70,SriptName,脚本名,AIScript_Action_Trigger
#附加修改,,,
110,SriptName,脚本名,AIScript_Attribute_Other
